capital,faixa_remuneracao_media_sm,Analfabeto,Até 5ª Incompleto,5ª Completo Fundamental,6ª a 9ª Fundamental,Fundamental Completo,Médio Incompleto,Médio Completo,Superior Incompleto,Superior Completo,sexo,ano
florianopolis___sc,"03:1,51_a_2,00",21,107,409,853,2.054,1.411,9.233,1.170,3.669,F,2017
florianopolis___sc,"04:2,01_a_3,00",13,36,784,787,1.171,728,6.929,1.297,6.375,F,2017
florianopolis___sc,"05:3,01_a_4,00",4,40,147,225,480,163,2.993,620,6.580,F,2017
florianopolis___sc,"06:4,01_a_5,00",9,32,144,153,470,158,2.664,371,6.209,F,2017
florianopolis___sc,"07:5,01_a_7,00",2,25,205,180,435,185,2.933,503,9.560,F,2017
florianopolis___sc,"08:7,01_a_10,00",0,24,24,88,162,84,1.582,245,4.408,F,2017
florianopolis___sc,"09:10,01_a_15,00",0,5,15,19,45,30,567,142,3.295,F,2017
florianopolis___sc,"10:15,01_a_20,00",0,1,7,7,21,17,172,52,1.820,F,2017
florianopolis___sc,"11:mais_de_20,00",0,1,4,4,5,3,195,21,1.775,F,2017
porto_alegre___rs,"00:ate_0,50",12,39,62,178,385,312,287,63,49,F,2017
porto_alegre___rs,"01:0,51_a_1,00",81,297,372,1.127,2.162,1.540,2.088,290,398,F,2017
porto_alegre___rs,"02:1,01_a_1,50",183,1.060,1.744,5.265,11.120,6.032,23.632,2.306,2.688,F,2017
porto_alegre___rs,"03:1,51_a_2,00",89,510,1.543,4.369,7.539,3.970,25.683,3.695,13.130,F,2017
porto_alegre___rs,"04:2,01_a_3,00",73,369,1.248,3.052,4.365,2.620,24.593,6.922,26.519,F,2017
porto_alegre___rs,"05:3,01_a_4,00",19,156,265,711,1.252,921,10.700,4.432,12.700,F,2017
porto_alegre___rs,"06:4,01_a_5,00",3,71,109,300,716,557,6.572,2.756,8.170,F,2017
porto_alegre___rs,"07:5,01_a_7,00",7,76,108,271,618,543,6.528,2.880,12.025,F,2017
porto_alegre___rs,"08:7,01_a_10,00",1,36,42,113,386,325,4.234,2.169,11.159,F,2017
porto_alegre___rs,"09:10,01_a_15,00",1,12,35,30,158,188,2.078,1.432,9.637,F,2017
porto_alegre___rs,"10:15,01_a_20,00",0,1,3,2,25,34,578,432,5.394,F,2017
porto_alegre___rs,"11:mais_de_20,00",0,3,2,7,19,25,377,316,7.145,F,2017
campo_grande___ms,"00:ate_0,50",2,5,2,15,31,47,86,10,79,F,2017
campo_grande___ms,"01:0,51_a_1,00",6,46,75,315,422,877,730,101,338,F,2017
campo_grande___ms,"02:1,01_a_1,50",70,756,1.030,2.988,4.852,3.264,11.049,1.184,1.390,F,2017
