capital,faixa_remuneracao_media_sm,total_pessoas,sexo,ano
cuiaba___mt,"08:7,01_a_10,00",6.338,F,2020
cuiaba___mt,"09:10,01_a_15,00",3.832,F,2020
cuiaba___mt,"10:15,01_a_20,00",1.727,F,2020
cuiaba___mt,"11:mais_de_20,00",1.309,F,2020
goiania___go,"00:ate_0,50",2.908,F,2020
goiania___go,"01:0,51_a_1,00",25.843,F,2020
goiania___go,"02:1,01_a_1,50",78.977,F,2020
goiania___go,"03:1,51_a_2,00",41.589,F,2020
goiania___go,"04:2,01_a_3,00",30.535,F,2020
goiania___go,"05:3,01_a_4,00",16.074,F,2020
goiania___go,"06:4,01_a_5,00",16.265,F,2020
goiania___go,"07:5,01_a_7,00",21.133,F,2020
goiania___go,"08:7,01_a_10,00",11.585,F,2020
goiania___go,"09:10,01_a_15,00",6.621,F,2020
goiania___go,"10:15,01_a_20,00",2.363,F,2020
goiania___go,"11:mais_de_20,00",1.975,F,2020
brasilia___df,"00:ate_0,50",4.616,F,2020
brasilia___df,"01:0,51_a_1,00",33.218,F,2020
brasilia___df,"02:1,01_a_1,50",115.929,F,2020
brasilia___df,"03:1,51_a_2,00",43.400,F,2020
brasilia___df,"04:2,01_a_3,00",46.997,F,2020
brasilia___df,"05:3,01_a_4,00",24.828,F,2020
brasilia___df,"06:4,01_a_5,00",29.728,F,2020
brasilia___df,"07:5,01_a_7,00",40.025,F,2020
brasilia___df,"08:7,01_a_10,00",37.978,F,2020
brasilia___df,"09:10,01_a_15,00",31.873,F,2020
brasilia___df,"10:15,01_a_20,00",13.389,F,2020
brasilia___df,"11:mais_de_20,00",15.153,F,2020
porto_velho___ro,"00:ate_0,50",466,M,2020
porto_velho___ro,"01:0,51_a_1,00",3.341,M,2020
porto_velho___ro,"02:1,01_a_1,50",17.930,M,2020
porto_velho___ro,"03:1,51_a_2,00",13.966,M,2020
porto_velho___ro,"04:2,01_a_3,00",13.763,M,2020
porto_velho___ro,"05:3,01_a_4,00",10.076,M,2020
porto_velho___ro,"06:4,01_a_5,00",5.268,M,2020
porto_velho___ro,"07:5,01_a_7,00",5.768,M,2020
porto_velho___ro,"08:7,01_a_10,00",3.260,M,2020
porto_velho___ro,"09:10,01_a_15,00",2.679,M,2020
porto_velho___ro,"10:15,01_a_20,00",1.326,M,2020
porto_velho___ro,"11:mais_de_20,00",1.351,M,2020
rio_branco___ac,"00:ate_0,50",392,M,2020
rio_branco___ac,"01:0,51_a_1,00",4.154,M,2020
rio_branco___ac,"02:1,01_a_1,50",13.594,M,2020
rio_branco___ac,"03:1,51_a_2,00",7.651,M,2020
rio_branco___ac,"04:2,01_a_3,00",7.530,M,2020
rio_branco___ac,"05:3,01_a_4,00",2.944,M,2020
rio_branco___ac,"06:4,01_a_5,00",2.281,M,2020
rio_branco___ac,"07:5,01_a_7,00",5.038,M,2020
rio_branco___ac,"08:7,01_a_10,00",2.754,M,2020
rio_branco___ac,"09:10,01_a_15,00",1.882,M,2020
rio_branco___ac,"10:15,01_a_20,00",651,M,2020
rio_branco___ac,"11:mais_de_20,00",704,M,2020
manaus___am,"00:ate_0,50",3.386,M,2020
manaus___am,"01:0,51_a_1,00",17.555,M,2020
manaus___am,"02:1,01_a_1,50",77.832,M,2020
manaus___am,"03:1,51_a_2,00",57.109,M,2020
manaus___am,"04:2,01_a_3,00",50.564,M,2020
manaus___am,"05:3,01_a_4,00",18.468,M,2020
manaus___am,"06:4,01_a_5,00",11.976,M,2020
manaus___am,"07:5,01_a_7,00",15.077,M,2020
manaus___am,"08:7,01_a_10,00",11.987,M,2020
manaus___am,"09:10,01_a_15,00",7.508,M,2020
manaus___am,"10:15,01_a_20,00",3.368,M,2020
manaus___am,"11:mais_de_20,00",3.136,M,2020
boa_vista___rr,"00:ate_0,50",447,M,2020
boa_vista___rr,"01:0,51_a_1,00",3.627,M,2020
boa_vista___rr,"02:1,01_a_1,50",14.307,M,2020
boa_vista___rr,"03:1,51_a_2,00",5.977,M,2020
boa_vista___rr,"04:2,01_a_3,00",6.086,M,2020
boa_vista___rr,"05:3,01_a_4,00",3.290,M,2020
boa_vista___rr,"06:4,01_a_5,00",2.599,M,2020
boa_vista___rr,"07:5,01_a_7,00",2.433,M,2020
boa_vista___rr,"08:7,01_a_10,00",2.131,M,2020
boa_vista___rr,"09:10,01_a_15,00",1.459,M,2020
boa_vista___rr,"10:15,01_a_20,00",671,M,2020
boa_vista___rr,"11:mais_de_20,00",633,M,2020
belem___pa,"00:ate_0,50",2.343,M,2020
belem___pa,"01:0,51_a_1,00",14.186,M,2020
belem___pa,"02:1,01_a_1,50",62.106,M,2020
belem___pa,"03:1,51_a_2,00",38.280,M,2020
belem___pa,"04:2,01_a_3,00",35.719,M,2020
belem___pa,"05:3,01_a_4,00",21.022,M,2020
belem___pa,"06:4,01_a_5,00",12.325,M,2020
belem___pa,"07:5,01_a_7,00",12.619,M,2020
belem___pa,"08:7,01_a_10,00",9.242,M,2020
belem___pa,"09:10,01_a_15,00",7.738,M,2020
