capital,faixa_remuneracao_media_sm,10 A 14,15 A 17,18 A 24,25 A 29,30 A 39,40 A 49,50 A 64,65 OU MAIS,sexo,ano
belo_horizonte___mg,"03:1,51_a_2,00",0,16,7.919,11.599,22.568,19.854,12.820,782,F,2022
belo_horizonte___mg,"04:2,01_a_3,00",0,6,4.310,11.051,30.563,30.489,19.880,1.364,F,2022
belo_horizonte___mg,"05:3,01_a_4,00",0,2,1.266,5.367,15.723,15.821,11.160,782,F,2022
belo_horizonte___mg,"06:4,01_a_5,00",0,3,541,2.973,11.414,10.272,7.085,582,F,2022
belo_horizonte___mg,"07:5,01_a_7,00",0,1,484,2.365,11.862,11.619,7.035,628,F,2022
belo_horizonte___mg,"08:7,01_a_10,00",0,0,394,1.650,6.894,8.771,5.680,573,F,2022
belo_horizonte___mg,"09:10,01_a_15,00",0,1,452,719,3.875,5.830,4.892,483,F,2022
belo_horizonte___mg,"10:15,01_a_20,00",0,1,188,291,1.577,2.954,2.681,282,F,2022
belo_horizonte___mg,"11:mais_de_20,00",0,0,266,778,2.326,3.156,3.771,440,F,2022
vitoria___es,"00:ate_0,50",46,719,279,87,135,129,63,9,F,2022
vitoria___es,"01:0,51_a_1,00",4,202,1.278,701,978,723,461,61,F,2022
vitoria___es,"02:1,01_a_1,50",0,22,5.413,4.748,7.600,6.267,4.273,236,F,2022
vitoria___es,"03:1,51_a_2,00",0,1,1.375,2.248,4.190,3.579,2.189,129,F,2022
vitoria___es,"04:2,01_a_3,00",0,11,769,2.376,6.455,6.390,3.743,223,F,2022
vitoria___es,"05:3,01_a_4,00",0,0,184,1.074,3.646,3.467,2.461,192,F,2022
vitoria___es,"06:4,01_a_5,00",0,1,81,546,2.818,2.535,1.835,131,F,2022
vitoria___es,"07:5,01_a_7,00",0,0,100,346,2.296,2.141,1.383,117,F,2022
vitoria___es,"08:7,01_a_10,00",0,0,114,166,1.297,1.429,1.117,107,F,2022
vitoria___es,"09:10,01_a_15,00",0,0,47,88,601,1.052,777,95,F,2022
vitoria___es,"10:15,01_a_20,00",0,0,18,46,282,419,412,41,F,2022
vitoria___es,"11:mais_de_20,00",0,0,20,80,386,458,360,61,F,2022
