CBO 2002 Gr Grupo = 1:MEMBROS SUPERIORES DO PODER PUBLICO, DIRIGENTES DE ORGANIZACOES DE INTERESSE PUBLICO 
;;Sexo Trabalhador;Faixa Etária
Capital; Faixa Remun Média (SM); 01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;01:10 A 14;02:15 A 17;03:18 A 24;04:25 A 29;05:30 A 39;06:40 A 49;07:50 A 64;08:65 OU MAIS;{ñ class};Total;01:10 A 14;02:15 A 17;03:18 A 24;04:25 A 29;05:30 A 39;06:40 A 49;07:50 A 64;08:65 OU MAIS;{ñ class};Total;01:10 A 14;02:15 A 17;03:18 A 24;04:25 A 29;05:30 A 39;06:40 A 49;07:50 A 64;08:65 OU MAIS;{ñ class};Total
160030:Macapá - AP;Total;0;3;159;301;685;413;249;20;0;1.830;0;5;137;293;606;326;143;8;0;1.518;0;8;296;594;1.291;739;392;28;0;3.348
;00:Até 0,50;0;3;0;0;0;0;0;0;0;3;0;5;2;0;0;0;0;0;0;7;0;8;2;0;0;0;0;0;0;10
;01:0,51 a 1,00;0;0;5;9;12;5;1;1;0;33;0;0;4;4;7;5;2;0;0;22;0;0;9;13;19;10;3;1;0;55
;02:1,01 a 1,50;0;0;57;53;74;22;12;1;0;219;0;0;27;33;58;21;5;2;0;146;0;0;84;86;132;43;17;3;0;365
;03:1,51 a 2,00;0;0;18;50;89;22;19;1;0;199;0;0;21;45;60;26;12;0;0;164;0;0;39;95;149;48;31;1;0;363
;04:2,01 a 3,00;0;0;48;69;177;96;45;5;0;440;0;0;43;108;177;91;40;2;0;461;0;0;91;177;354;187;85;7;0;901
;05:3,01 a 4,00;0;0;13;53;105;62;42;1;0;276;0;0;21;43;110;44;21;2;0;241;0;0;34;96;215;106;63;3;0;517
;06:4,01 a 5,00;0;0;13;28;77;71;28;4;0;221;0;0;11;35;78;39;15;1;0;179;0;0;24;63;155;110;43;5;0;400
;07:5,01 a 7,00;0;0;4;18;51;40;32;3;0;148;0;0;5;11;50;36;17;0;0;119;0;0;9;29;101;76;49;3;0;267
;08:7,01 a 10,00;0;0;1;14;43;33;19;2;0;112;0;0;0;4;33;34;8;1;0;80;0;0;1;18;76;67;27;3;0;192
;09:10,01 a 15,00;0;0;0;6;16;14;19;1;0;56;0;0;3;5;11;11;8;0;0;38;0;0;3;11;27;25;27;1;0;94
;10:15,01 a 20,00;0;0;0;0;22;15;10;0;0;47;0;0;0;4;10;11;3;0;0;28;0;0;0;4;32;26;13;0;0;75
;11:Mais de 20,00;0;0;0;1;16;30;22;1;0;70;0;0;0;0;12;7;12;0;0;31;0;0;0;1;28;37;34;1;0;101
;{ñ class};0;0;0;0;3;3;0;0;0;6;0;0;0;1;0;1;0;0;0;2;0;0;0;1;3;4;0;0;0;8
172100:Palmas - TO;Total;0;0;125;300;654;443;286;35;0;1.843;0;1;118;261;550;361;150;5;0;1.446;0;1;243;561;1.204;804;436;40;0;3.289
;00:Até 0,50;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;1;0;0;2;0;0;0;0;0;1;2;0;0;3
;01:0,51 a 1,00;0;0;0;0;1;0;0;0;0;1;0;0;1;2;1;0;0;0;0;4;0;0;1;2;2;0;0;0;0;5
;02:1,01 a 1,50;0;0;36;24;33;20;8;0;0;121;0;0;18;16;28;10;7;0;0;79;0;0;54;40;61;30;15;0;0;200
;03:1,51 a 2,00;0;0;30;45;94;32;13;1;0;215;0;0;27;31;64;40;5;1;0;168;0;0;57;76;158;72;18;2;0;383
;04:2,01 a 3,00;0;0;18;67;111;54;39;2;0;291;0;0;18;57;100;42;13;0;0;230;0;0;36;124;211;96;52;2;0;521
;05:3,01 a 4,00;0;0;16;45;80;57;28;4;0;230;0;1;19;33;71;57;18;1;0;200;0;1;35;78;151;114;46;5;0;430
;06:4,01 a 5,00;0;0;8;20;47;27;22;1;0;125;0;0;11;31;44;20;7;0;0;113;0;0;19;51;91;47;29;1;0;238
;07:5,01 a 7,00;0;0;17;51;90;52;33;4;0;247;0;0;20;59;116;60;30;1;0;286;0;0;37;110;206;112;63;5;0;533
;08:7,01 a 10,00;0;0;0;27;63;52;27;3;0;172;0;0;4;20;66;40;12;0;0;142;0;0;4;47;129;92;39;3;0;314
;09:10,01 a 15,00;0;0;0;17;55;43;15;1;0;131;0;0;0;8;24;30;15;0;0;77;0;0;0;25;79;73;30;1;0;208
;10:15,01 a 20,00;0;0;0;3;34;35;42;2;0;116;0;0;0;3;7;28;21;1;0;60;0;0;0;6;41;63;63;3;0;176
;11:Mais de 20,00;0;0;0;1;44;70;55;17;0;187;0;0;0;1;29;33;19;1;0;83;0;0;0;2;73;103;74;18;0;270
;{ñ class};0;0;0;0;2;1;3;0;0;6;0;0;0;0;0;0;2;0;0;2;0;0;0;0;2;1;5;0;0;8
211130:São Luiz - MA;Total;0;4;283;647;1.626;1.170;827;111;0;4.668;1;1;328;738;1.566;999;568;79;0;4.280;1;5;611;1.385;3.192;2.169;1.395;190;0;8.948
;00:Até 0,50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;1
;01:0,51 a 1,00;0;0;5;5;15;8;7;2;0;42;0;0;7;11;7;7;7;1;0;40;0;0;12;16;22;15;14;3;0;82
;02:1,01 a 1,50;0;2;74;83;174;127;68;8;0;536;1;0;121;148;269;158;60;8;0;765;1;2;195;231;443;285;128;16;0;1.301
;03:1,51 a 2,00;0;1;57;95;172;98;44;1;0;468;0;0;70;141;274;132;36;5;0;658;0;1;127;236;446;230;80;6;0;1.126
;04:2,01 a 3,00;0;1;70;165;316;209;157;16;0;934;0;1;67;170;352;241;145;22;0;998;0;2;137;335;668;450;302;38;0;1.932
;05:3,01 a 4,00;0;0;28;85;167;91;54;4;0;429;0;0;30;81;132;82;37;1;0;363;0;0;58;166;299;173;91;5;0;792
;06:4,01 a 5,00;0;0;14;50;82;59;37;4;0;246;0;0;16;49;93;44;18;3;0;223;0;0;30;99;175;103;55;7;0;469
;07:5,01 a 7,00;0;0;24;70;242;163;123;19;0;641;0;0;13;84;202;143;105;22;0;569;0;0;37;154;444;306;228;41;0;1.210
;08:7,01 a 10,00;0;0;7;37;100;99;80;5;0;328;0;0;1;27;93;66;31;6;0;224;0;0;8;64;193;165;111;11;0;552
;09:10,01 a 15,00;0;0;3;35;160;107;85;14;0;404;0;0;3;21;81;73;74;7;0;259;0;0;6;56;241;180;159;21;0;663
;10:15,01 a 20,00;0;0;1;15;78;81;67;24;0;266;0;0;0;3;40;18;23;3;0;87;0;0;1;18;118;99;90;27;0;353
;11:Mais de 20,00;0;0;0;7;116;118;99;12;0;352;0;0;0;1;22;28;27;1;0;79;0;0;0;8;138;146;126;13;0;431
;{ñ class};0;0;0;0;4;10;6;2;0;22;0;0;0;2;1;7;4;0;0;14;0;0;0;2;5;17;10;2;0;36
221100:Terezina - PI;Total;0;1;262;596;1.342;1.373;1.107;128;0;4.809;0;2;210;575;1.153;1.076;724;80;0;3.820;0;3;472;1.171;2.495;2.449;1.831;208;0;8.629
;00:Até 0,50;0;0;0;0;2;4;2;0;0;8;0;0;0;0;3;0;0;0;0;3;0;0;0;0;5;4;2;0;0;11
;01:0,51 a 1,00;0;0;3;3;27;85;25;3;0;146;0;0;4;2;16;8;7;0;0;37;0;0;7;5;43;93;32;3;0;183
;02:1,01 a 1,50;0;1;83;95;194;147;65;2;0;587;0;0;76;142;187;109;43;4;0;561;0;1;159;237;381;256;108;6;0;1.148
;03:1,51 a 2,00;0;0;59;104;208;121;59;2;0;553;0;0;47;101;182;80;30;1;0;441;0;0;106;205;390;201;89;3;0;994
;04:2,01 a 3,00;0;0;55;129;247;168;111;3;0;713;0;0;44;99;244;155;59;3;0;604;0;0;99;228;491;323;170;6;0;1.317
;05:3,01 a 4,00;0;0;24;70;154;121;65;5;0;439;0;1;16;75;128;84;38;1;0;343;0;1;40;145;282;205;103;6;0;782
;06:4,01 a 5,00;0;0;14;32;85;65;50;14;0;260;0;1;6;43;55;51;34;2;0;192;0;1;20;75;140;116;84;16;0;452
;07:5,01 a 7,00;0;0;15;94;152;159;129;11;0;560;0;0;12;68;123;119;72;14;0;408;0;0;27;162;275;278;201;25;0;968
;08:7,01 a 10,00;0;0;7;33;77;170;184;16;0;487;0;0;4;30;79;192;125;20;0;450;0;0;11;63;156;362;309;36;0;937
;09:10,01 a 15,00;0;0;2;23;85;171;200;37;0;518;0;0;1;11;59;181;185;15;0;452;0;0;3;34;144;352;385;52;0;970
;10:15,01 a 20,00;0;0;0;9;50;57;69;15;0;200;0;0;0;2;41;43;55;11;0;152;0;0;0;11;91;100;124;26;0;352
;11:Mais de 20,00;0;0;0;4;58;101;145;20;0;328;0;0;0;1;35;53;75;9;0;173;0;0;0;5;93;154;220;29;0;501
;{ñ class};0;0;0;0;3;4;3;0;0;10;0;0;0;1;1;1;1;0;0;4;0;0;0;1;4;5;4;0;0;14
230440:Fortaleza - CE;Total;0;9;2.797;6.700;16.699;14.790;14.341;2.927;0;58.263;0;6;1.980;5.205;12.944;16.339;29.752;6.088;1;72.315;0;15;4.777;11.905;29.643;31.129;44.093;9.015;1;130.578
;00:Até 0,50;0;0;21;21;36;24;8;0;0;110;0;0;19;28;44;31;22;0;0;144;0;0;40;49;80;55;30;0;0;254
;01:0,51 a 1,00;0;6;162;191;306;153;106;38;0;962;0;0;151;217;347;228;103;134;0;1.180;0;6;313;408;653;381;209;172;0;2.142
;02:1,01 a 1,50;0;3;611;897;1.766;1.438;2.355;914;0;7.984;0;2;655;1.341;4.081;5.371;8.851;2.834;0;23.135;0;5;1.266;2.238;5.847;6.809;11.206;3.748;0;31.119
;03:1,51 a 2,00;0;0;309;514;1.082;860;1.159;232;0;4.156;0;2;309;740;1.534;1.391;2.641;484;0;7.101;0;2;618;1.254;2.616;2.251;3.800;716;0;11.257
;04:2,01 a 3,00;0;0;443;1.384;2.170;1.431;1.682;402;0;7.512;0;2;472;1.601;2.451;2.340;5.045;1.004;0;12.915;0;2;915;2.985;4.621;3.771;6.727;1.406;0;20.427
;05:3,01 a 4,00;0;0;692;1.705;3.451;1.840;1.403;211;0;9.302;0;0;196;457;1.016;1.083;2.688;522;0;5.962;0;0;888;2.162;4.467;2.923;4.091;733;0;15.264
