CBO 2002 Gr Grupo = {ñ class}
;;Sexo Trabalhador;Faixa Etária
Capital; Faixa Remun Média (SM); 01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;01:10 A 14;02:15 A 17;03:18 A 24;04:25 A 29;05:30 A 39;06:40 A 49;07:50 A 64;08:65 OU MAIS;{ñ class};Total;01:10 A 14;02:15 A 17;03:18 A 24;04:25 A 29;05:30 A 39;06:40 A 49;07:50 A 64;08:65 OU MAIS;{ñ class};Total;01:10 A 14;02:15 A 17;03:18 A 24;04:25 A 29;05:30 A 39;06:40 A 49;07:50 A 64;08:65 OU MAIS;{ñ class};Total
;11:Mais de 20,00;0;0;6;37;197;226;127;6;0;599;0;0;3;20;58;65;24;0;0;170;0;0;9;57;255;291;151;6;0;769
;{ñ class};0;0;0;1;0;1;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;3
150140:Belém - PA;Total;6;249;19.764;27.951;56.400;38.385;19.882;1.515;167;164.319;2;134;10.589;15.077;36.655;34.705;16.429;526;11;114.128;8;383;30.353;43.028;93.055;73.090;36.311;2.041;178;278.447
;00:Até 0,50;0;31;148;112;176;120;46;2;0;635;0;14;26;18;56;35;12;1;0;162;0;45;174;130;232;155;58;3;0;797
;01:0,51 a 1,00;1;104;1.918;1.153;1.278;579;291;55;5;5.384;0;68;1.045;654;973;544;222;22;0;3.528;1;172;2.963;1.807;2.251;1.123;513;77;5;8.912
;02:1,01 a 1,50;1;95;8.443;7.448;9.401;4.978;2.753;338;6;33.463;2;36;4.466;4.461;8.389;8.072;5.037;130;2;30.595;3;131;12.909;11.909;17.790;13.050;7.790;468;8;64.058
;03:1,51 a 2,00;2;9;4.326;7.616;11.056;4.765;2.761;198;7;30.740;0;10;2.623;3.718;6.314;3.996;1.717;37;1;18.416;2;19;6.949;11.334;17.370;8.761;4.478;235;8;49.156
;04:2,01 a 3,00;2;5;2.767;5.832;14.169;6.961;3.125;214;108;33.183;0;5;1.417;2.686;6.685;4.503;1.936;70;2;17.304;2;10;4.184;8.518;20.854;11.464;5.061;284;110;50.487
;05:3,01 a 4,00;0;2;972;1.953;5.966;4.185;1.741;106;11;14.936;0;0;444;1.186;4.110;4.054;1.529;42;1;11.366;0;2;1.416;3.139;10.076;8.239;3.270;148;12;26.302
;06:4,01 a 5,00;0;0;403;1.067;3.393;2.892;1.119;58;4;8.936;0;1;175;614;2.236;2.389;895;29;3;6.342;0;1;578;1.681;5.629;5.281;2.014;87;7;15.278
;07:5,01 a 7,00;0;0;339;1.298;4.033;4.956;2.741;163;7;13.537;0;0;233;945;3.501;4.287;1.735;48;0;10.749;0;0;572;2.243;7.534;9.243;4.476;211;7;24.286
