,faixa_remuneracao_media_sm,sexo_cod,total_pessoas,Adm Técnica Profissional,Transporte e Comunicações,Aloj Comunic,Médicos Odontológicos Vet,Ensino,Administração Pública,Agricultura,Atividades de exploração de jogos de azar e apostas,Atividades esportivas,Atividades de recreação e lazer,"Atividades de organizações associativas patronais, empresariais e profissionais",Atividades de organizações sindicais,Atividades de associações de defesa de direitos sociais,Atividades de organizações associativas não especificadas anteriormente,Reparação e manutenção de equipamentos de informática e comunicação,Reparação e manutenção de objetos e equipamentos pessoais e domésticos,Outras atividades de serviços pessoais,Serviços domésticos,Organismos internacionais e outras instituições extraterritoriais,Fabricação de veículos militares de combate,Sedes de empresas e unidades administrativas locais,25 A 29,30 A 39,40 A 49,50 A 64,65 OU MAIS,CLT U/ PJ Determinado,CLT U/ PF Determinado,CLT R/ PJ Determinado,CLT R/ PF Determinado,Diretor,Contrat Prazo Determinado,Contrat TMP Determinado,Contrat Lei Estadual,Contrat Lei Municipal,Fundamental Completo,Médio Incompleto,Médio Completo,Superior Incompleto,Superior Completo,Mestrado,Doutorado
331,1,1,2897.0,45.0,85.0,105.0,18.0,444.0,1559.0,2.0,0.0,0.0,0.0,2.0,1.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,790.0,888.0,1142.0,149.0,9.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0,0.0,80.0,161.0,568.0,262.0,1634.0,67.0,92.0
332,1,0,709.0,7.0,5.0,12.0,4.0,168.0,430.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,121.0,222.0,320.0,29.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,50.0,20.0,535.0,15.0,9.0
333,1,1,1426.0,10.0,28.0,21.0,13.0,183.0,865.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,289.0,526.0,566.0,55.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,14.0,37.0,228.0,101.0,972.0,20.0,18.0
334,3,0,755.0,4.0,3.0,4.0,2.0,100.0,631.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,125.0,255.0,329.0,56.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,37.0,31.0,646.0,18.0,14.0
335,3,1,1900.0,10.0,21.0,10.0,4.0,159.0,1385.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,279.0,540.0,881.0,113.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,8.0,21.0,117.0,141.0,1387.0,23.0,19.0
336,0,0,1854.0,62.0,127.0,239.0,30.0,83.0,21.0,1.0,0.0,4.0,0.0,0.0,0.0,11.0,68.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,23.0,62.0,52.0,36.0,3.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,48.0,1093.0,311.0,28.0,51.0,3.0,0.0
337,0,1,2299.0,72.0,190.0,260.0,36.0,66.0,16.0,1.0,0.0,4.0,0.0,0.0,0.0,11.0,47.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,30.0,67.0,48.0,32.0,4.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,65.0,1332.0,412.0,20.0,50.0,2.0,1.0
338,0,0,6433.0,503.0,210.0,1383.0,358.0,759.0,420.0,30.0,0.0,48.0,7.0,5.0,5.0,57.0,110.0,8.0,7.0,41.0,8.0,0.0,0.0,0.0,827.0,1537.0,1042.0,514.0,24.0,55.0,1.0,0.0,0.0,8.0,9.0,0.0,0.0,17.0,569.0,1161.0,3226.0,246.0,467.0,21.0,5.0
339,0,1,5971.0,593.0,528.0,995.0,107.0,355.0,595.0,89.0,0.0,39.0,9.0,4.0,4.0,31.0,98.0,6.0,11.0,19.0,6.0,0.0,0.0,0.0,845.0,1167.0,640.0,418.0,44.0,50.0,1.0,0.0,1.0,18.0,13.0,0.0,0.0,22.0,710.0,1313.0,2464.0,152.0,297.0,25.0,8.0
340,0,0,71398.0,5499.0,2565.0,12499.0,3665.0,3084.0,5245.0,191.0,0.0,155.0,89.0,45.0,49.0,478.0,676.0,47.0,55.0,528.0,12.0,1.0,0.0,0.0,12877.0,21007.0,12832.0,6129.0,310.0,386.0,3.0,1.0,0.0,9.0,126.0,2.0,0.0,227.0,6649.0,4849.0,50035.0,2421.0,2758.0,39.0,13.0
