capital,faixa_remuneracao_media_sm,total_pessoas,sexo,ano
rio_branco___ac,"03:1,51_a_2,00",7651,M,2020
rio_branco___ac,"04:2,01_a_3,00",7530,M,2020
rio_branco___ac,"05:3,01_a_4,00",2944,M,2020
rio_branco___ac,"06:4,01_a_5,00",2281,M,2020
rio_branco___ac,"07:5,01_a_7,00",5038,M,2020
rio_branco___ac,"08:7,01_a_10,00",2754,M,2020
rio_branco___ac,"09:10,01_a_15,00",1882,M,2020
rio_branco___ac,"10:15,01_a_20,00",651,M,2020
rio_branco___ac,"11:mais_de_20,00",704,M,2020
manaus___am,"00:ate_0,50",3386,M,2020
manaus___am,"01:0,51_a_1,00",17555,M,2020
manaus___am,"02:1,01_a_1,50",77832,M,2020
manaus___am,"03:1,51_a_2,00",57109,M,2020
manaus___am,"04:2,01_a_3,00",50564,M,2020
manaus___am,"05:3,01_a_4,00",18468,M,2020
manaus___am,"06:4,01_a_5,00",11976,M,2020
manaus___am,"07:5,01_a_7,00",15077,M,2020
manaus___am,"08:7,01_a_10,00",11987,M,2020
manaus___am,"09:10,01_a_15,00",7508,M,2020
manaus___am,"10:15,01_a_20,00",3368,M,2020
manaus___am,"11:mais_de_20,00",3136,M,2020
boa_vista___rr,"00:ate_0,50",447,M,2020
boa_vista___rr,"01:0,51_a_1,00",3627,M,2020
boa_vista___rr,"02:1,01_a_1,50",14307,M,2020
boa_vista___rr,"03:1,51_a_2,00",5977,M,2020
boa_vista___rr,"04:2,01_a_3,00",6086,M,2020
boa_vista___rr,"05:3,01_a_4,00",3290,M,2020
boa_vista___rr,"06:4,01_a_5,00",2599,M,2020
boa_vista___rr,"07:5,01_a_7,00",2433,M,2020
boa_vista___rr,"08:7,01_a_10,00",2131,M,2020
boa_vista___rr,"09:10,01_a_15,00",1459,M,2020
boa_vista___rr,"10:15,01_a_20,00",671,M,2020
boa_vista___rr,"11:mais_de_20,00",633,M,2020
belem___pa,"00:ate_0,50",2343,M,2020
belem___pa,"01:0,51_a_1,00",14186,M,2020
belem___pa,"02:1,01_a_1,50",62106,M,2020
belem___pa,"03:1,51_a_2,00",38280,M,2020
belem___pa,"04:2,01_a_3,00",35719,M,2020
belem___pa,"05:3,01_a_4,00",21022,M,2020
belem___pa,"06:4,01_a_5,00",12325,M,2020
belem___pa,"07:5,01_a_7,00",12619,M,2020
belem___pa,"08:7,01_a_10,00",9242,M,2020
belem___pa,"09:10,01_a_15,00",7738,M,2020
belem___pa,"10:15,01_a_20,00",2882,M,2020
belem___pa,"11:mais_de_20,00",4001,M,2020
macapa___ap,"00:ate_0,50",626,M,2020
macapa___ap,"01:0,51_a_1,00",5097,M,2020
macapa___ap,"02:1,01_a_1,50",13898,M,2020
macapa___ap,"03:1,51_a_2,00",5841,M,2020
macapa___ap,"04:2,01_a_3,00",6207,M,2020
macapa___ap,"05:3,01_a_4,00",2897,M,2020
macapa___ap,"06:4,01_a_5,00",4021,M,2020
macapa___ap,"07:5,01_a_7,00",5737,M,2020
macapa___ap,"08:7,01_a_10,00",4238,M,2020
macapa___ap,"09:10,01_a_15,00",2178,M,2020
macapa___ap,"10:15,01_a_20,00",792,M,2020
macapa___ap,"11:mais_de_20,00",999,M,2020
palmas___to,"00:ate_0,50",453,M,2020
palmas___to,"01:0,51_a_1,00",4142,M,2020
palmas___to,"02:1,01_a_1,50",14886,M,2020
palmas___to,"03:1,51_a_2,00",7547,M,2020
palmas___to,"04:2,01_a_3,00",9380,M,2020
palmas___to,"05:3,01_a_4,00",5571,M,2020
palmas___to,"06:4,01_a_5,00",3507,M,2020
palmas___to,"07:5,01_a_7,00",3850,M,2020
palmas___to,"08:7,01_a_10,00",3765,M,2020
palmas___to,"09:10,01_a_15,00",3101,M,2020
palmas___to,"10:15,01_a_20,00",1474,M,2020
palmas___to,"11:mais_de_20,00",1816,M,2020
sao_luiz___ma,"00:ate_0,50",1109,M,2020
sao_luiz___ma,"01:0,51_a_1,00",14151,M,2020
sao_luiz___ma,"02:1,01_a_1,50",58911,M,2020
sao_luiz___ma,"03:1,51_a_2,00",28511,M,2020
sao_luiz___ma,"04:2,01_a_3,00",23132,M,2020
sao_luiz___ma,"05:3,01_a_4,00",15548,M,2020
sao_luiz___ma,"06:4,01_a_5,00",10239,M,2020
sao_luiz___ma,"07:5,01_a_7,00",12366,M,2020
sao_luiz___ma,"08:7,01_a_10,00",8389,M,2020
sao_luiz___ma,"09:10,01_a_15,00",4378,M,2020
sao_luiz___ma,"10:15,01_a_20,00",2325,M,2020
sao_luiz___ma,"11:mais_de_20,00",2060,M,2020
terezina___pi,"00:ate_0,50",1360,M,2020
terezina___pi,"01:0,51_a_1,00",19540,M,2020
terezina___pi,"02:1,01_a_1,50",52222,M,2020
terezina___pi,"03:1,51_a_2,00",19864,M,2020
terezina___pi,"04:2,01_a_3,00",13308,M,2020
terezina___pi,"05:3,01_a_4,00",11133,M,2020
terezina___pi,"06:4,01_a_5,00",4321,M,2020
terezina___pi,"07:5,01_a_7,00",4011,M,2020
terezina___pi,"08:7,01_a_10,00",5163,M,2020
terezina___pi,"09:10,01_a_15,00",4034,M,2020
terezina___pi,"10:15,01_a_20,00",1853,M,2020
terezina___pi,"11:mais_de_20,00",1549,M,2020
fortaleza___ce,"00:ate_0,50",5374,M,2020
fortaleza___ce,"01:0,51_a_1,00",54858,M,2020
fortaleza___ce,"02:1,01_a_1,50",149957,M,2020
fortaleza___ce,"03:1,51_a_2,00",59790,M,2020
fortaleza___ce,"04:2,01_a_3,00",45856,M,2020
fortaleza___ce,"05:3,01_a_4,00",29121,M,2020
fortaleza___ce,"06:4,01_a_5,00",16663,M,2020
fortaleza___ce,"07:5,01_a_7,00",20541,M,2020
fortaleza___ce,"08:7,01_a_10,00",10651,M,2020
fortaleza___ce,"09:10,01_a_15,00",8323,M,2020
fortaleza___ce,"10:15,01_a_20,00",5148,M,2020
fortaleza___ce,"11:mais_de_20,00",5255,M,2020
natal___rn,"00:ate_0,50",2007,M,2020
natal___rn,"01:0,51_a_1,00",16874,M,2020
natal___rn,"02:1,01_a_1,50",49289,M,2020
natal___rn,"03:1,51_a_2,00",21283,M,2020
natal___rn,"04:2,01_a_3,00",19984,M,2020
natal___rn,"05:3,01_a_4,00",11542,M,2020
natal___rn,"06:4,01_a_5,00",7828,M,2020
natal___rn,"07:5,01_a_7,00",8148,M,2020
natal___rn,"08:7,01_a_10,00",4519,M,2020
natal___rn,"09:10,01_a_15,00",5075,M,2020
natal___rn,"10:15,01_a_20,00",2831,M,2020
natal___rn,"11:mais_de_20,00",2144,M,2020
joao_pessoa___pb,"00:ate_0,50",1298,M,2020
joao_pessoa___pb,"01:0,51_a_1,00",17776,M,2020
joao_pessoa___pb,"02:1,01_a_1,50",54369,M,2020
joao_pessoa___pb,"03:1,51_a_2,00",19744,M,2020
joao_pessoa___pb,"04:2,01_a_3,00",21857,M,2020
joao_pessoa___pb,"05:3,01_a_4,00",9031,M,2020
joao_pessoa___pb,"06:4,01_a_5,00",4524,M,2020
joao_pessoa___pb,"07:5,01_a_7,00",5446,M,2020
joao_pessoa___pb,"08:7,01_a_10,00",4264,M,2020
joao_pessoa___pb,"09:10,01_a_15,00",3386,M,2020
joao_pessoa___pb,"10:15,01_a_20,00",2424,M,2020
joao_pessoa___pb,"11:mais_de_20,00",1688,M,2020
recife___pe,"00:ate_0,50",3628,M,2020
recife___pe,"01:0,51_a_1,00",27509,M,2020
recife___pe,"02:1,01_a_1,50",107923,M,2020
recife___pe,"03:1,51_a_2,00",60967,M,2020
recife___pe,"04:2,01_a_3,00",40512,M,2020
recife___pe,"05:3,01_a_4,00",20311,M,2020
recife___pe,"06:4,01_a_5,00",19210,M,2020
recife___pe,"07:5,01_a_7,00",18301,M,2020
recife___pe,"08:7,01_a_10,00",15014,M,2020
recife___pe,"09:10,01_a_15,00",11088,M,2020
recife___pe,"10:15,01_a_20,00",4620,M,2020
recife___pe,"11:mais_de_20,00",5325,M,2020
maceio___al,"00:ate_0,50",1499,M,2020
maceio___al,"01:0,51_a_1,00",18603,M,2020
maceio___al,"02:1,01_a_1,50",49593,M,2020
maceio___al,"03:1,51_a_2,00",22004,M,2020
maceio___al,"04:2,01_a_3,00",12754,M,2020
