;;Sexo Trabalhador;Escolaridade após 2005
Capital; Faixa Remun Média (SM); 01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;01:Analfabeto;02:Até 5ª Incompleto;03:5ª Completo Fundamental;04:6ª a 9ª Fundamental;05:Fundamental Completo;06:Médio Incompleto;07:Médio Completo;08:Superior Incompleto;09:Superior Completo;10:Mestrado;11:Doutorado;Total;01:Analfabeto;02:Até 5ª Incompleto;03:5ª Completo Fundamental;04:6ª a 9ª Fundamental;05:Fundamental Completo;06:Médio Incompleto;07:Médio Completo;08:Superior Incompleto;09:Superior Completo;10:Mestrado;11:Doutorado;Total;01:Analfabeto;02:Até 5ª Incompleto;03:5ª Completo Fundamental;04:6ª a 9ª Fundamental;05:Fundamental Completo;06:Médio Incompleto;07:Médio Completo;08:Superior Incompleto;09:Superior Completo;10:Mestrado;11:Doutorado;Total
;04:2,01 a 3,00;5;69;105;155;578;166;3.278;193;1.357;13;2;5.921;2;2;14;26;86;30;3.113;202;2.872;28;4;6.379;7;71;119;181;664;196;6.391;395;4.229;41;6;12.300
;05:3,01 a 4,00;2;68;47;127;290;46;1.209;106;1.778;19;3;3.695;0;36;3;151;99;15;825;114;3.034;17;1;4.295;2;104;50;278;389;61;2.034;220;4.812;36;4;7.990
;06:4,01 a 5,00;1;19;20;39;62;19;642;61;859;18;3;1.743;0;7;1;18;34;5;419;59;1.915;17;2;2.477;1;26;21;57;96;24;1.061;120;2.774;35;5;4.220
;07:5,01 a 7,00;0;61;39;191;283;12;1.228;57;1.659;19;8;3.557;0;35;1;183;316;5;1.229;46;2.911;15;5;4.746;0;96;40;374;599;17;2.457;103;4.570;34;13;8.303
;08:7,01 a 10,00;0;9;15;9;84;2;794;58;1.314;69;2;2.356;0;0;1;0;6;2;326;22;2.077;65;4;2.503;0;9;16;9;90;4;1.120;80;3.391;134;6;4.859
;09:10,01 a 15,00;0;3;7;8;69;5;280;26;1.086;87;55;1.626;0;0;0;0;5;1;98;10;1.148;67;51;1.380;0;3;7;8;74;6;378;36;2.234;154;106;3.006
;10:15,01 a 20,00;0;0;0;5;2;0;61;16;576;29;14;703;0;0;1;0;0;0;21;4;313;21;9;369;0;0;1;5;2;0;82;20;889;50;23;1.072
;11:Mais de 20,00;0;1;3;3;5;0;44;4;608;50;25;743;0;0;0;0;0;1;6;0;294;25;19;345;0;1;3;3;5;1;50;4;902;75;44;1.088
;{ñ class};3;16;15;30;29;20;143;5;38;1;0;300;2;5;8;7;13;6;82;2;61;3;0;189;5;21;23;37;42;26;225;7;99;4;0;489
150140:Belém - PA;Total;540;3.050;2.835;10.430;26.419;14.523;119.484;6.650;48.051;1.826;784;234.592;126;565;559;4.188;10.094;5.713;80.196;5.402;64.455;2.687;700;174.685;666;3.615;3.394;14.618;36.513;20.236;199.680;12.052;112.506;4.513;1.484;409.277
;00:Até 0,50;0;5;46;141;121;728;679;78;309;14;4;2.125;2;19;24;151;222;616;774;50;208;12;4;2.082;2;24;70;292;343;1.344;1.453;128;517;26;8;4.207
;01:0,51 a 1,00;21;151;160;361;906;819;3.541;337;867;53;14;7.230;7;82;53;326;580;563;3.299;210;768;37;20;5.945;28;233;213;687;1.486;1.382;6.840;547;1.635;90;34;13.175
;02:1,01 a 1,50;285;1.357;1.042;3.449;9.987;5.148;40.181;1.485;2.287;61;9;65.291;68;366;366;2.206;6.587;2.824;37.724;1.823;4.262;73;22;56.321;353;1.723;1.408;5.655;16.574;7.972;77.905;3.308;6.549;134;31;121.612
;03:1,51 a 2,00;167;864;682;3.234;5.531;2.834;25.225;1.000;2.284;68;17;41.906;30;46;53;1.012;1.254;909;16.830;991;3.644;111;18;24.898;197;910;735;4.246;6.785;3.743;42.055;1.991;5.928;179;35;66.804
;04:2,01 a 3,00;50;323;413;1.550;4.643;1.931;24.979;1.247;4.133;139;24;39.432;15;19;28;244;729;320;10.660;931;6.537;361;36;19.880;65;342;441;1.794;5.372;2.251;35.639;2.178;10.670;500;60;59.312
;05:3,01 a 4,00;6;90;105;617;2.110;1.359;11.793;841;4.799;130;21;21.871;1;4;5;95;327;203;4.216;403;9.386;204;30;14.874;7;94;110;712;2.437;1.562;16.009;1.244;14.185;334;51;36.745
;06:4,01 a 5,00;1;38;32;281;1.205;938;4.493;375;4.410;215;30;12.018;0;2;3;45;122;138;2.506;308;7.878;309;25;11.336;1;40;35;326;1.327;1.076;6.999;683;12.288;524;55;23.354
;07:5,01 a 7,00;0;79;38;369;781;305;4.224;406;8.630;249;51;15.132;0;5;0;12;81;43;2.206;285;12.816;464;54;15.966;0;84;38;381;862;348;6.430;691;21.446;713;105;31.098
;08:7,01 a 10,00;2;29;16;110;315;152;1.894;359;7.332;428;50;10.687;0;0;0;9;23;13;954;267;9.091;726;70;11.153;2;29;16;119;338;165;2.848;626;16.423;1.154;120;21.840
;09:10,01 a 15,00;0;4;7;57;155;75;888;228;6.402;298;371;8.485;0;1;0;11;16;6;284;77;5.236;268;304;6.203;0;5;7;68;171;81;1.172;305;11.638;566;675;14.688
;10:15,01 a 20,00;0;0;4;16;32;11;297;58;2.835;60;72;3.385;0;0;0;4;8;0;73;14;2.007;50;56;2.212;0;0;4;20;40;11;370;72;4.842;110;128;5.597
;11:Mais de 20,00;0;0;4;4;13;4;183;36;3.546;98;118;4.006;0;0;0;1;4;0;50;8;2.392;61;60;2.576;0;0;4;5;17;4;233;44;5.938;159;178;6.582
;{ñ class};8;110;286;241;620;219;1.107;200;217;13;3;3.024;3;21;27;72;141;78;620;35;230;11;1;1.239;11;131;313;313;761;297;1.727;235;447;24;4;4.263
160030:Macapá - AP;Total;108;635;427;1.558;3.167;2.418;24.928;1.321;21.230;374;199;56.365;33;166;129;581;2.011;1.080;19.400;1.349;27.310;383;151;52.593;141;801;556;2.139;5.178;3.498;44.328;2.670;48.540;757;350;108.958
;00:Até 0,50;1;1;0;12;18;146;181;25;170;1;0;555;0;0;0;24;10;119;145;32;70;0;0;400;1;1;0;36;28;265;326;57;240;1;0;955
;01:0,51 a 1,00;12;54;26;85;217;220;1.402;75;564;7;1;2.663;6;15;12;47;154;155;1.280;93;930;3;1;2.696;18;69;38;132;371;375;2.682;168;1.494;10;2;5.359
;02:1,01 a 1,50;74;310;216;667;1.461;1.384;10.514;476;941;13;2;16.058;21;98;93;334;1.059;681;8.961;600;1.857;11;0;13.715;95;408;309;1.001;2.520;2.065;19.475;1.076;2.798;24;2;29.773
