sexo,extrativa_mineral,mineral_nao_metalico,metalurgica,mecanica,eletrico_comunicacao,material_transporte,madeira_mobiliario,papel,borracha_fumo_couro,quimica,textil,calcados,alimentos_bebidas,servico_utilidade_publica,construcao_civil,varejo,atacado,intituicao_financeira,adm_tec_profissional,transporte_comunicacoes,aloj_comunicacao,medico_dentista_veterinario,ensino,adm_publica,agricultura,faixa_salarial,ano
f,2.691,620,2.362,2.622,1.694,3.899,298,3.260,1.170,9.035,935,125,3.217,5.833,3.776,6.758,6.204,39.595,25.152,10.536,15.148,15.081,36.267,152.978,707,"09:10,01 a 15,00",2008
m,584,707,1.609,1.267,644,1.033,763,736,734,1.491,1.560,1.112,6.023,1.136,8.266,18.517,5.399,694,10.003,7.399,25.534,2.641,14.617,8.461,2.805,"00:Até 0,50",2018
f,329,476,842,538,476,502,549,565,475,1.110,2.114,1.184,5.730,1.180,3.568,20.824,4.728,1.180,13.073,6.170,28.988,5.670,19.268,15.442,2.441,"00:Até 0,50",2018
m,8.267,889,2.680,4.654,1.682,7.588,359,1.993,1.304,12.523,550,150,3.694,8.792,3.511,5.530,9.347,22.916,29.858,12.108,7.619,7.320,27.290,97.402,1.532,"10:15,01 a 20,00",2018
f,1.397,156,344,516,261,877,41,692,310,4.066,210,37,992,1.978,732,2.482,3.310,11.934,12.472,2.661,4.918,8.006,24.309,60.681,373,"10:15,01 a 20,00",2018
m,16.158,10.905,38.189,36.252,9.888,35.219,7.697,16.938,13.351,38.294,9.231,2.274,47.674,26.445,55.019,82.956,47.197,41.462,115.552,106.106,41.317,28.803,50.817,341.915,24.838,"06:4,01 a 5,00",2018
f,1.601,1.645,3.778,4.457,2.264,4.365,1.310,4.189,2.583,10.829,4.883,781,10.649,5.336,6.431,56.261,19.060,54.546,66.782,19.349,35.071,82.615,67.571,471.236,2.468,"06:4,01 a 5,00",2018
m,42.275,69.542,147.099,116.713,40.265,99.225,71.088,56.041,48.951,150.477,61.183,14.799,283.055,77.802,419.945,667.698,243.013,34.361,777.895,615.948,279.398,104.961,112.744,587.366,248.538,"04:2,01 a 3,00",2018
f,3.964,8.401,19.200,24.702,17.210,17.712,13.070,17.310,15.063,45.489,46.163,5.995,79.439,14.336,29.587,400.620,82.476,65.399,307.252,87.477,230.149,335.415,201.841,1.017.256,20.480,"04:2,01 a 3,00",2018
m,2.729,13.063,8.202,5.389,1.795,3.372,8.169,5.654,3.853,7.610,11.455,5.332,29.867,3.661,41.563,162.417,22.536,3.780,86.011,37.917,118.512,11.565,55.991,142.818,88.192,"01:0,51 a 1,00",2018
f,1.333,2.688,3.461,3.097,1.201,1.559,3.432,4.070,3.106,5.666,20.009,6.294,27.159,2.488,12.711,173.405,18.643,7.126,150.208,26.238,177.370,41.507,98.908,219.477,26.109,"01:0,51 a 1,00",2018
m,28.170,24.931,71.722,66.671,18.619,57.818,20.319,29.045,22.742,72.540,21.611,4.570,110.097,43.833,142.134,201.300,94.487,47.710,238.070,290.080,94.251,59.067,66.963,448.531,75.270,"05:3,01 a 4,00",2018
f,2.526,3.350,7.338,8.364,4.853,7.335,3.131,7.364,5.228,17.723,11.320,1.766,24.200,7.279,12.992,121.795,35.370,70.586,120.517,38.166,77.169,158.091,103.593,690.245,5.850,"05:3,01 a 4,00",2018
m,9.807,5.155,17.832,19.970,6.551,34.786,2.356,10.868,6.377,28.291,3.069,929,19.210,29.841,22.902,29.457,29.801,57.704,96.152,44.634,30.753,21.671,56.213,309.450,7.784,"08:7,01 a 10,00",2018
f,2.209,909,2.459,2.992,1.387,4.214,479,3.142,1.537,11.743,1.689,262,5.367,7.127,4.609,15.956,13.449,50.514,49.333,15.492,24.765,44.077,64.054,305.805,1.618,"08:7,01 a 10,00",2018
m,14.814,87.704,72.631,41.354,17.696,20.614,95.153,40.017,37.090,82.830,122.055,73.513,322.751,40.933,381.389,1.643.383,298.393,18.229,811.057,354.188,699.704,99.421,127.606,542.586,463.043,"02:1,01 a 1,50",2018
f,3.110,14.285,19.443,17.826,16.953,7.902,31.472,26.739,31.698,57.352,281.646,93.220,292.958,14.679,63.277,1.738.775,169.495,46.244,911.887,156.919,1.194.962,430.036,369.750,1.054.400,127.592,"02:1,01 a 1,50",2018
m,13.336,1.021,2.639,4.571,1.578,5.411,429,2.038,1.406,19.638,629,177,4.597,9.944,3.452,5.868,12.397,28.412,38.595,14.177,7.238,6.991,19.971,117.536,1.535,"11:Mais de 20,00",2018
f,1.496,115,304,402,175,501,37,567,252,4.894,168,17,957,1.722,473,2.251,3.683,10.252,13.665,1.928,3.370,5.874,12.555,68.070,178,"11:Mais de 20,00",2018
m,23.593,73.795,119.511,80.455,34.834,51.235,99.714,47.201,48.549,127.425,68.967,29.863,327.050,52.403,487.305,1.112.183,268.738,18.746,766.749,442.093,440.201,104.023,90.648,457.159,288.855,"03:1,51 a 2,00",2018
f,2.595,10.996,25.185,27.768,27.567,14.469,26.086,23.623,26.229,69.740,107.533,21.888,187.307,10.279,37.287,911.305,122.336,41.868,387.003,102.081,465.895,410.133,185.088,710.711,44.810,"03:1,51 a 2,00",2018
