sexo,extrativa_mineral,mineral_nao_metalico,metalurgica,mecanica,eletrico_comunicacao,material_transporte,madeira_mobiliario,papel,borracha_fumo_couro,quimica,textil,calcados,alimentos_bebidas,servico_utilidade_publica,construcao_civil,varejo,atacado,intituicao_financeira,adm_tec_profissional,transporte_comunicacoes,aloj_comunicacao,medico_dentista_veterinario,ensino,adm_publica,agricultura,faixa_salarial,ano
m,149,293,768,420,173,473,366,562,198,449,410,139,2.265,447,1.210,4.879,659,86,2.918,1.685,10.469,475,3.803,6.690,1.963,"00:Até 0,50",2004
f,47,58,163,85,59,75,141,302,72,141,550,100,870,292,213,4.699,611,146,4.533,681,8.250,1.527,5.603,24.102,1.483,"00:Até 0,50",2004
m,4.220,1.699,9.503,7.725,4.272,17.402,764,5.234,2.800,16.497,1.359,751,5.898,15.312,5.225,7.738,7.254,35.391,25.084,16.220,11.188,4.707,15.967,86.012,2.181,"10:15,01 a 20,00",2004
f,570,280,901,924,805,1.755,94,1.625,518,4.483,358,110,1.199,2.784,789,2.361,2.530,21.627,11.253,4.887,6.584,6.289,15.731,58.502,299,"10:15,01 a 20,00",2004
m,10.181,14.370,48.614,34.978,12.544,43.152,12.820,21.650,12.586,33.910,18.794,3.896,56.310,20.217,57.977,100.785,35.882,22.601,120.626,155.601,48.355,20.198,28.541,349.473,25.389,"06:4,01 a 5,00",2004
f,820,1.482,4.346,4.086,3.874,4.346,1.490,5.986,3.005,8.789,6.953,1.238,9.271,3.092,3.972,44.721,10.705,25.642,37.109,14.935,40.668,48.958,39.598,355.280,2.114,"06:4,01 a 5,00",2004
m,23.485,61.687,129.053,65.995,37.123,48.479,97.134,52.133,52.716,102.186,70.381,31.258,249.255,38.988,333.606,685.638,166.919,12.558,571.736,371.394,272.231,59.794,57.968,459.965,205.639,"04:2,01 a 3,00",2004
f,1.909,8.536,17.824,14.301,28.442,9.228,15.990,21.987,20.079,49.216,92.661,21.252,81.774,6.985,17.338,396.305,55.374,21.052,191.475,64.335,215.262,187.148,100.323,725.216,16.333,"04:2,01 a 3,00",2004
m,2.885,14.106,5.003,1.433,609,1.805,11.480,5.121,2.775,6.275,7.856,2.058,37.971,2.270,18.077,116.164,13.583,1.113,45.273,17.943,81.356,3.788,19.423,124.200,126.245,"01:0,51 a 1,00",2004
f,520,1.879,1.387,487,363,411,2.880,2.743,2.375,2.643,17.557,2.605,15.684,1.042,3.322,100.452,7.331,1.649,49.581,6.723,102.285,20.372,41.410,277.614,28.507,"01:0,51 a 1,00",2004
m,14.059,26.811,74.357,47.227,20.895,47.468,30.606,32.763,23.694,54.571,34.523,9.533,106.356,24.640,118.513,218.963,68.004,18.438,262.781,256.048,96.137,33.405,40.560,345.729,64.141,"05:3,01 a 4,00",2004
f,1.035,2.993,7.600,7.650,8.852,6.589,3.703,10.056,6.545,16.140,19.210,3.489,19.547,3.898,7.436,99.798,20.666,25.515,69.786,26.819,73.125,87.216,58.976,466.264,4.015,"05:3,01 a 4,00",2004
m,9.401,7.922,46.892,28.482,10.604,44.247,5.013,20.374,13.835,32.657,8.223,2.939,28.479,33.987,28.339,48.846,23.213,46.668,69.726,49.631,35.675,18.911,33.622,261.645,9.535,"08:7,01 a 10,00",2004
f,989,1.002,3.120,3.097,2.354,3.765,701,4.950,1.981,8.201,2.904,839,5.704,6.992,3.822,20.849,7.968,48.110,29.701,14.928,29.528,35.076,41.124,282.750,1.696,"08:7,01 a 10,00",2004
m,13.963,64.623,34.765,10.982,6.038,7.657,90.882,24.689,24.470,42.075,77.012,59.463,184.918,21.087,189.962,763.772,121.880,5.578,336.952,104.480,385.033,34.963,44.085,334.619,418.840,"02:1,01 a 1,50",2004
f,2.102,7.978,6.803,4.520,5.552,1.495,23.261,14.165,20.146,28.412,201.481,78.078,112.129,7.268,18.396,680.459,59.686,8.753,239.421,36.336,550.009,163.711,111.745,705.445,85.243,"02:1,01 a 1,50",2004
m,10.153,2.605,10.288,10.695,6.906,22.022,1.051,6.928,3.837,30.761,1.930,856,9.388,20.755,7.200,11.277,14.321,56.592,47.791,27.372,14.717,6.221,24.766,151.642,2.965,"11:Mais de 20,00",2004
f,644,262,818,862,836,1.459,93,2.034,580,5.608,376,67,1.353,3.054,702,2.899,3.579,20.197,14.246,5.731,6.039,4.975,17.631,89.589,276,"11:Mais de 20,00",2004
m,15.193,47.545,76.445,28.819,17.564,16.651,110.304,27.442,33.147,49.602,65.642,37.315,205.011,28.606,210.352,697.938,139.686,7.099,391.865,169.444,276.607,37.745,41.790,270.059,242.155,"03:1,51 a 2,00",2004
f,1.821,6.011,13.865,8.727,14.445,3.623,26.256,14.334,21.132,28.993,139.495,48.669,108.915,6.041,14.016,521.995,58.139,12.107,221.095,48.311,295.890,159.283,81.082,479.517,34.176,"03:1,51 a 2,00",2004
m,15.694,13.075,59.411,42.866,14.108,51.424,9.592,25.675,14.879,41.257,15.522,4.076,52.167,32.043,48.486,87.632,34.450,44.591,104.392,112.878,49.521,31.473,39.604,416.589,17.142,"07:5,01 a 7,00",2004
f,1.210,1.454,4.246,4.252,3.441,4.724,1.278,6.363,2.966,9.887,4.987,1.301,9.248,6.352,4.550,38.375,11.344,49.351,39.649,18.045,44.678,57.574,51.632,474.875,2.278,"07:5,01 a 7,00",2004
m,7.749,4.628,28.576,18.777,8.321,42.495,2.332,13.228,8.760,28.195,4.184,1.682,15.616,33.990,15.163,22.589,16.055,54.695,49.980,35.032,25.795,12.231,31.539,179.545,5.749,"09:10,01 a 15,00",2004
f,1.207,678,2.188,2.395,1.677,3.058,394,3.489,1.444,7.553,1.349,297,3.456,6.688,2.242,7.978,5.671,45.557,22.646,11.502,17.573,19.575,33.953,158.654,1.047,"09:10,01 a 15,00",2004
m,326,584,1.681,1.274,619,974,766,694,450,1.194,958,695,3.888,636,6.979,10.954,2.424,330,6.244,6.289,17.762,1.386,12.374,15.010,2.006,"00:Até 0,50",2012
f,257,369,683,560,412,471,477,460,294,599,1.653,842,2.972,501,3.384,13.478,2.158,636,10.690,4.973,19.010,3.726,16.279,40.818,2.037,"00:Até 0,50",2012
m,10.269,1.275,4.561,7.427,3.449,14.044,475,3.186,1.671,16.276,792,161,4.439,9.879,10.952,8.060,10.387,28.708,29.820,15.141,8.522,6.598,19.983,93.779,1.382,"10:15,01 a 20,00",2012
f,1.959,240,648,863,521,1.905,72,1.202,369,5.042,297,27,1.015,2.181,1.682,2.286,3.739,13.868,12.179,3.640,6.047,7.314,18.173,62.050,264,"10:15,01 a 20,00",2012
m,21.886,12.986,53.577,47.440,13.366,54.232,9.380,20.174,14.976,40.990,11.454,2.466,50.101,24.534,98.197,102.376,44.132,40.706,116.203,108.395,41.618,23.910,44.292,333.375,23.750,"06:4,01 a 5,00",2012
f,2.189,1.681,4.718,5.317,3.171,5.226,1.435,5.735,2.781,9.785,5.434,858,10.107,5.134,10.276,50.696,17.055,52.009,59.519,21.087,36.524,61.038,54.387,445.011,2.187,"06:4,01 a 5,00",2012
m,41.935,79.263,178.238,129.835,51.386,123.123,76.800,62.775,52.225,152.435,69.664,17.051,276.260,60.372,592.047,665.703,216.970,29.134,727.457,618.890,247.874,84.931,93.654,565.429,218.792,"04:2,01 a 3,00",2012
f,3.659,9.264,22.551,27.096,24.707,23.116,12.829,22.071,15.527,44.848,51.302,6.691,66.801,9.355,38.811,362.313,70.341,51.615,255.394,89.433,197.119,242.269,142.361,1.017.084,17.110,"04:2,01 a 3,00",2012
m,3.102,20.925,11.065,4.746,2.144,3.899,12.490,7.565,5.121,8.874,14.454,5.839,35.652,3.771,72.508,188.691,23.272,3.157,77.179,36.767,124.535,7.831,48.001,143.433,108.404,"01:0,51 a 1,00",2012
f,1.394,3.592,4.027,2.321,1.392,1.524,4.615,5.279,4.174,6.130,31.654,8.426,28.508,1.978,13.468,195.750,17.782,5.963,137.944,24.676,194.353,33.459,89.029,242.632,32.542,"01:0,51 a 1,00",2012
m,29.626,29.330,94.527,81.685,24.168,82.315,23.207,32.721,23.680,75.738,26.745,5.085,113.205,36.297,224.668,223.508,87.650,55.201,237.157,279.400,84.985,46.180,61.600,423.591,68.931,"05:3,01 a 4,00",2012
f,2.948,3.435,8.683,9.856,6.615,8.858,3.472,9.496,5.298,16.261,12.336,1.803,21.427,6.130,17.800,114.546,30.194,72.716,104.104,38.108,70.655,112.536,82.244,669.258,4.709,"05:3,01 a 4,00",2012
m,15.641,6.269,29.008,28.794,10.396,47.270,2.824,13.843,7.944,32.237,4.271,1.052,21.077,33.438,49.867,40.616,30.103,55.563,92.326,53.428,31.012,18.434,53.347,288.095,7.568,"08:7,01 a 10,00",2012
f,3.132,1.182,3.431,4.336,2.254,5.467,604,4.579,1.816,11.321,2.153,257,5.736,7.456,8.665,16.568,11.932,52.082,47.353,18.951,24.863,33.896,57.550,279.116,1.519,"08:7,01 a 10,00",2012
m,20.669,126.524,97.212,44.293,22.659,24.916,128.704,49.082,44.224,93.639,147.454,88.929,316.041,39.877,625.773,1.749.396,310.782,16.954,850.127,370.255,717.337,79.135,110.358,524.953,475.803,"02:1,01 a 1,50",2012
f,3.983,20.810,29.053,21.331,28.675,12.663,47.770,39.411,43.646,78.168,404.376,131.106,309.286,20.266,77.768,1.930.412,188.300,43.873,927.664,162.503,1.282.741,396.669,308.009,1.079.164,139.442,"02:1,01 a 1,50",2012
m,20.247,1.696,5.138,8.531,3.716,12.270,644,3.566,2.128,25.351,1.027,197,6.188,13.040,12.319,8.656,16.021,30.405,39.344,18.631,8.437,7.701,19.682,130.237,1.724,"11:Mais de 20,00",2012
f,2.172,211,466,750,392,955,74,1.165,322,5.374,260,24,1.107,2.061,1.272,2.124,4.081,10.144,12.248,2.856,3.225,6.236,11.923,77.490,179,"11:Mais de 20,00",2012
m,24.385,88.991,138.531,83.284,41.198,51.398,110.732,50.487,49.890,127.199,72.481,31.073,296.522,53.627,733.641,1.004.529,231.385,15.033,813.954,414.938,362.446,80.265,75.241,432.956,265.841,"03:1,51 a 2,00",2012
f,2.367,12.961,32.323,33.771,37.723,17.822,27.625,27.538,27.546,73.732,113.776,21.965,155.705,11.013,48.371,770.746,98.203,31.597,345.135,103.080,349.167,308.323,131.760,736.466,39.733,"03:1,51 a 2,00",2012
m,21.906,11.758,54.651,46.933,13.826,56.085,6.860,22.204,15.738,43.025,9.644,2.222,40.008,34.946,84.821,83.648,44.246,60.667,122.257,87.841,41.604,25.635,60.888,442.707,16.509,"07:5,01 a 7,00",2012
f,3.052,1.879,4.781,5.938,3.235,6.033,1.247,6.905,2.969,12.494,4.881,604,9.768,7.536,11.223,40.160,18.037,67.067,64.332,26.456,35.957,59.224,71.818,501.050,2.449,"07:5,01 a 7,00",2012
m,15.453,3.451,15.310,19.326,8.570,31.110,1.521,8.692,4.371,28.960,2.153,530,11.993,24.649,28.218,21.777,21.842,54.585,70.160,33.571,25.212,14.235,47.550,185.689,3.923,"09:10,01 a 15,00",2012
f,3.346,741,2.163,2.910,1.726,4.527,308,3.168,1.076,9.569,994,113,3.259,5.742,5.528,7.599,8.659,39.500,32.991,10.219,24.462,18.890,48.006,167.900,801,"09:10,01 a 15,00",2012
m,321,341,940,602,342,491,408,798,305,720,703,100,2.360,590,2.015,6.194,1.029,146,3.642,2.314,12.420,635,7.418,11.093,2.199,"00:Até 0,50",2006
f,111,135,275,143,152,117,200,482,169,250,883,105,1.296,256,462,6.685,948,288,6.566,1.202,9.904,2.184,9.772,29.469,1.813,"00:Até 0,50",2006
m,6.971,1.347,6.410,6.782,3.844,16.006,664,4.408,2.181,15.157,1.094,369,5.074,11.896,5.036,5.929,7.197,30.630,23.393,14.316,9.018,4.609,17.827,89.034,1.363,"10:15,01 a 20,00",2006
f,1.325,229,705,817,675,1.893,73,1.370,444,4.140,300,33,1.053,2.240,734,1.863,2.563,16.328,9.976,4.066,5.054,4.932,16.309,59.308,163,"10:15,01 a 20,00",2006
m,15.021,11.580,47.869,37.279,12.221,46.175,9.536,20.508,12.288,32.571,14.261,2.834,51.253,21.539,51.224,85.276,32.664,31.252,92.868,108.458,40.242,28.398,33.709,322.012,19.031,"06:4,01 a 5,00",2006
f,1.219,1.271,3.736,3.849,3.263,3.947,1.190,5.427,2.697,8.261,4.860,844,8.559,4.106,4.323,38.567,10.856,37.833,36.783,14.302,34.726,51.277,50.457,389.090,1.842,"06:4,01 a 5,00",2006
m,26.663,57.537,139.216,80.106,41.898,68.114,74.696,58.496,50.259,103.517,67.711,21.031,261.192,38.335,324.204,568.659,156.547,22.007,554.061,412.290,217.857,64.861,71.617,506.297,184.008,"04:2,01 a 3,00",2006
f,1.455,6.770,17.522,16.882,24.467,11.858,10.389,23.181,15.548,40.331,61.928,9.070,63.252,6.263,17.632,286.053,47.631,36.900,170.508,59.368,161.011,185.759,140.360,775.023,11.940,"04:2,01 a 3,00",2006
m,3.049,17.191,6.654,2.697,1.409,2.430,13.052,6.118,3.791,7.802,10.892,3.844,43.305,3.694,37.755,147.377,16.738,1.814,53.169,25.234,101.972,4.859,28.207,152.474,132.039,"01:0,51 a 1,00",2006
f,753,2.459,1.999,956,730,599,3.641,3.594,2.831,3.741,24.101,4.847,22.959,1.031,4.903,133.545,10.466,2.899,65.648,10.541,133.154,24.761,56.721,308.089,33.178,"01:0,51 a 1,00",2006
m,18.032,24.720,77.366,55.641,21.504,59.005,23.927,33.062,21.701,53.438,30.876,5.764,101.771,28.132,113.332,183.599,63.592,30.241,210.561,261.665,78.864,33.818,46.809,391.070,54.925,"05:3,01 a 4,00",2006
f,1.256,2.390,7.119,7.284,6.977,7.075,2.926,9.620,5.543,14.283,12.622,1.894,16.430,4.495,7.706,80.731,20.100,37.291,65.671,25.958,61.616,83.578,78.509,521.327,3.640,"05:3,01 a 4,00",2006
m,9.830,6.351,39.467,27.644,10.550,50.413,3.812,17.873,12.114,29.405,6.229,1.796,24.197,33.255,28.316,37.825,21.386,48.554,67.653,45.795,31.085,18.264,39.263,261.746,7.274,"08:7,01 a 10,00",2006
f,1.330,931,3.127,3.209,2.258,4.049,655,4.706,1.799,8.447,2.319,390,5.238,7.052,4.593,15.833,8.294,47.811,31.134,15.203,25.740,32.696,45.777,255.020,1.192,"08:7,01 a 10,00",2006
m,18.927,86.123,57.697,22.634,12.945,12.786,121.230,36.403,36.470,66.394,115.529,78.841,282.893,32.734,322.740,1.141.194,191.395,10.675,535.302,188.589,532.748,50.984,71.118,457.642,488.777,"02:1,01 a 1,50",2006
f,2.763,11.685,11.835,8.955,12.536,3.120,33.529,22.067,28.377,47.346,283.197,101.578,189.382,8.576,30.678,1.046.686,94.338,20.655,435.180,61.689,766.493,234.066,176.105,924.619,104.869,"02:1,01 a 1,50",2006
m,18.944,1.918,7.537,8.597,5.287,17.512,802,5.577,3.140,22.898,1.521,378,7.820,15.418,6.476,8.349,13.774,40.087,37.058,18.954,11.598,4.589,19.228,144.124,1.768,"11:Mais de 20,00",2006
f,1.780,217,569,669,596,1.356,74,1.548,476,4.288,238,26,1.212,2.353,527,2.048,3.418,13.322,11.829,3.602,4.575,3.464,12.418,85.301,150,"11:Mais de 20,00",2006
m,18.978,59.314,106.555,47.547,29.613,26.411,104.880,36.365,45.306,76.455,73.994,33.248,266.555,38.678,316.377,801.476,166.556,10.202,486.249,257.557,290.866,51.405,55.522,321.020,242.869,"03:1,51 a 2,00",2006
f,1.425,7.641,19.154,13.624,22.602,6.123,21.281,18.959,23.597,44.811,130.365,32.579,126.561,6.695,18.784,560.877,68.089,20.279,233.632,58.849,275.974,185.653,119.143,554.861,28.900,"03:1,51 a 2,00",2006
m,14.745,10.861,56.408,40.926,13.473,51.032,7.374,24.432,15.676,37.890,11.494,2.807,43.951,32.103,45.331,71.423,30.727,48.878,88.641,77.694,44.584,25.541,44.176,394.821,13.115,"07:5,01 a 7,00",2006
f,1.484,1.313,3.999,3.997,2.978,4.417,1.071,6.519,2.694,9.683,4.059,800,8.475,6.394,5.272,32.271,10.979,54.059,39.652,18.214,42.087,52.033,60.057,430.197,1.643,"07:5,01 a 7,00",2006
m,12.005,3.366,20.212,17.705,7.990,33.381,1.706,11.227,6.090,25.787,3.011,1.012,13.493,29.826,13.872,16.624,15.466,54.489,47.164,30.882,20.173,10.653,32.144,167.670,3.877,"09:10,01 a 15,00",2006
f,2.747,614,2.134,2.270,1.548,3.251,321,3.323,1.214,8.077,958,144,3.008,5.642,2.355,5.887,5.618,41.086,22.240,9.756,14.036,15.803,33.035,149.320,551,"09:10,01 a 15,00",2006
m,398,367,869,721,348,525,425,840,389,895,609,154,2.822,374,2.923,6.616,1.304,198,4.464,2.422,13.520,658,8.245,12.733,2.315,"00:Até 0,50",2007
f,127,140,292,200,157,171,197,540,162,359,848,146,1.752,157,631,7.390,1.148,352,7.582,1.443,12.099,1.890,10.569,32.980,1.854,"00:Até 0,50",2007
m,8.267,1.222,6.823,7.024,3.706,16.128,610,4.059,2.016,14.221,1.024,282,5.085,10.994,5.970,6.374,7.846,29.854,22.816,14.640,7.645,4.448,17.920,89.987,1.242,"10:15,01 a 20,00",2007
f,1.567,225,762,832,622,1.801,67,1.323,471,4.058,310,28,1.162,2.193,781,1.947,2.604,16.565,9.850,3.997,4.293,4.498,16.200,61.148,141,"10:15,01 a 20,00",2007
m,15.112,10.912,50.023,41.781,12.689,52.276,8.931,19.904,11.731,31.074,13.624,2.733,51.953,22.512,57.503,83.078,36.074,32.860,90.188,105.410,38.703,29.516,33.162,324.389,19.586,"06:4,01 a 5,00",2007
f,1.117,1.285,3.881,4.042,3.295,4.594,1.206,5.395,2.543,8.045,4.746,827,9.031,4.378,4.531,35.961,11.570,40.907,42.873,15.501,33.043,52.628,46.141,397.595,1.707,"06:4,01 a 5,00",2007
m,28.235,58.962,154.035,97.334,48.199,85.237,73.264,59.167,50.764,106.302,70.938,19.723,275.733,41.284,375.673,565.561,168.939,24.508,573.763,442.138,214.288,65.651,72.417,522.619,190.370,"04:2,01 a 3,00",2007
f,1.673,6.431,18.923,19.033,27.076,13.669,10.364,22.188,16.306,38.295,56.881,8.343,62.925,6.987,18.023,280.226,50.149,41.571,208.426,62.985,159.022,184.865,108.838,826.480,12.286,"04:2,01 a 3,00",2007
m,2.853,18.140,7.191,2.885,1.351,2.456,12.953,5.947,3.738,7.520,11.654,4.464,43.697,6.282,38.657,147.849,16.712,1.923,54.580,24.784,109.100,5.410,33.136,158.854,125.454,"01:0,51 a 1,00",2007
f,611,2.424,2.275,1.045,786,629,3.586,3.815,2.848,3.828,25.427,6.057,24.143,1.453,5.143,139.007,10.899,3.254,76.755,11.660,147.174,24.572,62.751,315.119,31.093,"01:0,51 a 1,00",2007
m,17.622,23.957,83.270,63.662,22.626,68.540,23.056,32.825,21.604,52.419,30.480,5.347,106.186,29.514,134.339,186.666,69.591,36.235,210.472,258.769,77.096,34.112,46.045,413.747,57.396,"05:3,01 a 4,00",2007
f,1.354,2.462,7.372,8.002,6.962,7.938,2.847,9.493,5.543,13.927,12.041,1.813,18.460,4.759,8.588,85.786,21.238,45.369,82.450,27.995,61.894,82.110,67.841,536.463,3.639,"05:3,01 a 4,00",2007
m,9.826,5.962,39.295,29.310,10.605,50.100,3.501,16.794,11.053,28.954,5.877,1.617,24.033,35.735,31.315,37.940,22.826,49.891,67.898,47.614,29.152,17.665,38.636,275.003,7.309,"08:7,01 a 10,00",2007
f,1.518,962,3.342,3.408,2.268,4.494,643,4.705,1.740,8.492,2.288,357,5.340,7.567,4.983,15.533,8.661,48.614,34.608,16.158,22.283,31.414,43.613,263.888,1.218,"08:7,01 a 10,00",2007
m,18.812,95.803,68.038,28.134,14.860,16.641,127.061,38.751,39.300,69.759,130.050,86.354,323.481,37.399,376.089,1.285.612,222.199,12.909,609.277,218.363,581.820,56.356,80.917,504.846,494.276,"02:1,01 a 1,50",2007
f,2.757,13.181,14.268,11.173,15.081,5.037,36.570,25.342,30.492,52.455,316.694,110.534,233.046,9.642,35.139,1.203.985,109.603,27.509,526.140,74.224,854.511,260.633,188.521,1.052.838,112.842,"02:1,01 a 1,50",2007
m,18.507,1.700,7.752,8.381,4.819,16.805,715,5.177,2.947,21.644,1.396,343,7.909,14.893,7.349,8.407,14.115,38.180,33.721,19.467,9.067,4.097,18.100,144.966,1.754,"11:Mais de 20,00",2007
f,1.601,202,576,706,584,1.254,72,1.544,484,4.183,278,23,1.226,2.176,617,2.109,3.633,12.440,10.466,3.379,3.265,3.019,11.907,86.673,166,"11:Mais de 20,00",2007
m,19.622,65.538,121.781,59.323,33.638,34.598,106.349,41.686,47.894,83.685,76.819,31.291,287.056,39.745,376.208,843.694,188.096,11.688,535.191,280.217,307.509,56.560,56.728,352.469,246.541,"03:1,51 a 2,00",2007
f,1.482,8.252,22.588,18.123,27.407,7.961,20.938,21.912,24.459,49.293,131.682,27.779,130.404,6.628,20.841,588.054,75.621,24.499,265.283,64.232,276.334,198.556,104.149,599.980,30.090,"03:1,51 a 2,00",2007
m,14.735,10.718,59.504,45.396,14.185,51.641,6.961,24.428,14.997,36.595,11.389,2.559,44.514,33.909,50.903,72.669,33.866,50.170,90.467,79.012,40.365,23.775,44.308,415.112,13.749,"07:5,01 a 7,00",2007
f,1.715,1.330,4.252,4.375,3.121,4.692,1.052,6.606,2.630,9.904,4.120,713,8.948,6.679,5.864,33.870,12.407,56.095,47.905,19.324,35.686,49.650,55.687,448.500,1.775,"07:5,01 a 7,00",2007
m,11.189,3.137,20.580,18.432,7.721,36.698,1.647,10.776,5.424,24.863,2.773,868,13.787,28.072,15.519,17.498,16.035,52.763,46.621,31.894,18.880,10.337,31.951,169.252,3.845,"09:10,01 a 15,00",2007
f,2.347,566,2.272,2.379,1.559,3.611,302,3.224,1.150,8.421,945,123,3.133,5.783,2.661,6.220,5.896,40.280,23.149,10.182,13.062,14.519,32.409,156.203,571,"09:10,01 a 15,00",2007
m,394,654,1.251,1.241,702,1.368,762,725,504,1.112,1.126,807,4.317,624,7.852,11.632,2.740,357,6.452,5.357,18.356,1.602,12.545,12.130,1.991,"00:Até 0,50",2013
f,224,372,554,590,453,520,493,576,321,755,1.902,898,3.296,566,3.664,14.471,2.600,697,10.855,4.406,19.705,4.136,16.204,34.821,2.021,"00:Até 0,50",2013
m,10.701,1.232,4.372,7.025,3.222,14.475,474,2.928,1.717,15.635,793,164,4.400,9.318,10.947,7.745,10.011,27.821,29.953,15.846,8.307,6.959,20.088,96.488,1.662,"10:15,01 a 20,00",2013
f,2.056,233,598,846,443,1.883,82,1.157,339,5.029,300,32,1.132,2.068,1.608,2.554,3.738,13.929,12.332,3.699,5.928,7.727,18.515,64.058,370,"10:15,01 a 20,00",2013
m,21.568,13.722,53.016,49.598,12.908,56.936,9.404,19.735,15.148,42.743,11.558,2.576,53.357,26.317,106.095,103.161,45.747,40.743,119.808,115.105,43.005,25.012,47.184,353.669,25.434,"06:4,01 a 5,00",2013
f,2.157,1.798,4.804,5.445,3.174,5.592,1.554,5.653,2.795,10.288,5.660,851,10.367,5.359,10.181,55.726,17.972,52.025,61.373,21.893,36.732,64.241,58.343,461.417,2.447,"06:4,01 a 5,00",2013
m,43.978,82.404,180.743,136.415,50.351,128.739,81.343,63.032,54.213,156.091,71.068,17.387,287.029,65.193,626.069,701.207,231.004,30.538,797.460,650.645,262.575,90.378,100.498,579.712,229.310,"04:2,01 a 3,00",2013
f,3.801,9.976,23.624,29.589,23.639,23.713,14.487,22.141,16.561,47.221,53.987,6.952,74.428,10.363,41.114,390.959,75.329,54.726,275.870,95.022,211.341,268.164,153.574,1.034.905,19.196,"04:2,01 a 3,00",2013
m,3.152,20.056,10.508,4.872,2.114,4.280,11.518,6.922,4.771,8.958,14.142,6.030,33.916,4.629,65.572,182.308,23.221,3.187,75.430,37.498,117.553,7.744,48.266,200.826,100.801,"01:0,51 a 1,00",2013
f,1.381,3.605,3.906,2.481,1.599,1.840,4.430,4.864,4.216,6.141,30.858,8.072,28.375,2.464,13.604,195.074,18.356,5.891,139.189,25.767,189.810,32.972,89.318,248.356,31.513,"01:0,51 a 1,00",2013
m,30.939,30.536,93.993,85.919,23.061,85.370,24.233,32.528,24.926,79.321,26.919,5.282,119.543,39.608,241.586,232.329,92.230,54.799,259.132,301.540,88.021,48.773,61.969,438.750,74.254,"05:3,01 a 4,00",2013
f,2.937,3.653,8.882,10.405,6.509,9.338,3.544,9.332,5.702,17.418,13.288,1.950,23.082,6.723,18.515,125.023,32.327,74.533,109.529,39.763,73.982,123.688,84.497,694.966,5.213,"05:3,01 a 4,00",2013
m,15.255,6.367,27.828,28.853,9.782,50.339,2.933,13.302,8.290,32.742,4.340,1.118,22.231,33.467,52.675,38.359,30.212,55.643,93.887,56.730,30.509,19.146,54.977,323.319,8.293,"08:7,01 a 10,00",2013
f,3.151,1.223,3.429,4.441,2.183,5.776,652,4.412,1.805,11.908,2.247,293,6.087,7.446,8.836,17.824,12.350,51.623,48.204,18.165,24.104,35.273,60.953,294.426,1.840,"08:7,01 a 10,00",2013
m,19.537,126.094,94.790,44.601,22.846,25.091,120.210,48.481,43.475,91.573,145.578,83.840,310.400,45.277,608.388,1.760.397,315.712,17.514,816.488,372.002,717.622,78.492,114.477,569.775,468.304,"02:1,01 a 1,50",2013
f,3.879,21.287,28.872,22.778,28.742,13.186,47.183,40.081,43.925,77.135,402.448,125.573,318.214,21.499,79.500,1.983.024,196.191,44.219,964.252,173.856,1.326.443,402.208,327.265,1.135.617,139.589,"02:1,01 a 1,50",2013
m,21.638,1.593,4.681,8.173,3.252,11.218,635,3.138,2.101,26.227,1.046,201,6.363,11.839,12.222,8.582,15.395,30.847,39.955,18.581,8.324,7.954,22.194,127.182,1.889,"11:Mais de 20,00",2013
f,2.321,184,448,787,367,901,65,1.021,328,5.791,288,25,1.220,1.854,1.377,2.276,4.185,10.259,12.806,2.913,3.310,6.477,14.096,75.659,229,"11:Mais de 20,00",2013
m,24.988,90.710,137.965,87.542,41.604,54.814,110.725,50.983,50.279,127.101,72.740,32.283,302.198,56.677,736.777,1.028.745,236.522,15.607,798.978,419.903,377.546,83.528,78.825,455.644,266.026,"03:1,51 a 2,00",2013
f,2.540,13.626,34.076,36.656,40.796,19.636,29.952,28.551,28.752,75.948,117.281,23.508,173.430,12.819,49.033,821.853,103.807,32.249,360.650,109.926,378.555,334.741,140.579,746.753,43.770,"03:1,51 a 2,00",2013
m,20.129,12.134,52.935,47.255,13.603,61.478,7.043,22.160,15.812,44.346,9.726,2.263,42.922,35.616,89.941,84.031,45.616,61.900,125.986,93.634,43.043,26.271,63.389,453.197,18.278,"07:5,01 a 7,00",2013
f,2.852,2.006,4.777,6.106,3.181,6.325,1.334,6.865,3.021,13.196,5.193,620,10.121,7.621,11.171,43.220,18.467,67.961,66.198,27.554,37.478,63.652,73.791,508.766,2.898,"07:5,01 a 7,00",2013
m,15.078,3.553,14.518,19.482,8.138,32.454,1.540,8.230,4.623,29.245,2.141,567,12.256,23.737,29.923,20.823,22.283,54.931,71.793,34.513,25.474,14.940,49.512,206.380,4.408,"09:10,01 a 15,00",2013
f,3.177,732,2.120,2.918,1.592,4.560,295,3.029,1.090,10.079,1.036,123,3.377,5.493,5.289,8.319,8.830,39.749,33.465,10.558,24.752,19.443,50.074,179.729,989,"09:10,01 a 15,00",2013
