capital,faixa_remuneracao_media_sm,10 A 14,15 A 17,18 A 24,25 A 29,30 A 39,40 A 49,50 A 64,65 OU MAIS,sexo,ano
maceio___al,"03:1,51_a_2,00",0,2,883,1827,4554,3890,2813,332,F,2022
maceio___al,"04:2,01_a_3,00",0,1,345,1192,4200,5109,4648,637,F,2022
maceio___al,"05:3,01_a_4,00",0,0,192,897,2811,2686,2414,323,F,2022
maceio___al,"06:4,01_a_5,00",0,0,111,469,1771,1629,1355,277,F,2022
maceio___al,"07:5,01_a_7,00",0,0,101,245,1372,2037,2168,313,F,2022
maceio___al,"08:7,01_a_10,00",0,0,87,117,612,897,947,206,F,2022
maceio___al,"09:10,01_a_15,00",0,0,64,75,415,767,811,139,F,2022
maceio___al,"10:15,01_a_20,00",0,0,6,24,137,241,279,54,F,2022
maceio___al,"11:mais_de_20,00",0,0,14,48,249,273,273,70,F,2022
aracaju___se,"00:ate_0,50",4,219,838,119,206,198,167,10,F,2022
aracaju___se,"01:0,51_a_1,00",2,79,1719,1165,1830,1193,530,33,F,2022
aracaju___se,"02:1,01_a_1,50",0,10,4542,6332,11957,9017,4492,132,F,2022
aracaju___se,"03:1,51_a_2,00",0,0,581,1549,5029,4660,2603,127,F,2022
aracaju___se,"04:2,01_a_3,00",0,0,249,1091,3891,3715,2434,241,F,2022
aracaju___se,"05:3,01_a_4,00",0,1,60,395,1869,1523,1039,138,F,2022
aracaju___se,"06:4,01_a_5,00",0,0,35,214,1272,1191,829,116,F,2022
aracaju___se,"07:5,01_a_7,00",0,0,27,139,2165,3510,2347,165,F,2022
aracaju___se,"08:7,01_a_10,00",0,0,21,73,866,1356,1172,123,F,2022
aracaju___se,"09:10,01_a_15,00",0,0,35,70,412,571,537,74,F,2022
aracaju___se,"10:15,01_a_20,00",0,0,14,30,135,253,210,23,F,2022
aracaju___se,"11:mais_de_20,00",0,0,9,40,179,291,353,58,F,2022
salvador___ba,"00:ate_0,50",8,329,2862,387,546,413,198,14,F,2022
salvador___ba,"01:0,51_a_1,00",0,179,7743,5246,9073,8040,5829,509,F,2022
salvador___ba,"02:1,01_a_1,50",0,43,14660,17577,34399,29004,15334,888,F,2022
salvador___ba,"03:1,51_a_2,00",0,3,2016,4808,12403,12374,7064,539,F,2022
salvador___ba,"04:2,01_a_3,00",0,1,1129,4754,15633,14194,8570,843,F,2022
salvador___ba,"05:3,01_a_4,00",0,1,344,1622,6792,7664,6725,800,F,2022
salvador___ba,"06:4,01_a_5,00",0,0,175,1168,5896,5939,4253,545,F,2022
salvador___ba,"07:5,01_a_7,00",0,0,228,739,5011,8256,6620,897,F,2022
salvador___ba,"08:7,01_a_10,00",0,0,262,552,3040,6313,6973,974,F,2022
salvador___ba,"09:10,01_a_15,00",0,0,188,446,2120,3660,3633,557,F,2022
salvador___ba,"10:15,01_a_20,00",0,0,58,198,790,1485,1679,314,F,2022
salvador___ba,"11:mais_de_20,00",0,0,44,226,1190,1566,1679,378,F,2022
belo_horizonte___mg,"00:ate_0,50",42,2198,3048,513,917,871,846,95,F,2022
belo_horizonte___mg,"01:0,51_a_1,00",3,1060,11547,5473,8275,7478,6274,520,F,2022
belo_horizonte___mg,"02:1,01_a_1,50",0,509,33808,26808,44954,47047,47232,3132,F,2022
belo_horizonte___mg,"03:1,51_a_2,00",0,16,7919,11599,22568,19854,12820,782,F,2022
belo_horizonte___mg,"04:2,01_a_3,00",0,6,4310,11051,30563,30489,19880,1364,F,2022
belo_horizonte___mg,"05:3,01_a_4,00",0,2,1266,5367,15723,15821,11160,782,F,2022
belo_horizonte___mg,"06:4,01_a_5,00",0,3,541,2973,11414,10272,7085,582,F,2022
belo_horizonte___mg,"07:5,01_a_7,00",0,1,484,2365,11862,11619,7035,628,F,2022
belo_horizonte___mg,"08:7,01_a_10,00",0,0,394,1650,6894,8771,5680,573,F,2022
belo_horizonte___mg,"09:10,01_a_15,00",0,1,452,719,3875,5830,4892,483,F,2022
belo_horizonte___mg,"10:15,01_a_20,00",0,1,188,291,1577,2954,2681,282,F,2022
belo_horizonte___mg,"11:mais_de_20,00",0,0,266,778,2326,3156,3771,440,F,2022
vitoria___es,"00:ate_0,50",46,719,279,87,135,129,63,9,F,2022
vitoria___es,"01:0,51_a_1,00",4,202,1278,701,978,723,461,61,F,2022
vitoria___es,"02:1,01_a_1,50",0,22,5413,4748,7600,6267,4273,236,F,2022
vitoria___es,"03:1,51_a_2,00",0,1,1375,2248,4190,3579,2189,129,F,2022
vitoria___es,"04:2,01_a_3,00",0,11,769,2376,6455,6390,3743,223,F,2022
vitoria___es,"05:3,01_a_4,00",0,0,184,1074,3646,3467,2461,192,F,2022
