;;Sexo Trabalhador;Faixa Etária
Capital; Faixa Remun Média (SM); 01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;09:Ignorado;09:Ignorado;09:Ignorado;09:Ignorado;09:Ignorado;09:Ignorado;09:Ignorado;09:Ignorado;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;01:10 A 14;02:15 A 17;03:18 A 24;04:25 A 29;05:30 A 39;06:40 A 49;07:50 A 64;08:65 OU MAIS;{ñ class};Total;01:10 A 14;02:15 A 17;03:18 A 24;04:25 A 29;05:30 A 39;06:40 A 49;07:50 A 64;08:65 OU MAIS;{ñ class};Total;03:18 A 24;04:25 A 29;05:30 A 39;06:40 A 49;07:50 A 64;08:65 OU MAIS;{ñ class};Total;01:10 A 14;02:15 A 17;03:18 A 24;04:25 A 29;05:30 A 39;06:40 A 49;07:50 A 64;08:65 OU MAIS;{ñ class};Total
;06:4,01 a 5,00;0;7;829;4.037;7.471;4.334;3.465;495;0;20.638;0;3;490;2.449;6.967;6.104;4.923;440;0;21.376;0;0;0;0;0;0;0;0;0;10;1.319;6.486;14.438;10.438;8.388;935;0;42.014
;07:5,01 a 7,00;0;5;523;2.488;10.746;6.890;4.435;665;0;25.752;0;5;300;1.776;7.998;6.644;4.153;412;0;21.288;0;0;0;0;0;0;0;0;0;10;823;4.264;18.744;13.534;8.588;1.077;0;47.040
;08:7,01 a 10,00;0;3;285;1.202;6.938;7.358;4.833;684;0;21.303;0;1;200;780;5.609;6.219;4.276;441;0;17.526;0;0;0;0;0;0;0;0;0;4;485;1.982;12.547;13.577;9.109;1.125;0;38.829
;09:10,01 a 15,00;0;0;153;682;4.401;6.768;5.383;641;0;18.028;0;0;213;455;3.198;4.763;4.074;367;0;13.070;0;0;0;0;0;0;0;0;0;0;366;1.137;7.599;11.531;9.457;1.008;0;31.098
;10:15,01 a 20,00;0;0;92;231;1.431;2.556;3.216;435;0;7.961;0;0;125;222;1.104;1.874;1.907;263;0;5.495;0;0;0;0;0;0;0;0;0;0;217;453;2.535;4.430;5.123;698;0;13.456
;11:Mais de 20,00;0;0;163;388;2.055;3.241;3.694;670;0;10.211;0;0;111;401;1.518;2.160;1.846;285;0;6.321;0;0;0;0;0;0;0;0;0;0;274;789;3.573;5.401;5.540;955;0;16.532
;{ñ class};5;67;1.753;2.444;5.262;5.078;6.703;2.877;0;24.189;3;37;1.581;2.183;4.253;4.376;5.593;1.900;1;19.927;0;0;1;0;1;0;0;2;8;104;3.334;4.627;9.516;9.454;12.297;4.777;1;44.118
500270:Campo Grande - MS;Total;33;1.602;19.526;21.255;43.718;37.465;29.390;3.671;0;156.660;19;1.443;18.537;19.433;41.869;38.979;27.925;2.194;0;150.399;0;0;0;0;0;0;0;0;52;3.045;38.063;40.688;85.587;76.444;57.315;5.865;0;307.059
;00:Até 0,50;28;439;359;150;266;166;111;12;0;1.531;11;393;466;159;315;276;196;8;0;1.824;0;0;0;0;0;0;0;0;39;832;825;309;581;442;307;20;0;3.355
;01:0,51 a 1,00;5;831;2.470;1.186;1.493;954;672;64;0;7.675;7;790;3.210;1.493;2.179;1.691;1.116;80;0;10.566;0;0;0;0;0;0;0;0;12;1.621;5.680;2.679;3.672;2.645;1.788;144;0;18.241
;02:1,01 a 1,50;0;300;9.467;6.757;9.029;6.306;4.938;522;0;37.319;1;223;9.426;7.353;11.788;9.447;6.381;327;0;44.946;0;0;0;0;0;0;0;0;1;523;18.893;14.110;20.817;15.753;11.319;849;0;82.265
;03:1,51 a 2,00;0;8;3.675;4.643;7.983;6.409;4.398;453;0;27.569;0;12;2.331;3.185;5.919;4.753;2.791;162;0;19.153;0;0;0;0;0;0;0;0;0;20;6.006;7.828;13.902;11.162;7.189;615;0;46.722
;04:2,01 a 3,00;0;1;1.561;3.346;8.231;6.899;4.848;427;0;25.313;0;4;1.063;2.601;6.181;5.731;4.043;334;0;19.957;0;0;0;0;0;0;0;0;0;5;2.624;5.947;14.412;12.630;8.891;761;0;45.270
;05:3,01 a 4,00;0;0;279;1.188;3.565;3.329;2.319;232;0;10.912;0;0;296;1.209;3.698;3.370;2.074;137;0;10.784;0;0;0;0;0;0;0;0;0;0;575;2.397;7.263;6.699;4.393;369;0;21.696
;06:4,01 a 5,00;0;0;160;803;2.840;2.336;1.685;222;0;8.046;0;1;186;902;3.290;3.357;2.127;117;0;9.980;0;0;0;0;0;0;0;0;0;1;346;1.705;6.130;5.693;3.812;339;0;18.026
;07:5,01 a 7,00;0;1;123;556;2.727;2.565;2.083;222;0;8.277;0;0;135;618;2.704;3.377;2.612;223;0;9.669;0;0;0;0;0;0;0;0;0;1;258;1.174;5.431;5.942;4.695;445;0;17.946
;08:7,01 a 10,00;0;1;96;345;1.925;2.105;1.479;189;0;6.140;0;0;57;252;1.633;1.940;1.540;127;0;5.549;0;0;0;0;0;0;0;0;0;1;153;597;3.558;4.045;3.019;316;0;11.689
;09:10,01 a 15,00;0;1;88;252;1.343;1.902;1.593;160;0;5.339;0;0;68;174;975;1.593;1.401;111;0;4.322;0;0;0;0;0;0;0;0;0;1;156;426;2.318;3.495;2.994;271;0;9.661
;10:15,01 a 20,00;0;0;49;105;403;653;937;118;0;2.265;0;0;43;78;299;557;619;50;0;1.646;0;0;0;0;0;0;0;0;0;0;92;183;702;1.210;1.556;168;0;3.911
;11:Mais de 20,00;0;0;37;164;696;986;1.102;175;0;3.160;0;0;37;99;409;516;445;37;0;1.543;0;0;0;0;0;0;0;0;0;0;74;263;1.105;1.502;1.547;212;0;4.703
;{ñ class};0;20;1.162;1.760;3.217;2.855;3.225;875;0;13.114;0;20;1.219;1.310;2.479;2.371;2.580;481;0;10.460;0;0;0;0;0;0;0;0;0;40;2.381;3.070;5.696;5.226;5.805;1.356;0;23.574
510340:Cuiabá - MT;Total;22;1.158;17.099;19.696;47.419;40.205;26.775;3.192;0;155.566;12;930;15.192;16.284;38.612;35.546;22.890;1.588;0;131.054;0;0;0;0;0;0;0;0;34;2.088;32.291;35.980;86.031;75.751;49.665;4.780;0;286.620
;00:Até 0,50;11;419;259;89;139;76;45;2;0;1.040;9;397;346;86;160;114;44;4;0;1.160;0;0;0;0;0;0;0;0;20;816;605;175;299;190;89;6;0;2.200
;01:0,51 a 1,00;10;512;1.830;802;1.045;677;467;53;0;5.396;2;383;2.195;963;1.374;978;605;28;0;6.528;0;0;0;0;0;0;0;0;12;895;4.025;1.765;2.419;1.655;1.072;81;0;11.924
;02:1,01 a 1,50;0;177;7.857;5.093;7.199;5.231;3.953;397;0;29.907;0;108;7.733;5.472;9.369;7.081;4.033;181;0;33.977;0;0;0;0;0;0;0;0;0;285;15.590;10.565;16.568;12.312;7.986;578;0;63.884
;03:1,51 a 2,00;0;11;3.342;4.182;8.131;6.308;4.089;367;0;26.430;0;6;2.085;2.872;5.754;4.559;2.184;91;0;17.551;0;0;0;0;0;0;0;0;0;17;5.427;7.054;13.885;10.867;6.273;458;0;43.981
;04:2,01 a 3,00;0;2;1.615;3.191;7.215;5.762;3.730;313;0;21.828;0;5;1.028;2.322;5.326;4.448;2.547;158;0;15.834;0;0;0;0;0;0;0;0;0;7;2.643;5.513;12.541;10.210;6.277;471;0;37.662
;05:3,01 a 4,00;0;1;418;1.266;3.744;3.063;1.899;196;0;10.587;0;1;304;1.187;3.600;3.429;2.640;192;0;11.353;0;0;0;0;0;0;0;0;0;2;722;2.453;7.344;6.492;4.539;388;0;21.940
;06:4,01 a 5,00;0;2;139;573;2.061;1.866;1.550;181;0;6.372;0;2;117;664;2.294;2.059;1.423;123;0;6.682;0;0;0;0;0;0;0;0;0;4;256;1.237;4.355;3.925;2.973;304;0;13.054
;07:5,01 a 7,00;0;1;112;1.690;5.760;2.876;2.083;268;0;12.790;0;2;117;709;3.672;4.336;3.173;220;0;12.229;0;0;0;0;0;0;0;0;0;3;229;2.399;9.432;7.212;5.256;488;0;25.019
;08:7,01 a 10,00;0;1;95;477;4.883;5.848;2.160;175;0;13.639;0;0;77;211;2.050;2.749;1.768;136;0;6.991;0;0;0;0;0;0;0;0;0;1;172;688;6.933;8.597;3.928;311;0;20.630
;09:10,01 a 15,00;0;0;73;228;2.096;3.159;1.914;239;0;7.709;0;0;61;128;1.379;1.983;1.420;129;0;5.100;0;0;0;0;0;0;0;0;0;0;134;356;3.475;5.142;3.334;368;0;12.809
;10:15,01 a 20,00;0;0;35;68;549;972;1.188;171;0;2.983;0;0;28;52;333;788;849;66;0;2.116;0;0;0;0;0;0;0;0;0;0;63;120;882;1.760;2.037;237;0;5.099
;11:Mais de 20,00;0;0;34;113;974;1.389;1.189;252;0;3.951;0;0;35;94;464;622;556;79;0;1.850;0;0;0;0;0;0;0;0;0;0;69;207;1.438;2.011;1.745;331;0;5.801
;{ñ class};1;32;1.290;1.924;3.623;2.978;2.508;578;0;12.934;1;26;1.066;1.524;2.837;2.400;1.648;181;0;9.683;0;0;0;0;0;0;0;0;2;58;2.356;3.448;6.460;5.378;4.156;759;0;22.617
520870:Goiânia - GO;Total;98;6.412;46.081;46.361;92.379;77.714;58.061;7.946;0;335.052;55;5.911;40.581;41.232;82.352;75.756;57.333;4.737;0;307.957;0;0;0;0;0;0;0;0;153;12.323;86.662;87.593;174.731;153.470;115.394;12.683;0;643.009
;00:Até 0,50;82;4.658;955;296;461;310;184;12;0;6.958;42;4.694;1.407;259;389;267;171;19;0;7.248;0;0;0;0;0;0;0;0;124;9.352;2.362;555;850;577;355;31;0;14.206
;01:0,51 a 1,00;10;944;5.808;2.680;3.287;2.093;1.256;155;0;16.233;10;768;6.089;2.659;3.968;3.158;1.877;88;0;18.617;0;0;0;0;0;0;0;0;20;1.712;11.897;5.339;7.255;5.251;3.133;243;0;34.850
;02:1,01 a 1,50;0;634;23.215;15.375;20.803;14.416;10.613;964;0;86.020;0;329;21.122;15.957;24.987;20.881;13.831;596;0;97.703;0;0;0;0;0;0;0;0;0;963;44.337;31.332;45.790;35.297;24.444;1.560;0;183.723
;03:1,51 a 2,00;0;33;7.796;9.604;16.386;12.677;8.883;783;0;56.162;0;23;5.814;7.419;12.965;10.959;8.435;489;0;46.104;0;0;0;0;0;0;0;0;0;56;13.610;17.023;29.351;23.636;17.318;1.272;0;102.266
;04:2,01 a 3,00;0;7;3.566;7.252;15.826;13.194;9.505;1.020;0;50.370;0;3;2.538;5.754;11.856;9.535;7.604;612;0;37.902;0;0;0;0;0;0;0;0;0;10;6.104;13.006;27.682;22.729;17.109;1.632;0;88.272
;05:3,01 a 4,00;0;0;856;3.004;7.819;6.307;4.438;459;0;22.883;0;0;669;3.060;8.131;6.624;4.097;336;0;22.917;0;0;0;0;0;0;0;0;0;0;1.525;6.064;15.950;12.931;8.535;795;0;45.800
;06:4,01 a 5,00;0;0;351;1.478;4.166;4.301;3.310;529;0;14.135;0;1;285;1.400;4.341;5.840;4.811;447;0;17.125;0;0;0;0;0;0;0;0;0;1;636;2.878;8.507;10.141;8.121;976;0;31.260
;07:5,01 a 7,00;0;2;297;1.681;8.764;6.423;3.971;697;0;21.835;0;1;202;1.009;4.997;6.401;5.988;674;0;19.272;0;0;0;0;0;0;0;0;0;3;499;2.690;13.761;12.824;9.959;1.371;0;41.107
;08:7,01 a 10,00;0;1;163;554;3.863;6.461;4.672;650;0;16.364;0;1;109;397;3.135;4.362;3.439;404;0;11.847;0;0;0;0;0;0;0;0;0;2;272;951;6.998;10.823;8.111;1.054;0;28.211
;09:10,01 a 15,00;0;0;145;281;2.308;2.779;2.652;502;0;8.667;0;0;123;203;1.524;2.049;2.031;328;0;6.258;0;0;0;0;0;0;0;0;0;0;268;484;3.832;4.828;4.683;830;0;14.925
;10:15,01 a 20,00;0;0;69;125;859;1.377;1.361;261;0;4.052;0;0;73;102;543;922;908;110;0;2.658;0;0;0;0;0;0;0;0;0;0;142;227;1.402;2.299;2.269;371;0;6.710
;11:Mais de 20,00;0;0;77;273;1.211;1.742;1.626;259;0;5.188;0;0;76;284;888;995;760;108;0;3.111;0;0;0;0;0;0;0;0;0;0;153;557;2.099;2.737;2.386;367;0;8.299
;{ñ class};6;133;2.783;3.758;6.626;5.634;5.590;1.655;0;26.185;3;91;2.074;2.729;4.628;3.763;3.381;526;0;17.195;0;0;0;0;0;0;0;0;9;224;4.857;6.487;11.254;9.397;8.971;2.181;0;43.380
530010:Brasília - DF;Total;123;3.460;70.530;84.669;197.667;195.830;136.685;16.172;1;705.137;58;3.048;58.668;67.439;163.035;153.230;90.677;8.760;0;544.915;0;1;0;0;0;0;0;1;181;6.508;129.198;152.109;360.702;349.060;227.362;24.932;1;1.250.053
;00:Até 0,50;67;2.070;2.195;550;827;593;407;46;0;6.755;31;1.816;2.607;464;575;482;306;25;0;6.306;0;0;0;0;0;0;0;0;98;3.886;4.802;1.014;1.402;1.075;713;71;0;13.061
;01:0,51 a 1,00;50;1.026;9.024;4.813;6.176;4.152;2.295;143;0;27.679;19;910;8.398;3.854;5.296;3.513;1.806;86;0;23.882;0;0;0;0;0;0;0;0;69;1.936;17.422;8.667;11.472;7.665;4.101;229;0;51.561
;02:1,01 a 1,50;0;264;34.757;28.141;38.870;27.826;17.479;1.151;0;148.488;0;215;30.593;25.828;38.973;32.407;18.891;729;0;147.636;0;0;0;0;0;0;0;0;0;479;65.350;53.969;77.843;60.233;36.370;1.880;0;296.124
;03:1,51 a 2,00;0;10;9.799;13.622;26.039;21.305;13.976;1.014;0;85.765;0;2;6.675;10.024;17.359;13.575;6.963;340;0;54.938;0;0;0;0;0;0;0;0;0;12;16.474;23.646;43.398;34.880;20.939;1.354;0;140.703
;04:2,01 a 3,00;0;3;4.408;9.277;25.294;25.145;16.507;1.544;0;82.178;0;6;3.003;7.944;18.280;14.721;7.601;575;0;52.130;0;0;0;0;0;0;0;0;0;9;7.411;17.221;43.574;39.866;24.108;2.119;0;134.308
;05:3,01 a 4,00;0;1;1.249;4.229;12.521;12.654;8.914;1.177;0;40.745;0;1;979;4.125;11.925;9.671;5.093;608;0;32.402;0;0;0;0;0;0;0;0;0;2;2.228;8.354;24.446;22.325;14.007;1.785;0;73.147
;06:4,01 a 5,00;0;0;1.410;4.806;9.284;7.261;6.265;1.366;0;30.392;0;2;594;3.087;11.037;8.948;5.998;1.155;0;30.821;0;0;0;0;0;0;0;0;0;2;2.004;7.893;20.321;16.209;12.263;2.521;0;61.213
;07:5,01 a 7,00;0;0;1.305;5.194;19.380;12.362;9.205;1.277;0;48.723;0;1;441;2.664;15.475;13.937;7.517;683;0;40.718;0;0;0;0;0;0;0;0;0;1;1.746;7.858;34.855;26.299;16.722;1.960;0;89.441
;08:7,01 a 10,00;0;0;546;2.321;17.896;24.539;12.565;1.438;0;59.305;0;0;272;1.615;15.051;18.792;10.551;914;0;47.195;0;0;0;0;0;0;0;0;0;0;818;3.936;32.947;43.331;23.116;2.352;0;106.500
;09:10,01 a 15,00;0;0;392;2.854;14.920;22.860;14.915;1.409;0;57.350;0;0;252;826;11.290;14.430;7.484;695;0;34.977;0;0;0;0;0;0;0;0;0;0;644;3.680;26.210;37.290;22.399;2.104;0;92.327
;10:15,01 a 20,00;0;0;105;370;5.719;11.868;9.763;829;0;28.654;0;0;121;257;3.146;6.956;4.991;352;0;15.823;0;0;0;0;0;0;0;0;0;0;226;627;8.865;18.824;14.754;1.181;0;44.477
;11:Mais de 20,00;0;0;107;498;5.743;12.388;12.644;1.581;0;32.961;0;0;90;476;4.063;6.844;5.397;690;0;17.560;0;0;0;0;0;0;0;0;0;0;197;974;9.806;19.232;18.041;2.271;0;50.521
;{ñ class};6;86;5.233;7.994;14.998;12.877;11.750;3.197;1;56.142;8;95;4.643;6.275;10.565;8.954;8.079;1.908;0;40.527;0;1;0;0;0;0;0;1;14;181;9.876;14.270;25.563;21.831;19.829;5.105;1;96.670
{ñ class};Total;2.718;134.863;2.785.096;2.658.888;5.249.701;4.464.866;3.332.015;369.141;32;18.997.320;1.897;101.115;2.078.795;2.022.143;4.101.027;3.577.303;2.328.011;166.357;12;14.376.660;4;3;14;3;7;1;5;37;4.615;235.978;4.863.895;4.681.034;9.350.742;8.042.172;5.660.033;535.499;49;33.374.017
;00:Até 0,50;1.117;28.199;47.487;14.050;20.816;14.001;8.994;1.378;0;136.042;824;23.892;52.409;13.574;22.790;17.515;11.474;1.384;0;143.862;0;0;0;0;0;0;0;0;1.941;52.091;99.896;27.624;43.606;31.516;20.468;2.762;0;279.904
;01:0,51 a 1,00;1.464;61.698;327.504;162.932;226.203;155.723;107.136;11.938;2;1.054.600;963;49.099;333.809;170.441;265.660;199.640;125.131;9.434;3;1.154.180;0;0;0;0;0;0;0;0;2.427;110.797;661.313;333.373;491.863;355.363;232.267;21.372;5;2.208.780
;02:1,01 a 1,50;13;35.592;1.203.942;836.619;1.203.073;885.640;666.562;61.382;6;4.892.829;6;21.962;1.030.806;822.953;1.382.777;1.095.881;701.314;32.889;1;5.088.589;0;0;0;0;0;0;0;0;19;57.554;2.234.748;1.659.572;2.585.850;1.981.521;1.367.876;94.271;7;9.981.418
;03:1,51 a 2,00;8;4.977;666.420;639.223;1.079.781;864.643;664.755;59.290;2;3.979.099;3;2.657;386.528;432.836;818.814;660.969;404.681;22.014;1;2.728.503;0;0;0;0;0;0;0;0;11;7.634;1.052.948;1.072.059;1.898.595;1.525.612;1.069.436;81.304;3;6.707.602
;04:2,01 a 3,00;2;582;302.882;511.021;1.162.155;1.008.795;718.276;61.255;3;3.764.971;9;359;131.415;275.547;682.050;612.310;366.464;24.111;1;2.092.266;0;0;0;0;0;0;0;0;11;941;434.297;786.568;1.844.205;1.621.105;1.084.740;85.366;4;5.857.237
;05:3,01 a 4,00;1;177;54.626;165.270;503.136;465.389;303.350;24.656;0;1.516.605;1;133;28.131;100.220;306.344;312.506;192.021;12.940;1;952.297;0;0;0;0;0;0;0;0;2;310;82.757;265.490;809.480;777.895;495.371;37.596;1;2.468.902
;06:4,01 a 5,00;1;126;16.695;64.333;241.508;237.142;150.701;12.562;0;723.068;0;99;9.744;41.998;157.543;178.092;118.961;8.343;1;514.781;0;0;0;0;0;0;0;0;1;225;26.439;106.331;399.051;415.234;269.662;20.905;1;1.237.849
;07:5,01 a 7,00;1;207;13.299;49.534;215.834;221.049;145.693;13.262;0;658.879;0;236;8.415;29.233;135.590;170.831;124.412;9.172;0;477.889;0;0;0;0;0;0;0;0;1;443;21.714;78.767;351.424;391.880;270.105;22.434;0;1.136.768
;08:7,01 a 10,00;0;98;10.169;27.450;133.111;140.121;90.733;9.874;0;411.556;0;82;7.021;15.511;71.140;86.069;62.896;4.958;0;247.677;0;0;0;0;0;0;0;0;0;180;17.190;42.961;204.251;226.190;153.629;14.832;0;659.233
;09:10,01 a 15,00;0;54;10.350;17.984;87.209;100.627;68.595;8.043;0;292.862;0;38;7.832;12.022;41.233;45.613;32.625;3.096;0;142.459;0;0;0;0;0;0;0;0;0;92;18.182;30.006;128.442;146.240;101.220;11.139;0;435.321
;10:15,01 a 20,00;0;14;6.065;9.059;33.197;42.609;34.628;4.176;0;129.748;0;4;4.428;6.606;16.353;16.750;13.254;1.302;0;58.697;0;0;0;0;0;0;0;0;0;18;10.493;15.665;49.550;59.359;47.882;5.478;0;188.445
;11:Mais de 20,00;0;6;6.575;16.512;57.563;62.808;48.003;5.590;0;197.057;0;1;3.519;10.319;28.610;22.133;10.449;890;0;75.921;0;0;0;0;0;0;0;0;0;7;10.094;26.831;86.173;84.941;58.452;6.480;0;272.978
;{ñ class};111;3.133;119.082;144.901;286.115;266.319;324.589;95.735;19;1.240.004;91;2.553;74.738;90.883;172.123;158.994;164.329;35.824;4;699.539;4;3;14;3;7;1;5;37;202;5.686;193.824;235.787;458.252;425.316;488.925;131.560;28;1.939.580
Total;Total;3.535;176.319;3.921.120;3.999.388;8.216.032;7.112.917;5.375.027;640.027;47;29.444.412;2.457;138.528;3.066.439;3.172.027;6.654.430;5.922.467;4.036.163;353.863;22;23.346.396;6;5;20;6;12;2;5;56;5.992;314.847;6.987.565;7.171.420;14.870.482;13.035.390;9.411.202;993.892;74;52.790.864
;00:Até 0,50;1.624;45.464;78.341;23.112;35.332;24.324;17.164;2.543;0;227.904;1.161;40.220;89.086;22.216;37.482;30.453;23.821;3.126;0;247.565;0;0;0;0;0;0;0;0;2.785;85.684;167.427;45.328;72.814;54.777;40.985;5.669;0;475.469
;01:0,51 a 1,00;1.718;78.454;473.975;233.640;322.035;219.849;152.313;16.946;3;1.498.933;1.139;64.738;497.218;248.163;383.064;292.161;192.025;15.633;3;1.694.144;0;0;0;0;0;0;0;0;2.857;143.192;971.193;481.803;705.099;512.010;344.338;32.579;6;3.193.077
;02:1,01 a 1,50;19;40.897;1.703.607;1.253.608;1.806.902;1.332.644;995.614;89.360;6;7.222.657;10;25.745;1.479.492;1.224.868;2.050.375;1.651.637;1.084.568;57.079;3;7.573.777;0;0;0;0;0;0;0;0;29;66.642;3.183.099;2.478.476;3.857.277;2.984.281;2.080.182;146.439;9;14.796.434
;03:1,51 a 2,00;10;5.556;877.120;896.139;1.563.924;1.270.030;972.964;87.382;2;5.673.127;3;3.065;532.357;621.790;1.175.414;963.905;609.864;39.165;1;3.945.564;0;0;0;0;0;0;0;0;13;8.621;1.409.477;1.517.929;2.739.338;2.233.935;1.582.828;126.547;3;9.618.691
;04:2,01 a 3,00;2;795;406.297;712.843;1.658.333;1.462.968;1.058.358;96.490;3;5.396.089;11;533;208.607;440.801;1.071.292;958.032;601.830;49.607;1;3.330.714;0;0;0;0;0;0;0;0;13;1.328;614.904;1.153.644;2.729.625;2.421.000;1.660.188;146.097;4;8.726.803
;05:3,01 a 4,00;1;259;86.721;264.868;766.747;688.152;471.975;45.289;0;2.324.012;2;184;55.121;185.942;540.495;526.181;345.384;31.114;1;1.684.424;0;0;0;0;0;0;0;0;3;443;141.842;450.810;1.307.242;1.214.333;817.359;76.403;1;4.008.436
;06:4,01 a 5,00;1;178;33.026;123.409;430.016;393.829;261.839;28.754;0;1.271.052;0;131;22.164;91.440;316.085;327.545;233.843;23.789;1;1.014.998;0;0;0;0;0;0;0;0;1;309;55.190;214.849;746.101;721.374;495.682;52.543;1;2.286.050
;07:5,01 a 7,00;1;260;27.546;106.836;453.816;438.427;294.779;32.050;0;1.353.715;0;260;18.586;76.007;327.487;369.804;271.921;26.173;1;1.090.239;0;0;0;0;0;0;0;0;1;520;46.132;182.843;781.303;808.231;566.700;58.223;1;2.443.954
;08:7,01 a 10,00;0;124;18.957;63.972;298.448;330.713;225.728;29.026;0;966.968;0;90;13.571;42.050;204.048;240.808;183.878;19.779;0;704.224;0;0;0;0;0;0;0;0;0;214;32.528;106.022;502.496;571.521;409.606;48.805;0;1.671.192
;09:10,01 a 15,00;0;66;16.747;42.531;213.033;255.030;188.806;24.961;0;741.174;0;45;13.613;26.967;127.304;150.212;115.608;14.200;0;447.949;0;0;0;0;0;0;0;0;0;111;30.360;69.498;340.337;405.242;304.414;39.161;0;1.189.123
;10:15,01 a 20,00;0;18;8.795;16.703;81.633;112.228;99.121;14.891;0;333.389;0;7;7.023;12.548;46.413;61.420;52.625;6.849;0;186.885;0;0;0;0;0;0;0;0;0;25;15.818;29.251;128.046;173.648;151.746;21.740;0;520.274
;11:Mais de 20,00;0;13;9.727;28.415;122.476;157.604;136.092;20.067;0;474.394;0;3;6.345;21.346;74.893;77.575;50.984;6.670;0;237.816;0;0;0;0;0;0;0;0;0;16;16.072;49.761;197.369;235.179;187.076;26.737;0;712.210
;{ñ class};159;4.235;180.261;233.312;463.337;427.119;500.274;152.268;33;1.960.998;131;3.507;123.256;157.889;300.078;272.734;269.812;60.679;11;1.188.097;6;5;20;6;12;2;5;56;290;7.742;303.523;391.206;763.435;699.859;770.098;212.949;49;3.149.151

Seleções vigentes
Variável;Critério;Valor
Ano;igual a;2022
Vínculo Ativo 31/12;igual a;Sim
