;;Sexo Trabalhador;Faixa Etária
Capital; Faixa Remun Média (SM); 01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;09:Ignorado;09:Ignorado;09:Ignorado;09:Ignorado;09:Ignorado;09:Ignorado;09:Ignorado;09:Ignorado;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;01:10 A 14;02:15 A 17;03:18 A 24;04:25 A 29;05:30 A 39;06:40 A 49;07:50 A 64;08:65 OU MAIS;{ñ class};Total;01:10 A 14;02:15 A 17;03:18 A 24;04:25 A 29;05:30 A 39;06:40 A 49;07:50 A 64;08:65 OU MAIS;{ñ class};Total;03:18 A 24;04:25 A 29;05:30 A 39;06:40 A 49;07:50 A 64;08:65 OU MAIS;{ñ class};Total;01:10 A 14;02:15 A 17;03:18 A 24;04:25 A 29;05:30 A 39;06:40 A 49;07:50 A 64;08:65 OU MAIS;{ñ class};Total
;03:1,51 a 2,00;0;1;905;1.160;2.388;1.718;760;46;0;6.978;0;1;488;769;1.368;992;426;18;0;4.062;0;0;0;0;0;0;0;0;0;2;1.393;1.929;3.756;2.710;1.186;64;0;11.040
;04:2,01 a 3,00;0;0;483;734;1.594;1.164;929;152;0;5.056;0;0;279;651;1.465;1.168;901;126;0;4.590;0;0;0;0;0;0;0;0;0;0;762;1.385;3.059;2.332;1.830;278;0;9.646
;05:3,01 a 4,00;0;0;117;300;802;591;703;111;0;2.624;0;0;103;290;1.033;976;1.009;122;0;3.533;0;0;0;0;0;0;0;0;0;0;220;590;1.835;1.567;1.712;233;0;6.157
;06:4,01 a 5,00;0;0;62;148;474;418;562;161;0;1.825;0;0;67;165;570;498;539;121;0;1.960;0;0;0;0;0;0;0;0;0;0;129;313;1.044;916;1.101;282;0;3.785
;07:5,01 a 7,00;0;2;56;144;523;454;319;38;0;1.536;0;0;50;143;519;412;293;39;0;1.456;0;0;0;0;0;0;0;0;0;2;106;287;1.042;866;612;77;0;2.992
;08:7,01 a 10,00;0;0;48;104;474;450;311;60;0;1.447;0;0;31;105;393;360;306;47;0;1.242;0;0;0;0;0;0;0;0;0;0;79;209;867;810;617;107;0;2.689
;09:10,01 a 15,00;0;0;28;108;368;393;380;75;0;1.352;0;0;22;49;255;319;332;54;0;1.031;0;0;0;0;0;0;0;0;0;0;50;157;623;712;712;129;0;2.383
;10:15,01 a 20,00;0;0;15;25;105;150;230;34;0;559;0;0;10;21;61;104;159;11;0;366;0;0;0;0;0;0;0;0;0;0;25;46;166;254;389;45;0;925
;11:Mais de 20,00;0;0;20;55;163;173;203;23;0;637;0;0;8;30;98;86;95;10;0;327;0;0;0;0;0;0;0;0;0;0;28;85;261;259;298;33;0;964
;{ñ class};0;13;409;501;903;565;381;85;0;2.857;0;5;297;418;667;550;281;30;0;2.248;0;0;0;0;0;0;0;0;0;18;706;919;1.570;1.115;662;115;0;5.105
