;;Sexo Trabalhador;Faixa Etária
Capital; Faixa Remun Média (SM); 01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;01:10 A 14;02:15 A 17;03:18 A 24;04:25 A 29;05:30 A 39;06:40 A 49;07:50 A 64;08:65 OU MAIS;{ñ class};Total;01:10 A 14;02:15 A 17;03:18 A 24;04:25 A 29;05:30 A 39;06:40 A 49;07:50 A 64;08:65 OU MAIS;{ñ class};Total;01:10 A 14;02:15 A 17;03:18 A 24;04:25 A 29;05:30 A 39;06:40 A 49;07:50 A 64;08:65 OU MAIS;{ñ class};Total
;08:7,01 a 10,00;0;0;24;261;818;1.393;2.004;179;0;4.679;0;0;18;145;558;971;966;51;0;2.709;0;0;42;406;1.376;2.364;2.970;230;0;7.388
;09:10,01 a 15,00;0;0;15;164;591;950;1.509;139;0;3.368;0;0;10;101;331;660;775;40;0;1.917;0;0;25;265;922;1.610;2.284;179;0;5.285
;10:15,01 a 20,00;0;0;1;40;252;352;550;42;0;1.237;0;0;1;20;140;233;246;17;0;657;0;0;2;60;392;585;796;59;0;1.894
;11:Mais de 20,00;0;0;4;59;346;585;758;91;0;1.843;0;0;2;29;206;277;287;25;0;826;0;0;6;88;552;862;1.045;116;0;2.669
;{ñ class};0;0;24;60;185;212;266;29;0;776;0;0;21;34;77;78;49;4;0;263;0;0;45;94;262;290;315;33;0;1.039
230440:Fortaleza - CE;Total;12;1.145;61.017;66.167;110.340;81.169;50.298;4.814;1;374.963;7;1.009;43.545;46.083;73.811;63.408;51.820;6.097;2;285.782;19;2.154;104.562;112.250;184.151;144.577;102.118;10.911;3;660.745
;00:Até 0,50;5;160;538;209;280;164;72;5;0;1.433;1;132;587;178;239;194;79;9;0;1.419;6;292;1.125;387;519;358;151;14;0;2.852
;01:0,51 a 1,00;4;669;9.238;4.986;6.282;3.397;1.472;77;0;26.125;2;648;7.466;3.817;5.153;2.977;1.019;57;0;21.139;6;1.317;16.704;8.803;11.435;6.374;2.491;134;0;47.264
;02:1,01 a 1,50;2;282;39.895;36.962;52.032;30.509;14.081;1.449;0;175.212;3;207;29.039;27.313;39.554;28.119;16.480;2.711;0;143.426;5;489;68.934;64.275;91.586;58.628;30.561;4.160;0;318.638
;03:1,51 a 2,00;1;12;5.472;9.152;17.281;13.063;7.152;487;0;52.620;0;6;3.071;4.595;7.186;5.884;5.073;601;0;26.416;1;18;8.543;13.747;24.467;18.947;12.225;1.088;0;79.036
