;;Sexo Trabalhador;Escolaridade após 2005
Capital; Faixa Remun Média (SM); 01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;01:Analfabeto;02:Até 5ª Incompleto;03:5ª Completo Fundamental;04:6ª a 9ª Fundamental;05:Fundamental Completo;06:Médio Incompleto;07:Médio Completo;08:Superior Incompleto;09:Superior Completo;10:Mestrado;11:Doutorado;Total;01:Analfabeto;02:Até 5ª Incompleto;03:5ª Completo Fundamental;04:6ª a 9ª Fundamental;05:Fundamental Completo;06:Médio Incompleto;07:Médio Completo;08:Superior Incompleto;09:Superior Completo;10:Mestrado;11:Doutorado;Total;01:Analfabeto;02:Até 5ª Incompleto;03:5ª Completo Fundamental;04:6ª a 9ª Fundamental;05:Fundamental Completo;06:Médio Incompleto;07:Médio Completo;08:Superior Incompleto;09:Superior Completo;10:Mestrado;11:Doutorado;Total
172100:Palmas - TO;Total;72;2.400;242;924;2.385;2.040;34.441;1.736;19.334;687;382;64.643;23;2.836;74;291;1.391;1.104;28.750;2.022;29.483;664;364;67.002;95;5.236;316;1.215;3.776;3.144;63.191;3.758;48.817;1.351;746;131.645
;00:Até 0,50;0;7;1;40;15;232;217;31;36;6;2;587;0;14;2;10;32;208;330;26;65;3;0;690;0;21;3;50;47;440;547;57;101;9;2;1.277
;01:0,51 a 1,00;17;1.611;18;100;277;319;3.164;149;215;3;1;5.874;8;2.278;12;71;255;306;3.902;221;435;10;2;7.500;25;3.889;30;171;532;625;7.066;370;650;13;3;13.374
;02:1,01 a 1,50;32;420;80;369;820;686;11.346;517;740;7;2;15.019;11;380;39;175;659;432;12.999;838;1.807;18;1;17.359;43;800;119;544;1.479;1.118;24.345;1.355;2.547;25;3;32.378
;03:1,51 a 2,00;12;130;47;166;447;355;6.435;301;835;12;2;8.742;1;67;8;17;285;83;4.145;398;1.933;5;3;6.945;13;197;55;183;732;438;10.580;699;2.768;17;5;15.687
;04:2,01 a 3,00;9;128;52;130;426;275;6.275;304;2.640;43;4;10.286;0;45;0;2;63;30;3.917;276;5.157;36;4;9.530;9;173;52;132;489;305;10.192;580;7.797;79;8;19.816
;05:3,01 a 4,00;0;28;7;41;173;71;2.167;143;3.195;47;11;5.883;1;14;1;1;13;7;1.273;94;5.850;55;11;7.320;1;42;8;42;186;78;3.440;237;9.045;102;22;13.203
;06:4,01 a 5,00;0;8;3;13;25;22;1.090;70;2.358;63;7;3.659;0;2;0;2;6;2;604;51;4.611;60;14;5.352;0;10;3;15;31;24;1.694;121;6.969;123;21;9.011
;07:5,01 a 7,00;0;4;6;7;41;19;1.059;107;2.588;107;48;3.986;0;5;2;2;28;2;709;53;4.191;118;46;5.156;0;9;8;9;69;21;1.768;160;6.779;225;94;9.142
;08:7,01 a 10,00;0;3;1;1;7;6;1.143;47;2.058;130;57;3.453;0;0;0;0;0;0;210;20;2.248;164;57;2.699;0;3;1;1;7;6;1.353;67;4.306;294;114;6.152
;09:10,01 a 15,00;0;0;1;0;5;2;651;24;1.954;161;164;2.962;0;0;4;0;1;0;117;10;1.639;123;166;2.060;0;0;5;0;6;2;768;34;3.593;284;330;5.022
;10:15,01 a 20,00;0;0;1;1;5;2;148;5;1.122;75;55;1.414;0;0;0;0;5;0;14;2;620;50;42;733;0;0;1;1;10;2;162;7;1.742;125;97;2.147
;11:Mais de 20,00;0;0;0;2;10;0;115;14;1.501;28;28;1.698;0;0;0;0;2;0;25;3;733;17;18;798;0;0;0;2;12;0;140;17;2.234;45;46;2.496
;{ñ class};2;61;25;54;134;51;631;24;92;5;1;1.080;2;31;6;11;42;34;505;30;194;5;0;860;4;92;31;65;176;85;1.136;54;286;10;1;1.940
