;;Sexo Trabalhador;Escolaridade Agreg após 2005
Capital; Faixa Remun Média (SM); 01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;01:Analfabeto;02:Até 5ª Incompleto;03:5ª Completo Fundamental;04:6ª a 9ª Fundamental;05:Fundamental Completo;06:Médio Incompleto;07:Médio Completo;08:Superior Incompleto;09:Superior Completo;Total;01:Analfabeto;02:Até 5ª Incompleto;03:5ª Completo Fundamental;04:6ª a 9ª Fundamental;05:Fundamental Completo;06:Médio Incompleto;07:Médio Completo;08:Superior Incompleto;09:Superior Completo;Total;01:Analfabeto;02:Até 5ª Incompleto;03:5ª Completo Fundamental;04:6ª a 9ª Fundamental;05:Fundamental Completo;06:Médio Incompleto;07:Médio Completo;08:Superior Incompleto;09:Superior Completo;Total
;05:3,01 a 4,00;27;240;277;1.182;4.005;2.765;7.968;655;2.396;19.515;0;33;37;118;482;472;5.958;854;4.166;12.120;27;273;314;1.300;4.487;3.237;13.926;1.509;6.562;31.635
;06:4,01 a 5,00;2;130;153;561;1.510;737;3.963;660;3.760;11.476;0;17;17;88;225;116;2.431;429;5.750;9.073;2;147;170;649;1.735;853;6.394;1.089;9.510;20.549
;07:5,01 a 7,00;9;230;109;737;1.383;469;3.618;527;4.869;11.951;0;24;7;87;251;96;2.579;341;6.904;10.289;9;254;116;824;1.634;565;6.197;868;11.773;22.240
;08:7,01 a 10,00;2;76;28;225;709;309;2.363;372;3.939;8.023;0;4;2;11;62;36;1.199;207;4.856;6.377;2;80;30;236;771;345;3.562;579;8.795;14.400
;09:10,01 a 15,00;1;14;6;102;281;260;1.363;261;3.173;5.461;0;3;0;4;11;13;441;98;2.919;3.489;1;17;6;106;292;273;1.804;359;6.092;8.950
;10:15,01 a 20,00;0;0;5;7;60;93;453;124;2.032;2.774;0;0;0;0;1;1;118;34;1.464;1.618;0;0;5;7;61;94;571;158;3.496;4.392
;11:Mais de 20,00;0;1;1;6;21;37;371;99;2.763;3.299;0;0;0;0;1;1;130;32;1.817;1.981;0;1;1;6;22;38;501;131;4.580;5.280
;{ñ class};5;65;300;216;297;119;296;22;126;1.446;2;22;19;54;75;38;237;37;93;577;7;87;319;270;372;157;533;59;219;2.023
160030:Macapá - AP;Total;200;826;863;2.689;5.111;2.209;20.717;855;2.950;36.420;65;219;235;1.064;2.498;1.108;20.398;982;3.311;29.880;265;1.045;1.098;3.753;7.609;3.317;41.115;1.837;6.261;66.300
;00:Até 0,50;1;1;2;3;13;52;27;2;6;107;0;0;0;6;2;45;21;8;1;83;1;1;2;9;15;97;48;10;7;190
;01:0,51 a 1,00;28;48;66;148;384;302;944;49;33;2.002;4;11;20;68;143;187;1.001;61;49;1.544;32;59;86;216;527;489;1.945;110;82;3.546
;02:1,01 a 1,50;112;333;376;1.009;1.622;958;4.179;162;89;8.840;51;123;172;594;1.135;619;4.489;259;139;7.581;163;456;548;1.603;2.757;1.577;8.668;421;228;16.421
;03:1,51 a 2,00;30;192;174;428;912;408;2.407;114;100;4.765;6;10;25;92;248;142;1.879;208;161;2.771;36;202;199;520;1.160;550;4.286;322;261;7.536
;04:2,01 a 3,00;26;93;161;368;1.068;310;2.598;152;243;5.019;2;4;6;26;107;57;1.669;161;373;2.405;28;97;167;394;1.175;367;4.267;313;616;7.424
;05:3,01 a 4,00;1;37;37;181;359;80;1.821;80;155;2.751;1;29;4;66;297;15;1.393;93;240;2.138;2;66;41;247;656;95;3.214;173;395;4.889
;06:4,01 a 5,00;0;54;17;220;288;30;1.341;63;265;2.278;0;22;1;97;275;11;1.957;41;346;2.750;0;76;18;317;563;41;3.298;104;611;5.028
;07:5,01 a 7,00;0;49;14;252;301;27;3.400;93;385;4.521;0;8;1;73;180;14;4.086;61;497;4.920;0;57;15;325;481;41;7.486;154;882;9.441
;08:7,01 a 10,00;0;11;6;47;76;18;2.044;57;527;2.786;0;11;4;38;79;8;2.303;45;541;3.029;0;22;10;85;155;26;4.347;102;1.068;5.815
;09:10,01 a 15,00;0;1;0;5;27;11;1.117;51;434;1.646;0;0;0;1;9;3;1.198;28;565;1.804;0;1;0;6;36;14;2.315;79;999;3.450
;10:15,01 a 20,00;0;1;0;1;8;1;329;19;270;629;0;0;0;1;1;2;141;11;216;372;0;1;0;2;9;3;470;30;486;1.001
;11:Mais de 20,00;0;0;1;4;27;3;477;11;422;945;0;0;0;0;8;1;224;5;171;409;0;0;1;4;35;4;701;16;593;1.354
;{ñ class};2;6;9;23;26;9;33;2;21;131;1;1;2;2;14;4;37;1;12;74;3;7;11;25;40;13;70;3;33;205
172100:Palmas - TO;Total;108;802;775;4.186;7.219;2.110;19.987;642;9.197;45.026;20;136;153;3.362;4.574;854;21.886;693;13.115;44.793;128;938;928;7.548;11.793;2.964;41.873;1.335;22.312;89.819
;00:Até 0,50;0;0;0;2;1;7;7;1;7;25;0;0;0;2;1;6;17;2;6;34;0;0;0;4;2;13;24;3;13;59
;01:0,51 a 1,00;11;25;27;90;213;191;510;30;33;1.130;7;3;12;52;178;149;611;68;78;1.158;18;28;39;142;391;340;1.121;98;111;2.288
;02:1,01 a 1,50;57;333;257;2.112;2.689;945;4.143;81;105;10.722;10;97;82;3.105;2.650;541;5.079;138;284;11.986;67;430;339;5.217;5.339;1.486;9.222;219;389;22.708
;03:1,51 a 2,00;22;196;217;814;1.547;382;2.511;78;130;5.897;1;21;27;122;654;95;3.250;124;304;4.598;23;217;244;936;2.201;477;5.761;202;434;10.495
;04:2,01 a 3,00;10;138;182;667;1.415;369;4.511;125;479;7.896;0;4;23;52;599;35;5.588;147;1.187;7.635;10;142;205;719;2.014;404;10.099;272;1.666;15.531
;05:3,01 a 4,00;1;56;41;255;425;110;2.321;69;835;4.113;0;2;2;7;170;16;2.170;66;2.164;4.597;1;58;43;262;595;126;4.491;135;2.999;8.710
;06:4,01 a 5,00;1;25;25;118;453;44;2.687;56;990;4.399;0;4;1;14;144;9;1.733;48;1.274;3.227;1;29;26;132;597;53;4.420;104;2.264;7.626
;07:5,01 a 7,00;1;11;16;71;264;30;1.768;76;2.621;4.858;0;5;5;6;108;1;2.794;44;4.632;7.595;1;16;21;77;372;31;4.562;120;7.253;12.453
;08:7,01 a 10,00;0;7;4;31;130;19;854;51;1.394;2.490;0;0;0;1;45;0;443;32;1.662;2.183;0;7;4;32;175;19;1.297;83;3.056;4.673
;09:10,01 a 15,00;0;2;0;6;46;4;488;33;1.051;1.630;0;0;0;1;23;1;160;18;886;1.089;0;2;0;7;69;5;648;51;1.937;2.719
;10:15,01 a 20,00;0;2;2;1;8;1;96;19;739;868;0;0;0;0;0;0;9;3;336;348;0;2;2;1;8;1;105;22;1.075;1.216
;11:Mais de 20,00;1;0;0;0;4;0;71;23;799;898;0;0;0;0;0;0;24;1;288;313;1;0;0;0;4;0;95;24;1.087;1.211
;{ñ class};4;7;4;19;24;8;20;0;14;100;2;0;1;0;2;1;8;2;14;30;6;7;5;19;26;9;28;2;28;130
211130:São Luiz - MA;Total;460;3.647;4.208;6.818;17.480;6.438;63.382;3.392;17.906;123.731;47;412;871;973;6.711;1.949;57.124;3.275;22.640;94.002;507;4.059;5.079;7.791;24.191;8.387;120.506;6.667;40.546;217.733
;00:Até 0,50;30;268;18;16;18;43;42;6;34;475;0;1;3;6;13;29;46;8;23;129;30;269;21;22;31;72;88;14;57;604
;01:0,51 a 1,00;36;239;148;203;412;323;1.497;66;180;3.104;10;14;22;62;153;219;1.643;119;212;2.454;46;253;170;265;565;542;3.140;185;392;5.558
;02:1,01 a 1,50;220;1.226;1.672;2.497;6.709;3.181;24.419;494;1.260;41.678;33;268;511;662;4.626;1.313;24.389;843;2.955;35.600;253;1.494;2.183;3.159;11.335;4.494;48.808;1.337;4.215;77.278
;03:1,51 a 2,00;105;813;932;1.599;3.628;1.364;11.637;292;573;20.943;4;51;66;99;744;175;7.500;518;1.737;10.894;109;864;998;1.698;4.372;1.539;19.137;810;2.310;31.837
;04:2,01 a 3,00;29;319;889;944;2.888;915;9.602;413;1.649;17.648;0;44;81;58;570;111;12.511;540;2.990;16.905;29;363;970;1.002;3.458;1.026;22.113;953;4.639;34.553
;05:3,01 a 4,00;15;158;187;341;989;234;4.134;555;2.964;9.577;0;10;25;12;164;27;3.109;398;3.547;7.292;15;168;212;353;1.153;261;7.243;953;6.511;16.869
;06:4,01 a 5,00;9;122;100;616;1.648;137;3.519;421;2.877;9.449;0;7;50;30;171;22;2.895;315;4.148;7.638;9;129;150;646;1.819;159;6.414;736;7.025;17.087
;07:5,01 a 7,00;5;276;132;438;789;122;4.241;482;1.815;8.300;0;2;27;20;126;19;3.497;232;2.523;6.446;5;278;159;458;915;141;7.738;714;4.338;14.746
;08:7,01 a 10,00;0;11;52;44;129;50;1.921;250;1.645;4.102;0;0;32;2;38;17;687;148;1.772;2.696;0;11;84;46;167;67;2.608;398;3.417;6.798
;09:10,01 a 15,00;0;3;26;29;95;10;1.195;231;1.938;3.527;0;1;26;8;38;3;348;83;1.358;1.865;0;4;52;37;133;13;1.543;314;3.296;5.392
;10:15,01 a 20,00;0;3;7;13;36;10;591;104;1.100;1.864;0;0;20;2;27;1;255;50;529;884;0;3;27;15;63;11;846;154;1.629;2.748
;11:Mais de 20,00;0;0;6;2;16;4;278;66;1.829;2.201;0;0;6;0;12;1;71;18;812;920;0;0;12;2;28;5;349;84;2.641;3.121
;{ñ class};11;209;39;76;123;45;306;12;42;863;0;14;2;12;29;12;173;3;34;279;11;223;41;88;152;57;479;15;76;1.142
221100:Terezina - PI;Total;1.563;11.170;6.434;8.806;13.776;8.490;33.769;4.559;16.938;105.505;412;4.109;1.612;1.703;4.492;3.298;31.840;17.726;24.167;89.359;1.975;15.279;8.046;10.509;18.268;11.788;65.609;22.285;41.105;194.864
;00:Até 0,50;62;42;18;38;46;93;76;26;124;525;3;10;15;28;46;88;88;11;61;350;65;52;33;66;92;181;164;37;185;875
;01:0,51 a 1,00;187;745;567;713;947;639;1.454;123;384;5.759;43;163;78;208;349;414;1.876;230;344;3.705;230;908;645;921;1.296;1.053;3.330;353;728;9.464
;02:1,01 a 1,50;774;5.025;3.545;5.032;6.808;5.104;13.536;1.870;1.301;42.995;352;3.544;1.017;1.340;3.134;2.346;15.298;3.033;2.032;32.096;1.126;8.569;4.562;6.372;9.942;7.450;28.834;4.903;3.333;75.091
;03:1,51 a 2,00;141;1.024;1.203;1.237;1.943;1.233;5.341;555;1.232;13.909;6;96;294;58;250;209;4.264;1.536;2.483;9.196;147;1.120;1.497;1.295;2.193;1.442;9.605;2.091;3.715;23.105
;04:2,01 a 3,00;162;2.255;740;870;2.072;831;4.900;757;2.670;15.257;4;76;142;23;288;130;4.805;3.105;4.594;13.167;166;2.331;882;893;2.360;961;9.705;3.862;7.264;28.424
;05:3,01 a 4,00;175;1.245;165;228;773;240;3.012;591;2.249;8.678;2;59;43;14;165;38;2.386;9.276;7.191;19.174;177;1.304;208;242;938;278;5.398;9.867;9.440;27.852
;06:4,01 a 5,00;35;227;58;280;446;96;1.517;148;1.220;4.027;1;38;12;8;78;9;1.174;264;2.019;3.603;36;265;70;288;524;105;2.691;412;3.239;7.630
;07:5,01 a 7,00;14;411;51;237;438;107;1.490;161;2.197;5.106;0;85;4;10;119;34;994;110;1.882;3.238;14;496;55;247;557;141;2.484;271;4.079;8.344
;08:7,01 a 10,00;0;76;23;96;185;66;1.066;135;1.970;3.617;0;14;0;5;45;11;540;65;1.314;1.994;0;90;23;101;230;77;1.606;200;3.284;5.611
;09:10,01 a 15,00;0;54;14;19;44;34;747;107;1.351;2.370;0;12;0;0;4;4;246;56;1.070;1.392;0;66;14;19;48;38;993;163;2.421;3.762
;10:15,01 a 20,00;0;6;3;3;5;7;343;33;905;1.305;0;3;1;1;1;0;85;13;549;653;0;9;4;4;6;7;428;46;1.454;1.958
;11:Mais de 20,00;0;1;1;2;12;7;220;30;1.205;1.478;0;1;0;0;1;1;36;8;582;629;0;2;1;2;13;8;256;38;1.787;2.107
;{ñ class};13;59;46;51;57;33;67;23;130;479;1;8;6;8;12;14;48;19;46;162;14;67;52;59;69;47;115;42;176;641
230440:Fortaleza - CE;Total;2.968;16.395;12.020;26.397;59.628;26.547;107.873;11.150;37.125;300.103;318;4.477;4.988;11.284;25.503;16.365;91.995;13.099;54.662;222.691;3.286;20.872;17.008;37.681;85.131;42.912;199.868;24.249;91.787;522.794
;00:Até 0,50;66;18;29;56;212;219;322;65;155;1.142;6;11;69;38;115;166;387;58;137;987;72;29;98;94;327;385;709;123;292;2.129
;01:0,51 a 1,00;296;764;615;1.842;4.609;2.614;5.917;418;664;17.739;33;227;263;808;2.161;1.895;6.107;607;971;13.072;329;991;878;2.650;6.770;4.509;12.024;1.025;1.635;30.811
;02:1,01 a 1,50;1.505;8.076;6.575;15.043;31.239;14.082;49.876;2.189;1.846;130.431;249;3.289;4.123;8.012;18.668;10.325;50.720;3.572;4.257;103.215;1.754;11.365;10.698;23.055;49.907;24.407;100.596;5.761;6.103;233.646
