;;Sexo Trabalhador;Tipo Vínculo
Capital; Faixa Remun Média (SM); 01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;10:CLT U/ PJ Ind;15:CLT U/ PF Ind;20:CLT R/ PJ Ind;25:CLT R/ PF Ind;30:Estatutário;31:Estatutário RGPS;35:Estatutário não Efetivo;40:Avulso;50:Temporário;55:Aprendiz;60:CLT U/ PJ Determinado;65:CLT U/ PF Determinado;70:CLT R/ PJ Determinado;75:CLT R/ PF Determinado;80:Diretor;90:Contrat Prazo Determinado;95:Contrat TMP Determinado;96:Contrat Lei Estadual;97:Contrat Lei Municipal;Total;10:CLT U/ PJ Ind;15:CLT U/ PF Ind;20:CLT R/ PJ Ind;25:CLT R/ PF Ind;30:Estatutário;31:Estatutário RGPS;35:Estatutário não Efetivo;40:Avulso;50:Temporário;55:Aprendiz;60:CLT U/ PJ Determinado;65:CLT U/ PF Determinado;70:CLT R/ PJ Determinado;75:CLT R/ PF Determinado;80:Diretor;90:Contrat Prazo Determinado;95:Contrat TMP Determinado;96:Contrat Lei Estadual;97:Contrat Lei Municipal;Total;10:CLT U/ PJ Ind;15:CLT U/ PF Ind;20:CLT R/ PJ Ind;25:CLT R/ PF Ind;30:Estatutário;31:Estatutário RGPS;35:Estatutário não Efetivo;40:Avulso;50:Temporário;55:Aprendiz;60:CLT U/ PJ Determinado;65:CLT U/ PF Determinado;70:CLT R/ PJ Determinado;75:CLT R/ PF Determinado;80:Diretor;90:Contrat Prazo Determinado;95:Contrat TMP Determinado;96:Contrat Lei Estadual;97:Contrat Lei Municipal;Total
;05:3,01 a 4,00;18.126;15;6;30;3.208;120;941;79;48;0;64;0;0;0;7;38;71;0;435;23.188;6.885;34;3;5;4.984;116;1.031;1;25;0;45;0;0;0;1;24;72;0;1.043;14.269;25.011;49;9;35;8.192;236;1.972;80;73;0;109;0;0;0;8;62;143;0;1.478;37.457
;06:4,01 a 5,00;8.449;8;3;8;6.724;118;966;48;20;0;41;0;0;0;3;19;39;0;159;16.605;3.995;12;1;2;5.703;113;1.404;0;25;0;38;0;0;0;3;11;51;0;718;12.076;12.444;20;4;10;12.427;231;2.370;48;45;0;79;0;0;0;6;30;90;0;877;28.681
;07:5,01 a 7,00;8.650;5;2;9;6.364;149;975;63;14;1;50;0;0;0;17;21;8;0;48;16.376;4.369;13;1;0;4.986;153;1.645;0;32;0;27;0;0;0;3;16;13;0;121;11.379;13.019;18;3;9;11.350;302;2.620;63;46;1;77;0;0;0;20;37;21;0;169;27.755
;08:7,01 a 10,00;5.610;8;1;3;6.197;112;744;55;4;0;23;0;0;0;2;10;2;0;12;12.783;2.561;6;0;0;4.872;152;854;0;5;0;10;0;0;0;2;5;2;0;64;8.533;8.171;14;1;3;11.069;264;1.598;55;9;0;33;0;0;0;4;15;4;0;76;21.316
;09:10,01 a 15,00;3.554;9;2;1;3.782;66;357;92;1;0;5;0;0;0;3;5;10;0;1;7.888;1.427;4;0;0;2.557;86;393;0;1;0;3;0;0;0;0;6;3;0;2;4.482;4.981;13;2;1;6.339;152;750;92;2;0;8;0;0;0;3;11;13;0;3;12.370
;10:15,01 a 20,00;1.394;4;2;0;1.575;25;192;37;0;0;2;0;0;0;2;0;0;0;13;3.246;423;4;0;0;1.073;25;124;0;0;0;0;0;0;0;1;0;0;0;21;1.671;1.817;8;2;0;2.648;50;316;37;0;0;2;0;0;0;3;0;0;0;34;4.917
;11:Mais de 20,00;1.985;4;0;0;2.068;34;107;3;0;0;1;0;0;0;22;0;0;0;0;4.224;340;1;0;0;1.306;6;47;0;0;0;2;0;0;0;7;1;0;0;0;1.710;2.325;5;0;0;3.374;40;154;3;0;0;3;0;0;0;29;1;0;0;0;5.934
;{ñ class};3.668;4;4;1;20;0;11;0;6;9;8;0;0;0;9;17;0;0;0;3.757;2.176;4;1;2;17;1;13;0;10;3;5;0;0;0;10;18;0;0;1;2.261;5.844;8;5;3;37;1;24;0;16;12;13;0;0;0;19;35;0;0;1;6.018
140010:Boa Vista - RR;Total;23.504;134;9;128;12.378;1.243;3.993;0;3;372;199;11;0;1;22;8;121;1.131;0;43.257;17.546;186;3;26;16.713;2.175;4.555;0;5;364;93;9;0;0;11;5;59;1.396;0;43.146;41.050;320;12;154;29.091;3.418;8.548;0;8;736;292;20;0;1;33;13;180;2.527;0;86.403
;00:Até 0,50;27;0;0;0;9;1;4;0;0;192;0;0;0;0;0;0;0;0;0;233;33;0;0;0;6;1;2;0;0;186;0;0;0;0;0;0;0;0;0;228;60;0;0;0;15;2;6;0;0;378;0;0;0;0;0;0;0;0;0;461
;01:0,51 a 1,00;984;16;2;25;119;30;149;0;0;175;6;0;0;1;4;0;12;0;0;1.523;1.118;35;3;6;113;100;163;0;0;172;6;4;0;0;2;0;0;1;0;1.723;2.102;51;5;31;232;130;312;0;0;347;12;4;0;1;6;0;12;1;0;3.246
;02:1,01 a 1,50;11.244;63;3;75;967;281;826;0;0;5;48;7;0;0;4;5;35;2;0;13.565;10.882;107;0;18;1.084;1.104;1.054;0;0;6;22;3;0;0;3;5;2;6;0;14.296;22.126;170;3;93;2.051;1.385;1.880;0;0;11;70;10;0;0;7;10;37;8;0;27.861
;03:1,51 a 2,00;4.563;34;1;9;684;144;705;0;0;0;63;4;0;0;4;1;21;330;0;6.563;2.318;17;0;2;962;395;795;0;0;0;25;2;0;0;0;0;0;270;0;4.786;6.881;51;1;11;1.646;539;1.500;0;0;0;88;6;0;0;4;1;21;600;0;11.349
;04:2,01 a 3,00;3.529;14;2;12;1.352;133;693;0;0;0;67;0;0;0;2;2;4;611;0;6.421;1.519;13;0;0;2.296;227;609;0;0;0;26;0;0;0;1;0;4;840;0;5.535;5.048;27;2;12;3.648;360;1.302;0;0;0;93;0;0;0;3;2;8;1.451;0;11.956
;05:3,01 a 4,00;1.173;4;0;4;1.436;229;475;0;0;0;2;0;0;0;1;0;36;132;0;3.492;650;2;0;0;2.813;103;602;0;0;0;5;0;0;0;3;0;38;213;0;4.429;1.823;6;0;4;4.249;332;1.077;0;0;0;7;0;0;0;4;0;74;345;0;7.921
;06:4,01 a 5,00;514;1;0;2;1.122;157;312;0;2;0;7;0;0;0;0;0;5;33;0;2.155;282;0;0;0;1.882;39;394;0;2;0;3;0;0;0;0;0;9;51;0;2.662;796;1;0;2;3.004;196;706;0;4;0;10;0;0;0;0;0;14;84;0;4.817
;07:5,01 a 7,00;491;1;1;1;3.444;116;384;0;1;0;3;0;0;0;5;0;2;17;0;4.466;293;5;0;0;4.878;89;486;0;3;0;4;0;0;0;0;0;3;13;0;5.774;784;6;1;1;8.322;205;870;0;4;0;7;0;0;0;5;0;5;30;0;10.240
;08:7,01 a 10,00;316;0;0;0;1.327;78;221;0;0;0;1;0;0;0;2;0;1;3;0;1.949;188;2;0;0;1.467;63;217;0;0;0;0;0;0;0;1;0;1;2;0;1.941;504;2;0;0;2.794;141;438;0;0;0;1;0;0;0;3;0;2;5;0;3.890
;09:10,01 a 15,00;182;0;0;0;874;30;120;0;0;0;0;0;0;0;0;0;5;1;0;1.212;87;4;0;0;697;17;170;0;0;0;1;0;0;0;0;0;1;0;0;977;269;4;0;0;1.571;47;290;0;0;0;1;0;0;0;0;0;6;1;0;2.189
;10:15,01 a 20,00;79;0;0;0;475;8;22;0;0;0;0;0;0;0;0;0;0;1;0;585;37;0;0;0;235;8;22;0;0;0;1;0;0;0;0;0;1;0;0;304;116;0;0;0;710;16;44;0;0;0;1;0;0;0;0;0;1;1;0;889
;11:Mais de 20,00;152;0;0;0;522;32;80;0;0;0;0;0;0;0;0;0;0;0;0;786;52;0;0;0;245;25;30;0;0;0;0;0;0;0;1;0;0;0;0;353;204;0;0;0;767;57;110;0;0;0;0;0;0;0;1;0;0;0;0;1.139
;{ñ class};250;1;0;0;47;4;2;0;0;0;2;0;0;0;0;0;0;1;0;307;87;1;0;0;35;4;11;0;0;0;0;0;0;0;0;0;0;0;0;138;337;2;0;0;82;8;13;0;0;0;2;0;0;0;0;0;0;1;0;445
150140:Belém - PA;Total;154.470;408;324;223;64.576;425;11.605;1.193;226;1.559;1.297;6;6;2;112;378;605;8;0;237.423;97.686;893;111;13;63.977;726;13.712;5;184;1.271;495;7;0;0;44;103;344;4;1;179.576;252.156;1.301;435;236;128.553;1.151;25.317;1.198;410;2.830;1.792;13;6;2;156;481;949;12;1;416.999
;00:Até 0,50;506;1;1;0;17;0;6;49;1;939;0;0;0;0;0;3;0;0;0;1.523;595;4;0;0;14;0;14;0;5;722;0;0;0;0;0;4;0;0;0;1.358;1.101;5;1;0;31;0;20;49;6;1.661;0;0;0;0;0;7;0;0;0;2.881
;01:0,51 a 1,00;4.765;52;8;86;431;0;595;158;8;572;26;0;0;1;4;13;1;0;0;6.720;4.018;84;1;2;386;0;892;2;20;502;17;0;0;0;1;7;1;1;0;5.934;8.783;136;9;88;817;0;1.487;160;28;1.074;43;0;0;1;5;20;2;1;0;12.654
;02:1,01 a 1,50;58.941;237;124;119;4.657;9;1.600;130;115;44;421;4;4;1;9;201;283;1;0;66.900;49.734;650;66;10;7.778;17;2.099;1;131;45;250;6;0;0;6;49;140;1;1;60.984;108.675;887;190;129;12.435;26;3.699;131;246;89;671;10;4;1;15;250;423;2;1;127.884
