;;Sexo Trabalhador;Tipo Vínculo
Capital; Faixa Remun Média (SM); 01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;09:Ignorado;09:Ignorado;09:Ignorado;09:Ignorado;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;10:CLT U/ PJ Ind;15:CLT U/ PF Ind;20:CLT R/ PJ Ind;25:CLT R/ PF Ind;30:Estatutário;31:Estatutário RGPS;35:Estatutário não Efetivo;40:Avulso;50:Temporário;55:Aprendiz;60:CLT U/ PJ Determinado;65:CLT U/ PF Determinado;70:CLT R/ PJ Determinado;75:CLT R/ PF Determinado;80:Diretor;90:Contrat Prazo Determinado;95:Contrat TMP Determinado;96:Contrat Lei Estadual;97:Contrat Lei Municipal;Total;10:CLT U/ PJ Ind;15:CLT U/ PF Ind;20:CLT R/ PJ Ind;25:CLT R/ PF Ind;30:Estatutário;31:Estatutário RGPS;35:Estatutário não Efetivo;40:Avulso;50:Temporário;55:Aprendiz;60:CLT U/ PJ Determinado;65:CLT U/ PF Determinado;70:CLT R/ PJ Determinado;75:CLT R/ PF Determinado;80:Diretor;90:Contrat Prazo Determinado;95:Contrat TMP Determinado;96:Contrat Lei Estadual;97:Contrat Lei Municipal;Total;10:CLT U/ PJ Ind;55:Aprendiz;60:CLT U/ PJ Determinado;Total;10:CLT U/ PJ Ind;15:CLT U/ PF Ind;20:CLT R/ PJ Ind;25:CLT R/ PF Ind;30:Estatutário;31:Estatutário RGPS;35:Estatutário não Efetivo;40:Avulso;50:Temporário;55:Aprendiz;60:CLT U/ PJ Determinado;65:CLT U/ PF Determinado;70:CLT R/ PJ Determinado;75:CLT R/ PF Determinado;80:Diretor;90:Contrat Prazo Determinado;95:Contrat TMP Determinado;96:Contrat Lei Estadual;97:Contrat Lei Municipal;Total
;00:Até 0,50;917;2;1;0;14;14;13;3;16;2.265;859;0;0;0;0;13;0;0;0;4.117;1.332;3;2;0;21;37;4;0;10;2.614;730;0;0;0;0;1;0;3;0;4.757;0;0;0;0;2.249;5;3;0;35;51;17;3;26;4.879;1.589;0;0;0;0;14;0;3;0;8.874
;01:0,51 a 1,00;15.269;79;57;34;74;58;977;5;116;1.314;5.290;8;0;3;0;60;6;2.345;0;25.695;18.978;47;49;3;100;63;2.582;0;71;1.608;5.653;7;0;0;0;52;7;7.399;0;36.619;0;0;0;0;34.247;126;106;37;174;121;3.559;5;187;2.922;10.943;15;0;3;0;112;13;9.744;0;62.314
;02:1,01 a 1,50;119.867;220;346;58;494;29;924;1;276;48;7.259;6;0;1;1;316;175;431;0;130.452;100.407;446;400;4;356;51;1.970;0;95;79;7.506;3;0;0;0;114;136;338;0;111.905;0;0;0;0;220.274;666;746;62;850;80;2.894;1;371;127;14.765;9;0;1;1;430;311;769;0;242.357
;03:1,51 a 2,00;58.983;115;71;10;2.703;12;1.432;8;45;6;2.186;6;0;0;0;93;21;430;0;66.121;30.228;110;61;1;3.306;26;3.138;0;30;10;1.399;3;0;0;0;41;21;833;0;39.207;0;0;0;0;89.211;225;132;11;6.009;38;4.570;8;75;16;3.585;9;0;0;0;134;42;1.263;0;105.328
;04:2,01 a 3,00;42.427;73;36;1;5.286;15;4.024;7;23;15;1.291;0;0;0;1;53;258;1.230;0;54.740;26.893;110;28;0;7.537;17;6.668;0;18;11;1.572;2;0;0;0;69;262;1.937;0;45.124;0;0;0;0;69.320;183;64;1;12.823;32;10.692;7;41;26;2.863;2;0;0;1;122;520;3.167;0;99.864
;05:3,01 a 4,00;16.092;28;8;2;5.623;3;1.212;4;5;20;390;1;0;0;1;31;42;98;0;23.560;11.653;39;22;0;9.056;1;2.570;0;5;9;347;1;0;0;0;26;60;159;0;23.948;0;0;0;0;27.745;67;30;2;14.679;4;3.782;4;10;29;737;2;0;0;1;57;102;257;0;47.508
;06:4,01 a 5,00;8.316;13;7;0;17.671;1;784;11;0;9;203;0;0;0;1;10;11;52;0;27.089;7.079;17;9;0;8.873;3;1.674;0;2;5;184;0;0;0;1;36;14;79;0;17.976;0;0;0;0;15.395;30;16;0;26.544;4;2.458;11;2;14;387;0;0;0;2;46;25;131;0;45.065
;07:5,01 a 7,00;8.797;8;6;0;16.457;0;734;28;0;8;172;0;0;0;0;7;7;19;0;26.243;7.830;14;6;0;12.857;4;803;0;2;15;179;0;0;0;0;6;8;27;0;21.751;0;0;0;0;16.627;22;12;0;29.314;4;1.537;28;2;23;351;0;0;0;0;13;15;46;0;47.994
;08:7,01 a 10,00;6.421;8;4;0;8.550;1;790;5;0;1;116;0;0;0;4;8;3;1;0;15.912;5.315;12;1;0;11.807;4;848;0;3;5;104;0;0;0;1;9;5;0;0;18.114;0;0;0;0;11.736;20;5;0;20.357;5;1.638;5;3;6;220;0;0;0;5;17;8;1;0;34.026
;09:10,01 a 15,00;5.201;3;10;0;7.417;2;599;6;28;1;49;0;0;0;5;2;12;0;1;13.336;3.892;2;1;0;6.078;2;569;0;6;2;35;0;0;0;1;5;10;0;1;10.604;0;0;0;0;9.093;5;11;0;13.495;4;1.168;6;34;3;84;0;0;0;6;7;22;0;2;23.940
;10:15,01 a 20,00;2.357;1;2;0;3.049;0;190;10;2;0;6;0;0;0;12;4;12;0;20;5.665;1.840;2;1;0;2.526;0;127;0;2;0;1;0;0;0;9;3;8;0;5;4.524;0;0;0;0;4.197;3;3;0;5.575;0;317;10;4;0;7;0;0;0;21;7;20;0;25;10.189
;11:Mais de 20,00;3.453;0;3;0;3.141;0;171;444;0;0;10;0;0;0;54;3;2;0;0;7.281;2.732;2;0;0;2.215;0;97;1;1;0;3;0;0;0;28;4;0;0;0;5.083;0;0;0;0;6.185;2;3;0;5.356;0;268;445;1;0;13;0;0;0;82;7;2;0;0;12.364
;{ñ class};29.140;51;73;11;48;5;8;263;45;178;702;1;0;0;173;117;0;1;0;30.816;16.509;60;63;1;28;6;15;4;33;182;534;1;0;0;76;35;0;5;0;17.552;0;0;4;4;45.649;111;136;12;76;11;23;267;78;360;1.240;2;0;0;249;152;0;6;0;48.372
310620:Belo Horizonte - MG;Total;486.059;1.442;2.075;128;114.155;39;13.605;217;1.638;5.089;29.107;71;0;3;923;1.567;487;0;1.272;657.877;399.141;3.506;1.683;43;133.936;57;48.993;7;1.519;6.366;26.440;78;0;0;528;1.433;440;0;5.237;629.407;0;0;4;4;885.200;4.948;3.758;171;248.091;96;62.598;224;3.157;11.455;55.551;149;0;3;1.451;3.000;927;0;6.509;1.287.288
;00:Até 0,50;2.170;5;7;2;25;0;6;3;62;3.580;1.446;2;0;0;1;19;0;0;1;7.329;2.451;12;5;1;48;0;9;0;76;4.311;1.602;4;0;0;1;10;0;0;0;8.530;0;0;0;0;4.621;17;12;3;73;0;15;3;138;7.891;3.048;6;0;0;2;29;0;0;1;15.859
;01:0,51 a 1,00;18.021;68;62;19;231;0;822;13;262;1.270;7.075;20;0;1;7;65;1;0;10;27.947;25.190;131;66;4;461;0;4.236;0;291;1.760;8.281;25;0;0;4;93;3;0;85;40.630;0;0;0;0;43.211;199;128;23;692;0;5.058;13;553;3.030;15.356;45;0;1;11;158;4;0;95;68.577
;02:1,01 a 1,50;121.074;423;627;53;939;0;5.931;13;626;39;10.135;27;0;1;0;343;238;0;139;140.608;152.251;1.651;683;18;2.023;0;34.320;0;654;60;9.653;40;0;0;0;416;211;0;1.510;203.490;0;0;0;0;273.325;2.074;1.310;71;2.962;0;40.251;13;1.280;99;19.788;67;0;1;0;759;449;0;1.649;344.098
;03:1,51 a 2,00;91.554;324;426;22;2.363;1;545;7;277;10;3.968;12;0;1;10;358;1;0;367;100.246;60.830;787;282;12;7.597;0;1.561;0;160;7;2.374;4;0;0;6;246;1;0;1.691;75.558;0;0;0;0;152.384;1.111;708;34;9.960;1;2.106;7;437;17;6.342;16;0;1;16;604;2;0;2.058;175.804
;04:2,01 a 3,00;94.849;183;390;21;9.561;10;1.153;9;145;11;2.775;2;0;0;7;315;142;0;205;109.778;55.419;381;312;5;35.457;3;3.080;0;132;11;1.786;0;0;0;2;265;106;0;704;97.663;0;0;0;0;150.268;564;702;26;45.018;13;4.233;9;277;22;4.561;2;0;0;9;580;248;0;909;207.441
;05:3,01 a 4,00;34.774;88;148;1;10.622;6;987;6;46;6;825;0;0;0;6;134;57;0;155;47.861;23.459;98;162;0;23.011;6;1.925;0;38;6;683;0;0;0;5;140;47;0;541;50.121;0;0;0;0;58.233;186;310;1;33.633;12;2.912;6;84;12;1.508;0;0;0;11;274;104;0;696;97.982
;06:4,01 a 5,00;18.639;43;65;0;19.684;5;1.838;6;23;3;446;1;0;0;3;67;20;0;142;40.985;13.628;39;46;0;17.280;5;1.121;0;30;5;318;0;0;0;3;89;31;0;275;32.870;0;0;0;0;32.267;82;111;0;36.964;10;2.959;6;53;8;764;1;0;0;6;156;51;0;417;73.855
;07:5,01 a 7,00;20.704;45;80;0;30.738;6;939;5;13;4;473;0;0;0;3;77;18;0;124;53.229;14.051;53;33;0;17.916;13;1.236;0;29;3;311;0;0;0;9;59;33;0;248;33.994;0;0;0;0;34.755;98;113;0;48.654;19;2.175;5;42;7;784;0;0;0;12;136;51;0;372;87.223
;08:7,01 a 10,00;18.580;26;39;0;16.692;6;582;3;23;0;342;0;0;0;6;63;0;0;115;36.477;10.897;35;25;0;11.872;19;728;0;17;0;152;0;0;0;10;34;3;0;170;23.962;0;0;0;0;29.477;61;64;0;28.564;25;1.310;3;40;0;494;0;0;0;16;97;3;0;285;60.439
;09:10,01 a 15,00;13.059;17;26;0;10.420;3;432;4;13;1;184;0;0;0;13;32;6;0;14;24.224;7.097;26;9;0;8.536;8;465;0;7;0;57;0;0;0;9;21;4;0;13;16.252;0;0;0;0;20.156;43;35;0;18.956;11;897;4;20;1;241;0;0;0;22;53;10;0;27;40.476
;10:15,01 a 20,00;5.065;4;9;0;5.867;1;165;0;58;0;29;0;0;0;66;13;4;0;0;11.281;3.157;5;5;0;4.595;0;135;0;4;0;6;0;0;0;62;4;1;0;0;7.974;0;0;0;0;8.222;9;14;0;10.462;1;300;0;62;0;35;0;0;0;128;17;5;0;0;19.255
;11:Mais de 20,00;7.362;11;16;0;6.968;1;195;31;23;0;99;0;0;0;164;11;0;0;0;14.881;5.382;6;5;1;5.082;0;154;0;9;0;6;0;0;0;84;8;0;0;0;10.737;0;0;0;0;12.744;17;21;1;12.050;1;349;31;32;0;105;0;0;0;248;19;0;0;0;25.618
;{ñ class};40.208;205;180;10;45;0;10;117;67;165;1.310;7;0;0;637;70;0;0;0;43.031;25.329;282;50;2;58;3;23;7;72;203;1.211;5;0;0;333;48;0;0;0;27.626;0;0;4;4;65.537;487;230;12;103;3;33;124;139;368;2.525;12;0;0;970;118;0;0;0;70.661
320530:Vitória - ES;Total;73.572;181;241;50;23.919;119;8.365;3.021;126;1.172;4.130;11;0;2;134;479;79;5;0;115.606;64.017;764;266;69;20.385;230;16.155;326;47;1.242;4.910;14;0;0;63;114;75;2;0;108.679;0;0;0;0;137.589;945;507;119;44.304;349;24.520;3.347;173;2.414;9.040;25;0;2;197;593;154;7;0;224.285
;00:Até 0,50;227;0;1;0;1;2;35;1;0;807;195;0;0;0;0;3;0;0;0;1.272;290;0;2;0;3;7;48;0;0;888;224;2;0;0;0;3;0;0;0;1.467;0;0;0;0;517;0;3;0;4;9;83;1;0;1.695;419;2;0;0;0;6;0;0;0;2.739
;01:0,51 a 1,00;1.922;9;6;4;20;9;116;9;5;306;892;4;0;1;1;33;0;0;0;3.337;2.659;24;8;1;34;24;169;0;4;280;1.180;7;0;0;1;17;0;0;0;4.408;0;0;0;0;4.581;33;14;5;54;33;285;9;9;586;2.072;11;0;1;2;50;0;0;0;7.745
;02:1,01 a 1,50;16.791;69;90;20;280;8;619;12;7;4;1.414;3;0;0;0;154;0;0;0;19.471;23.472;444;114;13;600;12;2.006;0;10;6;1.859;1;0;0;0;22;0;0;0;28.559;0;0;0;0;40.263;513;204;33;880;20;2.625;12;17;10;3.273;4;0;0;0;176;0;0;0;48.030
;03:1,51 a 2,00;13.192;41;44;4;515;4;617;5;5;1;576;4;0;0;1;84;0;0;0;15.093;10.713;152;46;11;942;6;1.149;0;12;2;647;0;0;0;0;27;4;0;0;13.711;0;0;0;0;23.905;193;90;15;1.457;10;1.766;5;17;3;1.223;4;0;0;1;111;4;0;0;28.804
;04:2,01 a 3,00;12.170;22;44;10;2.171;5;2.705;16;13;7;417;0;0;0;0;75;6;0;0;17.661;9.319;52;40;28;3.772;8;6.201;0;9;11;500;1;0;0;3;10;13;0;0;19.967;0;0;0;0;21.489;74;84;38;5.943;13;8.906;16;22;18;917;1;0;0;3;85;19;0;0;37.628
;05:3,01 a 4,00;5.999;7;10;2;3.309;37;2.263;7;7;0;147;0;0;0;0;31;49;0;0;11.868;3.979;14;22;4;3.868;86;2.821;0;3;0;163;0;0;0;1;18;45;0;0;11.024;0;0;0;0;9.978;21;32;6;7.177;123;5.084;7;10;0;310;0;0;0;1;49;94;0;0;22.892
;06:4,01 a 5,00;3.591;5;9;1;4.722;23;1.015;6;4;0;90;0;0;0;0;19;13;5;0;9.503;2.268;2;12;4;2.941;32;2.612;0;3;1;56;1;0;0;0;5;8;2;0;7.947;0;0;0;0;5.859;7;21;5;7.663;55;3.627;6;7;1;146;1;0;0;0;24;21;7;0;17.450
;07:5,01 a 7,00;4.327;2;4;3;4.557;9;504;12;2;0;98;0;0;0;0;9;3;0;0;9.530;2.416;4;2;4;3.154;23;721;0;0;0;53;0;0;0;0;2;4;0;0;6.383;0;0;0;0;6.743;6;6;7;7.711;32;1.225;12;2;0;151;0;0;0;0;11;7;0;0;15.913
;08:7,01 a 10,00;3.709;2;9;0;3.628;12;237;28;0;0;91;0;0;0;2;31;0;0;0;7.749;1.812;0;2;1;2.190;18;176;0;0;0;25;0;0;0;0;5;1;0;0;4.230;0;0;0;0;5.521;2;11;1;5.818;30;413;28;0;0;116;0;0;0;2;36;1;0;0;11.979
;09:10,01 a 15,00;2.689;0;8;0;2.384;7;46;28;0;1;27;0;0;0;3;19;1;0;0;5.213;1.120;0;1;0;1.495;9;26;0;0;0;6;0;0;0;2;1;0;0;0;2.660;0;0;0;0;3.809;0;9;0;3.879;16;72;28;0;1;33;0;0;0;5;20;1;0;0;7.873
;10:15,01 a 20,00;1.315;1;1;1;1.335;1;9;34;0;0;2;0;0;0;6;8;7;0;0;2.720;443;0;0;1;755;0;9;0;1;0;3;0;0;0;6;0;0;0;0;1.218;0;0;0;0;1.758;1;1;2;2.090;1;18;34;1;0;5;0;0;0;12;8;7;0;0;3.938
;11:Mais de 20,00;2.249;1;6;1;834;0;0;714;0;0;4;0;0;0;25;1;0;0;0;3.835;896;3;1;2;434;0;0;4;1;0;3;0;0;0;20;1;0;0;0;1.365;0;0;0;0;3.145;4;7;3;1.268;0;0;718;1;0;7;0;0;0;45;2;0;0;0;5.200
;{ñ class};5.391;22;9;4;163;2;199;2.149;83;46;177;0;0;1;96;12;0;0;0;8.354;4.630;69;16;0;197;5;217;322;4;54;191;2;0;0;30;3;0;0;0;5.740;0;0;0;0;10.021;91;25;4;360;7;416;2.471;87;100;368;2;0;1;126;15;0;0;0;14.094
330455:Rio de Janeiro - RJ;Total;1.011.435;2.876;7.261;397;192.243;288;18.908;2.571;4.930;9.488;43.492;44;0;6;1.478;2.905;26.349;2.241;0;1.326.912;716.241;5.723;4.468;78;177.068;274;12.115;3;3.324;13.034;36.460;81;0;0;800;1.701;38.084;2.927;0;1.012.381;1;0;0;1;1.727.677;8.599;11.729;475;369.311;562;31.023;2.574;8.254;22.522;79.952;125;0;6;2.278;4.606;64.433;5.168;0;2.339.294
;00:Até 0,50;4.757;3;48;0;113;16;67;0;76;3.765;1.698;3;0;0;0;34;3.168;1;0;13.749;4.544;19;30;0;151;0;81;0;30;5.129;1.440;4;0;0;0;26;4.751;6;0;16.211;0;0;0;0;9.301;22;78;0;264;16;148;0;106;8.894;3.138;7;0;0;0;60;7.919;7;0;29.960
;01:0,51 a 1,00;25.410;56;130;5;304;25;3.198;3;525;5.050;8.125;11;0;0;3;172;5.633;127;0;48.777;31.450;99;149;4;305;15;1.460;0;430;7.023;7.915;12;0;0;5;65;9.161;257;0;58.350;0;0;0;0;56.860;155;279;9;609;40;4.658;3;955;12.073;16.040;23;0;0;8;237;14.794;384;0;107.127
;02:1,01 a 1,50;256.069;954;2.295;112;4.279;28;1.230;5;1.711;146;14.758;14;0;6;1;670;8.839;1.325;0;292.442;253.925;3.016;2.190;48;4.608;30;682;0;1.325;258;13.092;46;0;0;1;455;11.150;596;0;291.422;0;0;0;0;509.994;3.970;4.485;160;8.887;58;1.912;5;3.036;404;27.850;60;0;6;2;1.125;19.989;1.921;0;583.864
;03:1,51 a 2,00;189.055;563;1.883;83;9.414;32;3.755;4;662;42;5.931;5;0;0;11;540;2.556;297;0;214.833;109.881;1.002;835;12;10.175;47;1.327;0;294;75;3.885;6;0;0;6;318;3.595;468;0;131.926;0;0;0;0;298.936;1.565;2.718;95;19.589;79;5.082;4;956;117;9.816;11;0;0;17;858;6.151;765;0;346.759
;04:2,01 a 3,00;185.790;380;1.531;19;18.320;36;2.811;8;573;60;4.498;4;0;0;3;550;988;276;0;215.847;92.956;458;517;5;33.555;83;1.721;0;262;81;3.349;6;0;0;3;296;1.613;945;0;135.850;0;0;0;0;278.746;838;2.048;24;51.875;119;4.532;8;835;141;7.847;10;0;0;6;846;2.601;1.221;0;351.697
;05:3,01 a 4,00;70.050;175;477;38;19.260;53;2.371;1;206;10;1.582;1;0;0;12;106;353;8;0;94.703;43.576;212;221;1;24.106;31;1.978;0;125;24;1.536;0;0;0;6;102;856;15;0;72.789;0;0;0;0;113.626;387;698;39;43.366;84;4.349;1;331;34;3.118;1;0;0;18;208;1.209;23;0;167.492
;06:4,01 a 5,00;36.202;130;162;5;11.546;15;948;3;209;7;966;0;0;0;9;81;59;71;0;50.413;24.388;91;80;0;17.387;13;851;0;126;20;891;0;0;0;2;85;95;341;0;44.370;0;0;0;0;60.590;221;242;5;28.933;28;1.799;3;335;27;1.857;0;0;0;11;166;154;412;0;94.783
;07:5,01 a 7,00;41.577;160;96;9;37.372;23;1.468;10;103;10;1.173;0;0;0;11;92;23;17;0;82.144;30.312;130;59;0;31.790;29;1.319;0;60;25;1.178;1;0;0;10;91;38;28;0;65.070;0;0;0;0;71.889;290;155;9;69.162;52;2.787;10;163;35;2.351;1;0;0;21;183;61;45;0;147.214
;08:7,01 a 10,00;35.335;91;49;0;38.088;19;1.521;14;89;11;834;1;0;0;18;105;193;119;0;76.487;24.421;101;35;0;23.812;13;1.503;0;68;1;664;0;0;0;8;58;231;271;0;51.186;0;0;0;0;59.756;192;84;0;61.900;32;3.024;14;157;12;1.498;1;0;0;26;163;424;390;0;127.673
;09:10,01 a 15,00;29.409;77;52;0;35.259;16;1.003;28;44;0;592;0;0;0;33;125;140;0;0;66.778;18.832;66;16;0;18.554;5;829;0;24;1;432;0;0;0;8;50;255;0;0;39.072;0;0;0;0;48.241;143;68;0;53.813;21;1.832;28;68;1;1.024;0;0;0;41;175;395;0;0;105.850
;10:15,01 a 20,00;16.029;22;29;0;9.232;7;263;33;13;0;218;0;0;0;85;73;10;0;0;26.014;8.834;17;6;0;7.391;2;152;0;5;1;177;0;0;0;67;26;20;0;0;16.698;0;0;0;0;24.863;39;35;0;16.623;9;415;33;18;1;395;0;0;0;152;99;30;0;0;42.712
;11:Mais de 20,00;30.145;41;36;0;8.402;4;116;806;14;0;264;0;0;0;246;116;5;0;0;40.195;14.662;24;4;0;5.022;1;59;0;12;0;124;0;0;0;170;44;12;0;0;20.134;0;0;0;0;44.807;65;40;0;13.424;5;175;806;26;0;388;0;0;0;416;160;17;0;0;60.329
;{ñ class};91.607;224;473;126;654;14;157;1.656;705;387;2.853;5;0;0;1.046;241;4.382;0;0;104.530;58.460;488;326;8;212;5;153;3;563;396;1.777;6;0;0;514;85;6.307;0;0;69.303;1;0;0;1;150.068;712;799;134;866;19;310;1.659;1.268;783;4.630;11;0;0;1.560;326;10.689;0;0;173.834
355030:São Paulo - SP;Total;2.320.288;4.364;2.340;363;259.346;46.803;6.373;82;38.826;18.425;118.469;59;0;4;2.222;7.811;632;1;0;2.826.408;1.976.001;8.871;1.934;68;318.179;82.556;6.184;7;35.295;23.199;105.783;190;0;0;979;4.215;575;0;0;2.564.036;1;0;1;2;4.296.290;13.235;4.274;431;577.525;129.359;12.557;89;74.121;41.624;224.253;249;0;4;3.201;12.026;1.207;1;0;5.390.446
;00:Até 0,50;5.868;58;7;0;2.290;363;65;0;1.096;2.852;3.370;1;0;0;1;44;0;0;0;16.015;6.948;262;4;1;6.552;776;185;0;1.709;2.952;3.397;15;0;0;1;63;0;0;0;22.865;0;0;0;0;12.816;320;11;1;8.842;1.139;250;0;2.805;5.804;6.767;16;0;0;2;107;0;0;0;38.880
;01:0,51 a 1,00;39.875;90;32;11;2.777;1.651;606;1;5.320;13.382;18.759;15;0;0;3;245;2;0;0;82.769;67.964;479;34;4;8.299;2.789;384;0;6.013;17.623;21.167;41;0;0;4;268;4;0;0;125.073;0;0;0;0;107.839;569;66;15;11.076;4.440;990;1;11.333;31.005;39.926;56;0;0;7;513;6;0;0;207.842
;02:1,01 a 1,50;365.502;746;400;173;3.771;3.451;464;0;12.254;1.000;38.759;24;0;2;3;1.547;281;0;0;428.377;492.679;3.472;547;39;9.980;8.009;183;0;12.948;1.201;39.080;99;0;0;1;1.551;276;0;0;570.065;0;0;0;0;858.181;4.218;947;212;13.751;11.460;647;0;25.202;2.201;77.839;123;0;2;4;3.098;557;0;0;998.442
;03:1,51 a 2,00;456.980;677;494;79;6.493;3.315;511;0;6.256;127;22.540;11;0;0;11;1.612;0;0;0;499.106;341.705;1.502;311;8;17.881;6.183;86;0;4.634;122;14.425;15;0;0;3;631;0;0;0;387.506;0;0;0;0;798.685;2.179;805;87;24.374;9.498;597;0;10.890;249;36.965;26;0;0;14;2.243;0;0;0;886.612
;04:2,01 a 3,00;468.698;759;434;55;20.626;7.534;407;0;3.446;227;13.506;1;0;2;5;935;161;0;0;516.796;314.306;1.034;312;3;39.143;13.037;67;0;1.920;413;10.059;11;0;0;2;509;115;0;0;380.931;0;0;0;0;783.004;1.793;746;58;59.769;20.571;474;0;5.366;640;23.565;12;0;2;7;1.444;276;0;0;897.727
;05:3,01 a 4,00;217.540;361;212;5;49.621;9.004;244;2;924;62;5.204;2;0;0;3;434;105;0;0;283.723;159.326;379;147;3;46.194;20.913;68;0;731;97;4.746;1;0;0;4;249;88;0;0;232.946;0;0;0;0;376.866;740;359;8;95.815;29.917;312;2;1.655;159;9.950;3;0;0;7;683;193;0;0;516.669
;06:4,01 a 5,00;117.907;209;126;2;43.307;6.686;249;1;398;31;2.805;2;0;0;10;190;57;0;0;171.980;99.704;224;77;0;41.884;13.334;482;0;394;47;2.586;1;0;0;13;158;57;0;0;158.961;0;0;0;0;217.611;433;203;2;85.191;20.020;731;1;792;78;5.391;3;0;0;23;348;114;0;0;330.941
;07:5,01 a 7,00;132.293;290;115;4;58.937;8.204;1.332;0;300;24;3.414;2;0;0;11;246;21;0;0;205.193;120.647;252;80;1;66.985;11.889;768;0;296;48;2.749;0;0;0;11;202;32;0;0;203.960;0;0;0;0;252.940;542;195;5;125.922;20.093;2.100;0;596;72;6.163;2;0;0;22;448;53;0;0;409.153
;08:7,01 a 10,00;114.860;245;66;0;32.850;2.800;867;10;210;26;2.574;0;0;0;17;235;2;0;0;154.762;97.449;188;116;1;47.219;2.725;1.644;0;204;20;1.992;0;0;0;17;126;1;0;0;151.702;0;0;0;0;212.309;433;182;1;80.069;5.525;2.511;10;414;46;4.566;0;0;0;34;361;3;0;0;306.464
;09:10,01 a 15,00;106.105;177;114;2;17.944;2.147;1.053;3;172;3;1.842;0;0;0;41;270;2;0;0;129.875;74.423;106;99;0;19.959;1.638;1.463;0;91;4;1.039;1;0;0;24;54;2;0;0;98.903;0;0;0;0;180.528;283;213;2;37.903;3.785;2.516;3;263;7;2.881;1;0;0;65;324;4;0;0;228.778
;10:15,01 a 20,00;49.475;82;47;1;11.234;967;459;1;57;0;609;0;0;0;88;87;1;1;0;63.109;32.178;54;42;0;8.194;446;538;0;81;1;360;0;0;0;52;22;0;0;0;41.968;0;0;0;0;81.653;136;89;1;19.428;1.413;997;1;138;1;969;0;0;0;140;109;1;1;0;105.077
;11:Mais de 20,00;86.388;168;65;0;9.289;330;41;23;51;2;949;1;0;0;369;64;0;0;0;97.740;56.918;76;27;0;5.684;211;44;0;53;1;402;0;0;0;189;33;0;0;0;63.638;0;0;0;0;143.306;244;92;0;14.973;541;85;23;104;3;1.351;1;0;0;558;97;0;0;0;161.378
;{ñ class};158.797;502;228;31;207;351;75;41;8.342;689;4.138;0;0;0;1.660;1.902;0;0;0;176.963;111.754;843;138;8;205;606;272;7;6.221;670;3.781;6;0;0;658;349;0;0;0;125.518;1;0;1;2;270.552;1.345;366;39;412;957;347;48;14.563;1.359;7.920;6;0;0;2.318;2.251;0;0;0;302.483
410690:Curitiba - PR;Total;355.217;800;571;51;67.657;1.086;3.039;26;8.172;3.821;31.895;39;1;3;552;3.620;184;129;140;477.003;305.403;2.701;525;20;96.781;3.038;2.662;0;6.120;4.766;26.565;110;0;0;282;6.554;385;931;2.138;458.981;0;0;0;0;660.620;3.501;1.096;71;164.438;4.124;5.701;26;14.292;8.587;58.460;149;1;3;834;10.174;569;1.060;2.278;935.984
;00:Até 0,50;965;1;3;0;13;6;7;0;244;158;913;0;1;0;0;8;0;0;0;2.319;1.353;2;1;0;18;6;21;0;166;197;1.172;3;0;0;0;15;2;8;0;2.964;0;0;0;0;2.318;3;4;0;31;12;28;0;410;355;2.085;3;1;0;0;23;2;8;0;5.283
;01:0,51 a 1,00;6.736;15;17;0;48;55;158;1;1.057;3.167;5.250;9;0;0;1;863;0;0;0;17.377;14.574;49;39;1;119;63;61;0;1.112;4.105;6.588;18;0;0;0;2.247;0;35;0;29.011;0;0;0;0;21.310;64;56;1;167;118;219;1;2.169;7.272;11.838;27;0;0;1;3.110;0;35;0;46.388
;02:1,01 a 1,50;57.807;193;123;16;163;25;86;0;3.015;350;10.331;13;0;2;0;1.382;2;32;28;73.568;93.615;698;314;8;125;77;29;0;2.802;310;10.745;61;0;0;2;3.450;13;171;134;112.554;0;0;0;0;151.422;891;437;24;288;102;115;0;5.817;660;21.076;74;0;2;2;4.832;15;203;162;186.122
;03:1,51 a 2,00;70.951;170;197;21;407;157;348;0;1.832;40;5.537;8;0;1;1;229;11;5;51;79.966;61.815;963;56;7;1.113;802;120;0;1.039;14;3.251;22;0;0;0;208;65;102;747;70.324;0;0;0;0;132.766;1.133;253;28;1.520;959;468;0;2.871;54;8.788;30;0;1;1;437;76;107;798;150.290
;04:2,01 a 3,00;81.397;155;119;13;6.333;221;353;1;824;10;5.836;7;0;0;2;659;39;36;38;96.043;48.569;461;64;3;12.138;665;176;0;288;11;2.152;4;0;0;1;320;113;245;334;65.544;0;0;0;0;129.966;616;183;16;18.471;886;529;1;1.112;21;7.988;11;0;0;3;979;152;281;372;161.587
