;;Sexo Trabalhador;Tipo Vínculo
Capital; Faixa Remun Média (SM); 01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;09:Ignorado;09:Ignorado;09:Ignorado;09:Ignorado;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;10:CLT U/ PJ Ind;15:CLT U/ PF Ind;20:CLT R/ PJ Ind;25:CLT R/ PF Ind;30:Estatutário;31:Estatutário RGPS;35:Estatutário não Efetivo;40:Avulso;50:Temporário;55:Aprendiz;60:CLT U/ PJ Determinado;65:CLT U/ PF Determinado;70:CLT R/ PJ Determinado;75:CLT R/ PF Determinado;80:Diretor;90:Contrat Prazo Determinado;95:Contrat TMP Determinado;96:Contrat Lei Estadual;97:Contrat Lei Municipal;Total;10:CLT U/ PJ Ind;15:CLT U/ PF Ind;20:CLT R/ PJ Ind;25:CLT R/ PF Ind;30:Estatutário;31:Estatutário RGPS;35:Estatutário não Efetivo;40:Avulso;50:Temporário;55:Aprendiz;60:CLT U/ PJ Determinado;65:CLT U/ PF Determinado;70:CLT R/ PJ Determinado;75:CLT R/ PF Determinado;80:Diretor;90:Contrat Prazo Determinado;95:Contrat TMP Determinado;96:Contrat Lei Estadual;97:Contrat Lei Municipal;Total;10:CLT U/ PJ Ind;55:Aprendiz;60:CLT U/ PJ Determinado;Total;10:CLT U/ PJ Ind;15:CLT U/ PF Ind;20:CLT R/ PJ Ind;25:CLT R/ PF Ind;30:Estatutário;31:Estatutário RGPS;35:Estatutário não Efetivo;40:Avulso;50:Temporário;55:Aprendiz;60:CLT U/ PJ Determinado;65:CLT U/ PF Determinado;70:CLT R/ PJ Determinado;75:CLT R/ PF Determinado;80:Diretor;90:Contrat Prazo Determinado;95:Contrat TMP Determinado;96:Contrat Lei Estadual;97:Contrat Lei Municipal;Total
140010:Boa Vista - RR;Total;31.937;383;147;135;6.828;405;2.531;24;0;563;3.018;43;0;2;36;21;39;0;297;46.409;23.839;178;56;48;9.801;735;2.890;0;0;470;2.191;18;0;0;17;15;59;0;1.083;41.400;0;0;0;0;55.776;561;203;183;16.629;1.140;5.421;24;0;1.033;5.209;61;0;2;53;36;98;0;1.380;87.809
;00:Até 0,50;84;1;1;0;5;0;1;0;0;215;190;3;0;0;0;0;0;0;0;500;93;0;2;0;7;0;2;0;0;236;126;0;0;0;0;0;0;0;3;469;0;0;0;0;177;1;3;0;12;0;3;0;0;451;316;3;0;0;0;0;0;0;3;969
;01:0,51 a 1,00;2.137;80;9;15;60;1;409;0;0;325;877;5;0;0;0;0;0;0;5;3.923;2.294;36;12;10;32;3;498;0;0;216;815;1;0;0;0;3;0;0;15;3.935;0;0;0;0;4.431;116;21;25;92;4;907;0;0;541;1.692;6;0;0;0;3;0;0;20;7.858
;02:1,01 a 1,50;13.961;171;43;76;630;28;692;0;0;2;1.249;17;0;2;5;6;0;0;233;17.115;12.457;87;25;24;1.170;34;788;0;0;4;899;11;0;0;0;3;0;0;679;16.181;0;0;0;0;26.418;258;68;100;1.800;62;1.480;0;0;6;2.148;28;0;2;5;9;0;0;912;33.296
;03:1,51 a 2,00;5.718;67;41;15;450;24;349;0;0;2;281;6;0;0;0;3;0;0;22;6.978;2.330;27;10;9;807;134;404;0;0;2;132;1;0;0;0;5;0;0;201;4.062;0;0;0;0;8.048;94;51;24;1.257;158;753;0;0;4;413;7;0;0;0;8;0;0;223;11.040
;04:2,01 a 3,00;3.413;28;42;16;837;69;446;0;0;0;136;1;0;0;0;3;32;0;33;5.056;2.041;4;2;3;1.768;96;399;0;0;0;66;0;0;0;0;2;53;0;156;4.590;0;0;0;0;5.454;32;44;19;2.605;165;845;0;0;0;202;1;0;0;0;5;85;0;189;9.646
;05:3,01 a 4,00;1.451;12;2;4;863;54;193;0;0;0;36;1;0;0;1;1;2;0;4;2.624;1.093;2;1;1;2.079;81;235;0;0;1;11;1;0;0;0;0;3;0;25;3.533;0;0;0;0;2.544;14;3;5;2.942;135;428;0;0;1;47;2;0;0;1;1;5;0;29;6.157
;06:4,01 a 5,00;765;5;4;1;817;63;154;0;0;0;14;0;0;0;0;1;1;0;0;1.825;408;0;2;0;1.205;129;199;0;0;1;11;2;0;0;0;0;1;0;2;1.960;0;0;0;0;1.173;5;6;1;2.022;192;353;0;0;1;25;2;0;0;0;1;2;0;2;3.785
;07:5,01 a 7,00;588;6;1;1;761;57;109;0;0;1;12;0;0;0;0;0;0;0;0;1.536;362;8;0;1;852;80;145;0;0;1;6;0;0;0;0;0;1;0;0;1.456;0;0;0;0;950;14;1;2;1.613;137;254;0;0;2;18;0;0;0;0;0;1;0;0;2.992
;08:7,01 a 10,00;473;0;0;0;816;57;94;0;0;0;3;0;0;0;0;0;4;0;0;1.447;237;2;0;0;759;119;121;0;0;0;2;1;0;0;0;0;1;0;0;1.242;0;0;0;0;710;2;0;0;1.575;176;215;0;0;0;5;1;0;0;0;0;5;0;0;2.689
