Capital; Faixa Remun Média (SM); 01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;{ñ class};Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;{ñ class};Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;{ñ class};Total
110020:Porto Velho - RO;Total;57;500;323;48;4;49;564;252;91;89;46;0;1.587;1.686;5.911;9.076;2.747;566;6.929;3.399;3.233;568;2.419;30.974;766;0;71.884;10;51;29;4;0;5;94;132;44;26;158;0;646;438;634;6.783;1.083;569;1.826;835;4.099;1.799;2.629;36.376;225;0;58.495;67;551;352;52;4;54;658;384;135;115;204;0;2.233;2.124;6.545;15.859;3.830;1.135;8.755;4.234;7.332;2.367;5.048;67.350;991;0;130.379
;04:2,01 a 3,00;62;413;459;202;287;40;118;452;133;433;43;15;1.088;1.040;5.487;4.782;2.322;337;5.567;4.083;2.640;1.477;1.491;12.239;334;0;45.544;23;35;40;62;66;5;30;238;33;92;81;5;212;128;527;2.779;876;517;2.547;820;1.721;3.231;2.720;18.694;67;0;35.549;85;448;499;264;353;45;148;690;166;525;124;20;1.300;1.168;6.014;7.561;3.198;854;8.114;4.903;4.361;4.708;4.211;30.933;401;0;81.093
;05:3,01 a 4,00;29;158;225;111;170;19;22;224;15;156;23;3;437;779;1.439;1.868;857;658;2.061;2.506;1.059;666;1.055;16.861;105;0;31.506;24;38;20;15;32;2;10;125;17;71;26;0;127;118;282;1.059;414;765;1.143;375;888;1.483;1.877;12.890;46;0;21.847;53;196;245;126;202;21;32;349;32;227;49;3;564;897;1.721;2.927;1.271;1.423;3.204;2.881;1.947;2.149;2.932;29.751;151;0;53.353
;06:4,01 a 5,00;15;80;139;66;118;3;19;103;23;100;8;1;171;531;665;859;496;506;1.069;736;518;268;1.017;6.269;43;0;13.823;16;15;15;14;17;0;4;88;11;29;9;0;68;122;175;537;222;550;623;220;407;743;1.522;7.310;34;0;12.751;31;95;154;80;135;3;23;191;34;129;17;1;239;653;840;1.396;718;1.056;1.692;956;925;1.011;2.539;13.579;77;0;26.574
;07:5,01 a 7,00;43;101;122;91;115;7;10;159;42;87;4;1;149;676;631;679;530;750;1.291;950;521;244;1.549;10.537;142;0;19.431;37;33;14;13;20;2;9;71;9;53;15;0;59;209;216;444;202;756;867;280;472;588;2.081;8.172;92;0;14.714;80;134;136;104;135;9;19;230;51;140;19;1;208;885;847;1.123;732;1.506;2.158;1.230;993;832;3.630;18.709;234;0;34.145
;08:7,01 a 10,00;33;45;86;61;69;7;8;137;20;86;8;0;118;763;590;454;555;707;994;778;401;197;1.349;6.366;47;0;13.879;20;14;20;9;17;3;10;93;6;35;8;0;34;358;374;239;102;719;602;235;299;336;1.554;5.088;23;0;10.198;53;59;106;70;86;10;18;230;26;121;16;0;152;1.121;964;693;657;1.426;1.596;1.013;700;533;2.903;11.454;70;0;24.077
;09:10,01 a 15,00;45;41;69;48;51;26;2;92;17;90;1;0;80;753;396;311;510;907;779;482;183;94;860;3.500;54;0;9.391;28;15;15;4;5;4;3;71;2;35;2;0;20;302;295;132;59;664;366;139;149;146;869;2.133;11;0;5.469;73;56;84;52;56;30;5;163;19;125;3;0;100;1.055;691;443;569;1.571;1.145;621;332;240;1.729;5.633;65;0;14.860
;10:15,01 a 20,00;37;17;24;12;13;22;3;43;3;54;3;0;26;305;192;118;214;369;236;200;72;33;947;1.734;22;0;4.699;21;6;1;1;2;1;2;21;0;11;0;0;4;111;133;48;27;227;95;55;46;24;866;846;6;0;2.554;58;23;25;13;15;23;5;64;3;65;3;0;30;416;325;166;241;596;331;255;118;57;1.813;2.580;28;0;7.253
;11:Mais de 20,00;77;35;32;13;27;20;0;31;15;69;1;0;55;562;421;125;214;477;275;145;59;17;270;3.674;15;0;6.629;19;4;2;0;4;0;2;12;0;8;0;0;3;86;196;21;23;135;104;29;18;9;167;2.436;1;0;3.279;96;39;34;13;31;20;2;43;15;77;1;0;58;648;617;146;237;612;379;174;77;26;437;6.110;16;0;9.908
;{ñ class};2;35;19;13;10;0;6;22;7;45;1;1;111;89;364;313;100;29;359;362;1.978;65;158;237;14;0;4.340;0;8;3;0;6;0;2;10;10;3;24;0;43;1;6;175;27;23;247;57;159;204;97;467;2;0;1.574;2;43;22;13;16;0;8;32;17;48;25;1;154;90;370;488;127;52;606;419;2.137;269;255;704;16;0;5.914
270430:Maceió - AL;Total;162;254;459;727;21;111;423;670;147;1.254;248;20;8.097;3.141;11.010;19.667;4.214;1.471;11.239;6.447;12.982;2.531;6.012;30.453;695;0;122.455;23;21;68;58;1;15;71;273;52;392;386;5;1.312;492;554;13.039;1.429;1.731;3.217;1.388;10.410;6.030;8.660;31.925;105;0;81.657;185;275;527;785;22;126;494;943;199;1.646;634;25;9.409;3.633;11.564;32.706;5.643;3.202;14.456;7.835;23.392;8.561;14.672;62.378;800;0;204.112
;00:Até 0,50;1;0;0;0;0;0;0;0;0;1;0;0;104;43;3;39;4;1;16;5;166;1;104;25;3;0;516;0;0;0;0;0;0;0;0;0;0;0;0;3;14;0;30;8;1;12;8;20;5;73;11;0;0;185;1;0;0;0;0;0;0;0;0;1;0;0;107;57;3;69;12;2;28;13;186;6;177;36;3;0;701
;01:0,51 a 1,00;3;5;24;34;0;6;29;95;14;32;17;0;1.355;51;299;713;74;13;375;169;1.095;44;384;291;94;0;5.216;1;1;3;1;0;3;5;27;3;14;64;0;167;28;32;479;41;31;321;78;1.057;99;504;277;13;0;3.249;4;6;27;35;0;9;34;122;17;46;81;0;1.522;79;331;1.192;115;44;696;247;2.152;143;888;568;107;0;8.465
;02:1,01 a 1,50;67;195;123;155;4;42;302;232;77;541;183;20;3.769;830;5.137;13.021;2.324;151;6.273;1.801;7.397;815;1.111;4.535;449;0;49.554;8;7;41;31;0;6;47;127;43;223;296;5;780;47;188;9.511;869;371;1.867;567;6.820;2.220;1.912;6.379;66;0;32.431;75;202;164;186;4;48;349;359;120;764;479;25;4.549;877;5.325;22.532;3.193;522;8.140;2.368;14.217;3.035;3.023;10.914;515;0;81.985
;03:1,51 a 2,00;20;34;156;134;4;38;56;149;22;183;29;0;1.148;336;3.064;2.884;663;103;2.862;1.144;1.720;855;533;2.038;81;0;18.256;3;6;14;10;1;4;12;35;1;28;8;0;100;12;124;1.461;209;161;379;250;1.005;1.995;718;3.169;8;0;9.713;23;40;170;144;5;42;68;184;23;211;37;0;1.248;348;3.188;4.345;872;264;3.241;1.394;2.725;2.850;1.251;5.207;89;0;27.969
;04:2,01 a 3,00;16;13;98;234;5;14;26;69;18;113;8;0;800;411;1.386;1.560;495;87;937;1.990;1.121;414;870;4.255;49;0;14.989;3;4;5;8;0;2;4;23;4;22;11;0;105;62;89;827;143;133;298;173;755;833;1.730;7.231;6;0;12.471;19;17;103;242;5;16;30;92;22;135;19;0;905;473;1.475;2.387;638;220;1.235;2.163;1.876;1.247;2.600;11.486;55;0;27.460
;05:3,01 a 4,00;7;3;35;86;4;6;3;37;4;40;7;0;236;330;383;617;241;177;268;379;388;143;477;3.241;11;0;7.123;3;3;3;5;0;0;0;12;1;21;2;0;46;39;39;309;71;205;122;95;274;291;615;3.267;3;0;5.426;10;6;38;91;4;6;3;49;5;61;9;0;282;369;422;926;312;382;390;474;662;434;1.092;6.508;14;0;12.549
;06:4,01 a 5,00;3;3;10;24;1;2;2;17;4;14;2;0;105;215;151;249;122;104;116;181;217;68;365;5.296;2;0;7.273;0;0;0;0;0;0;0;8;0;12;1;0;18;73;30;137;26;152;84;43;116;127;484;2.636;4;0;3.951;3;3;10;24;1;2;2;25;4;26;3;0;123;288;181;386;148;256;200;224;333;195;849;7.932;6;0;11.224
;07:5,01 a 7,00;4;0;5;23;1;0;2;40;6;40;1;0;119;327;140;209;95;188;123;237;272;67;676;4.567;1;0;7.143;3;0;2;2;0;0;1;33;0;26;1;0;24;95;25;97;21;211;57;60;157;174;1.004;3.371;1;0;5.365;7;0;7;25;1;0;3;73;6;66;2;0;143;422;165;306;116;399;180;297;429;241;1.680;7.938;2;0;12.508
;08:7,01 a 10,00;7;0;2;15;1;1;1;19;0;50;0;0;80;238;122;106;75;196;76;154;152;41;548;2.749;4;0;4.637;0;0;0;1;0;0;1;6;0;18;0;0;12;62;17;33;17;229;25;42;81;75;744;3.954;2;0;5.319;7;0;2;16;1;1;2;25;0;68;0;0;92;300;139;139;92;425;101;196;233;116;1.292;6.703;6;0;9.956
;09:10,01 a 15,00;12;0;1;10;1;0;1;6;1;124;0;0;80;174;30;61;42;262;39;74;55;15;441;1.172;0;0;2.601;1;0;0;0;0;0;0;0;0;17;0;0;11;38;6;20;8;163;22;24;28;5;504;716;0;0;1.563;13;0;1;10;1;0;1;6;1;141;0;0;91;212;36;81;50;425;61;98;83;20;945;1.888;0;0;4.164
;10:15,01 a 20,00;6;0;1;1;0;0;0;1;0;60;0;0;33;70;8;15;18;102;8;31;21;14;268;660;0;0;1.317;0;0;0;0;0;0;0;1;0;3;0;0;10;15;0;5;2;48;3;4;10;4;215;240;0;0;560;6;0;1;1;0;0;0;2;0;63;0;0;43;85;8;20;20;150;11;35;31;18;483;900;0;0;1.877
;11:Mais de 20,00;10;0;0;2;0;0;0;0;0;49;0;0;58;73;9;20;19;74;6;28;11;2;180;1.552;0;0;2.093;0;0;0;0;0;0;0;0;0;5;0;0;14;5;0;1;4;15;1;6;4;0;100;597;0;0;752;10;0;0;2;0;0;0;0;0;54;0;0;72;78;9;21;23;89;7;34;15;2;280;2.149;0;0;2.845
;{ñ class};6;1;4;9;0;2;1;5;1;7;1;0;210;43;278;173;42;13;140;254;367;52;55;72;1;0;1.737;1;0;0;0;0;0;1;1;0;3;3;0;22;2;4;129;10;11;26;38;83;202;57;77;2;0;672;7;1;4;9;0;2;2;6;1;10;4;0;232;45;282;302;52;24;166;292;450;254;112;149;3;0;2.409
280030:Aracaju - SE;Total;1.589;701;622;782;93;49;455;723;85;518;1.324;9;1.596;2.354;14.255;14.965;3.386;1.404;13.275;6.309;7.876;2.989;3.775;26.537;1.513;0;107.184;222;160;91;241;28;4;61;318;27;176;1.397;6;1.175;636;1.229;11.655;1.105;1.540;3.774;1.048;7.542;7.030;5.299;31.825;356;0;76.945;1.811;861;713;1.023;121;53;516;1.041;112;694;2.721;15;2.771;2.990;15.484;26.620;4.491;2.944;17.049;7.357;15.418;10.019;9.074;58.362;1.869;0;184.129
;00:Até 0,50;2;0;0;17;0;0;1;1;0;6;8;0;5;5;42;60;5;6;26;16;161;3;134;239;3;0;740;0;1;0;20;0;0;0;0;1;2;12;0;0;0;39;68;4;9;37;17;77;14;153;282;2;0;738;2;1;0;37;0;0;1;1;1;8;20;0;5;5;81;128;9;15;63;33;238;17;287;521;5;0;1.478
;01:0,51 a 1,00;17;48;41;120;5;5;25;76;8;41;42;3;151;12;1.721;704;100;23;704;201;1.095;117;515;831;256;0;6.861;6;9;8;23;4;0;10;51;6;15;101;0;165;6;125;491;56;40;530;111;1.293;379;845;1.481;33;0;5.788;23;57;49;143;9;5;35;127;14;56;143;3;316;18;1.846;1.195;156;63;1.234;312;2.388;496;1.360;2.312;289;0;12.649
;02:1,01 a 1,50;20;358;310;476;60;15;309;260;47;235;650;5;924;219;6.145;9.776;1.779;124;7.405;2.330;3.710;1.362;851;2.189;560;0;40.119;9;104;67;179;18;4;27;130;17;106;1.103;4;827;59;488;8.174;737;265;2.161;400;3.832;4.488;1.654;3.091;56;0;28.000;29;462;377;655;78;19;336;390;64;341;1.753;9;1.751;278;6.633;17.950;2.516;389;9.566;2.730;7.542;5.850;2.505;5.280;616;0;68.119
;03:1,51 a 2,00;34;157;114;41;18;17;58;115;10;114;301;0;250;200;3.745;2.353;699;66;2.683;976;1.110;366;361;2.255;90;0;16.133;5;20;7;7;4;0;12;31;2;29;107;0;97;119;109;1.531;129;161;355;103;732;947;489;3.533;13;0;8.542;39;177;121;48;22;17;70;146;12;143;408;0;347;319;3.854;3.884;828;227;3.038;1.079;1.842;1.313;850;5.788;103;0;24.675
;04:2,01 a 3,00;67;70;75;47;9;10;35;121;10;48;194;1;122;505;978;1.178;415;109;1.254;1.704;724;251;419;4.015;135;0;12.496;4;10;8;4;1;0;8;56;1;14;42;0;32;150;111;775;102;105;266;157;575;374;601;6.693;32;0;10.121;71;80;83;51;10;10;43;177;11;62;236;1;154;655;1.089;1.953;517;214;1.520;1.861;1.299;625;1.020;10.708;167;0;22.617
;05:3,01 a 4,00;55;27;16;17;1;0;13;49;1;34;47;0;62;202;359;395;158;139;426;289;332;157;304;4.193;62;0;7.338;2;4;1;3;1;0;2;23;0;5;15;0;23;69;75;281;33;136;120;69;338;186;447;4.541;29;0;6.403;57;31;17;20;2;0;15;72;1;39;62;0;85;271;434;676;191;275;546;358;670;343;751;8.734;91;0;13.741
;06:4,01 a 5,00;26;8;30;16;0;2;3;26;0;14;25;0;17;135;262;169;68;120;245;99;155;77;239;4.597;47;0;6.380;2;2;0;2;0;0;2;10;0;2;2;1;6;24;63;106;23;142;73;44;224;163;317;3.337;45;0;4.590;28;10;30;18;0;2;5;36;0;16;27;1;23;159;325;275;91;262;318;143;379;240;556;7.934;92;0;10.970
;07:5,01 a 7,00;103;13;20;21;0;0;5;44;5;7;20;0;19;294;303;125;90;200;163;195;161;519;334;3.416;83;0;6.140;18;0;0;0;0;0;0;7;0;1;8;0;11;60;64;111;10;213;79;57;170;335;304;3.823;37;0;5.308;121;13;20;21;0;0;5;51;5;8;28;0;30;354;367;236;100;413;242;252;331;854;638;7.239;120;0;11.448
;08:7,01 a 10,00;123;7;5;14;0;0;1;17;4;7;13;0;12;309;238;69;34;230;138;121;183;67;267;1.612;94;0;3.565;23;3;0;2;0;0;0;4;0;0;0;1;3;54;76;32;2;202;61;47;178;63;223;2.493;58;0;3.525;146;10;5;16;0;0;1;21;4;7;13;1;15;363;314;101;36;432;199;168;361;130;490;4.105;152;0;7.090
;09:10,01 a 15,00;188;4;2;4;0;0;0;6;0;7;9;0;6;275;142;46;10;241;92;75;39;42;177;1.032;99;0;2.496;39;1;0;0;0;0;0;4;0;0;1;0;0;44;36;13;3;194;42;26;41;45;153;1.217;28;0;1.887;227;5;2;4;0;0;0;10;0;7;10;0;6;319;178;59;13;435;134;101;80;87;330;2.249;127;0;4.383
;10:15,01 a 20,00;291;3;1;2;0;0;0;3;0;1;3;0;7;74;58;18;8;87;48;32;15;12;64;565;42;0;1.334;51;1;0;0;0;0;0;0;0;0;0;0;2;15;21;4;0;58;18;3;6;6;41;365;11;0;602;342;4;1;2;0;0;0;3;0;1;3;0;9;89;79;22;8;145;66;35;21;18;105;930;53;0;1.936
;11:Mais de 20,00;662;2;0;4;0;0;0;3;0;0;9;0;4;101;64;9;6;54;34;27;19;7;22;1.546;35;0;2.608;63;1;0;0;0;0;0;0;0;0;0;0;0;30;15;1;0;12;10;1;6;0;4;934;11;0;1.088;725;3;0;4;0;0;0;3;0;0;9;0;4;131;79;10;6;66;44;28;25;7;26;2.480;46;0;3.696
;{ñ class};1;4;8;3;0;0;5;2;0;4;3;0;17;23;198;63;14;5;57;244;172;9;88;47;7;0;974;0;4;0;1;0;0;0;2;0;2;6;0;9;6;7;68;6;3;22;13;70;30;68;35;1;0;353;1;8;8;4;0;0;5;4;0;6;9;0;26;29;205;131;20;8;79;257;242;39;156;82;8;0;1.327
292740:Salvador - BA;Total;2.735;1.080;1.643;877;447;249;1.309;1.921;418;2.170;1.400;30;5.265;7.232;44.431;55.886;11.957;5.584;63.915;35.366;34.938;11.976;13.092;94.068;1.157;1;399.147;736;139;521;224;79;33;308;1.196;155;828;3.470;18;2.821;2.084;4.396;42.037;6.061;6.585;35.870;7.097;37.859;25.614;19.964;122.577;173;1;320.846;3.471;1.219;2.164;1.101;526;282;1.617;3.117;573;2.998;4.870;48;8.086;9.316;48.827;97.923;18.018;12.169;99.785;42.463;72.797;37.590;33.056;216.645;1.330;2;719.993
;00:Até 0,50;2;0;1;0;0;0;2;3;3;11;3;0;2;6;32;242;23;9;285;78;265;17;137;71;3;0;1.195;0;0;0;0;0;0;0;5;0;1;8;0;7;3;13;293;26;8;119;55;210;16;163;77;0;0;1.004;2;0;1;0;0;0;2;8;3;12;11;0;9;9;45;535;49;17;404;133;475;33;300;148;3;0;2.199
;01:0,51 a 1,00;10;22;28;25;7;1;101;67;46;70;87;0;167;104;1.029;2.997;391;41;1.892;675;2.129;170;829;616;388;0;11.892;0;4;6;5;2;1;42;100;21;44;258;3;140;116;96;2.491;261;91;3.096;229;2.369;245;1.567;1.123;32;0;12.342;10;26;34;30;9;2;143;167;67;114;345;3;307;220;1.125;5.488;652;132;4.988;904;4.498;415;2.396;1.739;420;0;24.234
;02:1,01 a 1,50;81;449;483;154;146;72;508;529;198;835;831;17;2.439;1.374;14.170;32.542;5.063;365;29.526;6.917;18.717;3.523;3.123;8.725;564;1;131.352;21;53;175;52;28;18;124;400;86;433;2.706;10;1.593;366;1.169;26.619;2.794;832;16.142;2.054;21.426;7.141;5.795;13.016;82;1;103.136;102;502;658;206;174;90;632;929;284;1.268;3.537;27;4.032;1.740;15.339;59.161;7.857;1.197;45.668;8.971;40.143;10.664;8.918;21.741;646;2;234.488
;03:1,51 a 2,00;67;260;480;122;111;64;252;317;50;377;227;6;1.129;838;10.463;9.330;1.972;259;14.009;7.612;5.400;2.689;1.558;6.821;106;0;64.519;13;19;209;53;21;3;29;106;23;106;192;2;476;63;571;5.902;877;500;5.465;1.499;3.927;5.426;2.211;11.202;20;0;38.915;80;279;689;175;132;67;281;423;73;483;419;8;1.605;901;11.034;15.232;2.849;759;19.474;9.111;9.327;8.115;3.769;18.023;126;0;103.434
;04:2,01 a 3,00;95;170;404;167;79;66;153;281;64;337;125;5;688;764;8.797;5.396;1.823;319;8.278;8.725;3.517;2.040;1.818;11.278;44;0;55.433;12;23;93;58;7;8;45;160;16;76;128;1;256;145;690;3.482;879;464;4.688;1.223;3.512;4.692;2.724;21.254;20;0;44.656;107;193;497;225;86;74;198;441;80;413;253;6;944;909;9.487;8.878;2.702;783;12.966;9.948;7.029;6.732;4.542;32.532;64;0;100.089
;05:3,01 a 4,00;67;86;98;143;33;22;84;178;20;176;40;1;353;523;3.438;2.010;770;668;3.399;5.364;1.562;1.021;1.213;7.794;12;0;29.075;6;11;19;18;8;0;17;86;2;46;43;1;116;128;376;1.130;416;787;2.240;483;1.844;2.238;1.735;14.598;3;0;26.351;73;97;117;161;41;22;101;264;22;222;83;2;469;651;3.814;3.140;1.186;1.455;5.639;5.847;3.406;3.259;2.948;22.392;15;0;55.426
;06:4,01 a 5,00;35;30;38;72;11;7;76;121;5;80;21;0;122;828;1.481;1.041;503;481;1.612;1.309;752;635;863;23.579;8;0;33.710;5;5;9;11;6;1;13;52;0;30;16;1;75;249;221;663;245;601;1.090;282;774;1.209;1.283;17.426;6;0;24.273;40;35;47;83;17;8;89;173;5;110;37;1;197;1.077;1.702;1.704;748;1.082;2.702;1.591;1.526;1.844;2.146;41.005;14;0;57.983
;07:5,01 a 7,00;147;25;36;86;15;2;36;153;11;75;11;1;127;1.053;1.560;821;512;808;1.469;1.228;788;546;1.164;16.150;4;0;26.828;51;11;3;9;5;0;15;101;2;29;15;0;45;370;423;538;260;1.020;1.007;436;1.280;1.590;1.709;23.077;2;0;31.998;198;36;39;95;20;2;51;254;13;104;26;1;172;1.423;1.983;1.359;772;1.828;2.476;1.664;2.068;2.136;2.873;39.227;6;0;58.826
;08:7,01 a 10,00;150;10;21;45;5;0;38;129;17;44;7;0;87;677;1.068;492;278;930;1.332;837;753;595;998;6.537;12;0;15.062;39;7;5;9;1;1;10;80;2;20;11;0;26;278;406;275;98;953;733;318;1.308;1.521;1.274;10.088;1;0;17.464;189;17;26;54;6;1;48;209;19;64;18;0;113;955;1.474;767;376;1.883;2.065;1.155;2.061;2.116;2.272;16.625;13;0;32.526
;09:10,01 a 15,00;294;6;15;25;10;3;29;57;0;33;8;0;32;466;802;252;202;837;851;535;367;303;675;5.038;9;0;10.849;154;4;1;2;0;0;6;61;1;8;3;0;19;202;297;112;79;815;498;170;523;697;788;4.246;5;0;8.691;448;10;16;27;10;3;35;118;1;41;11;0;51;668;1.099;364;281;1.652;1.349;705;890;1.000;1.463;9.284;14;0;19.540
;10:15,01 a 20,00;626;2;7;11;10;3;4;31;0;18;0;0;11;226;271;84;95;384;370;195;152;194;259;2.818;1;0;5.772;217;0;0;1;1;0;0;15;0;4;0;0;4;83;73;42;24;273;143;67;128;244;250;2.220;0;0;3.789;843;2;7;12;11;3;4;46;0;22;0;0;15;309;344;126;119;657;513;262;280;438;509;5.038;1;0;9.561
;11:Mais de 20,00;1.156;2;11;15;9;5;6;30;2;34;3;0;23;284;370;122;149;451;295;163;141;126;177;4.057;1;0;7.632;217;0;1;0;0;0;3;7;1;6;0;0;3;57;28;27;19;154;49;44;76;192;113;3.303;2;0;4.302;1.373;2;12;15;9;5;9;37;3;40;3;0;26;341;398;149;168;605;344;207;217;318;290;7.360;3;0;11.934
;{ñ class};5;18;21;12;11;4;20;25;2;80;37;0;85;89;950;557;176;32;597;1.728;395;117;278;584;5;0;5.828;1;2;0;6;0;1;4;23;1;25;90;0;61;24;33;463;83;87;600;237;482;403;352;947;0;0;3.925;6;20;21;18;11;5;24;48;3;105;127;0;146;113;983;1.020;259;119;1.197;1.965;877;520;630;1.531;5;0;9.753
310620:Belo Horizonte - MG;Total;1.298;1.695;12.616;3.871;1.495;2.783;2.467;5.169;2.670;3.610;2.947;639;8.783;20.537;105.375;75.533;16.987;12.512;116.162;46.664;61.327;12.487;14.730;140.223;2.897;0;675.477;397;331;1.813;972;522;226;425;3.183;1.782;2.178;6.969;652;9.534;3.357;9.310;64.651;9.427;13.040;87.455;10.480;77.274;34.915;22.674;227.169;1.103;0;589.839;1.695;2.026;14.429;4.843;2.017;3.009;2.892;8.352;4.452;5.788;9.916;1.291;18.317;23.894;114.685;140.184;26.414;25.552;203.617;57.144;138.601;47.402;37.404;367.392;4.000;0;1.265.316
;00:Até 0,50;2;1;22;4;4;3;4;18;7;12;17;2;24;26;369;457;69;8;253;68;342;26;223;212;4;0;2.177;3;0;4;4;1;3;1;16;5;5;8;5;30;4;215;394;40;3;1.054;61;1.067;62;351;512;9;0;3.857;5;1;26;8;5;6;5;34;12;17;25;7;54;30;584;851;109;11;1.307;129;1.409;88;574;724;13;0;6.034
;01:0,51 a 1,00;9;46;72;36;13;9;61;68;85;57;60;18;163;55;3.061;1.562;263;55;3.720;729;5.286;166;532;761;306;0;17.193;3;17;21;3;5;1;18;98;83;45;131;19;262;8;563;1.687;235;89;9.748;377;8.815;454;1.079;2.616;119;0;26.496;12;63;93;39;18;10;79;166;168;102;191;37;425;63;3.624;3.249;498;144;13.468;1.106;14.101;620;1.611;3.377;425;0;43.689
;02:1,01 a 1,50;85;776;2.050;736;515;305;927;1.146;943;1.424;1.427;354;4.308;511;32.824;39.493;6.115;809;32.874;9.207;23.446;1.831;1.947;7.377;1.241;0;172.671;19;151;396;224;262;76;176;987;980;1.306;4.617;488;7.077;174;3.305;41.760;4.682;2.742;41.739;2.932;41.199;8.169;4.969;36.866;642;0;205.938;104;927;2.446;960;777;381;1.103;2.133;1.923;2.730;6.044;842;11.385;685;36.129;81.253;10.797;3.551;74.613;12.139;64.645;10.000;6.916;44.243;1.883;0;378.609
;03:1,51 a 2,00;57;308;1.502;657;356;234;830;771;480;765;599;166;1.676;734;26.251;14.240;3.421;935;23.119;7.950;16.203;2.008;2.017;7.254;627;0;113.160;13;43;197;225;109;39;99;548;274;302;1.005;71;852;88;1.290;8.683;1.536;692;11.783;2.397;10.317;6.285;2.598;17.492;125;0;67.063;70;351;1.699;882;465;273;929;1.319;754;1.067;1.604;237;2.528;822;27.541;22.923;4.957;1.627;34.902;10.347;26.520;8.293;4.615;24.746;752;0;180.223
;04:2,01 a 3,00;129;272;1.586;780;272;1.281;433;1.194;434;547;384;53;1.089;2.098;20.847;9.339;2.906;1.147;29.507;10.107;7.327;3.717;1.790;17.075;373;0;114.687;29;53;171;213;74;28;63;567;206;207;634;33;537;301;1.339;6.025;1.331;1.120;8.828;1.660;6.414;10.465;2.868;61.034;90;0;104.290;158;325;1.757;993;346;1.309;496;1.761;640;754;1.018;86;1.626;2.399;22.186;15.364;4.237;2.267;38.335;11.767;13.741;14.182;4.658;78.109;463;0;218.977
;05:3,01 a 4,00;109;110;1.272;472;134;280;91;641;239;194;160;19;434;2.536;7.335;3.921;1.432;1.389;7.727;9.513;2.482;1.192;1.328;30.247;90;0;73.347;36;28;119;89;34;19;18;305;90;101;213;9;232;207;713;2.438;594;1.409;3.891;857;2.490;3.295;2.123;31.827;36;0;51.173;145;138;1.391;561;168;299;109;946;329;295;373;28;666;2.743;8.048;6.359;2.026;2.798;11.618;10.370;4.972;4.487;3.451;62.074;126;0;124.520
