;;Sexo Trabalhador;IBGE Subsetor
Capital; Faixa Remun Média (SM); 01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total
;00:Até 0,50;0;0;15;53;114;104;2;16;58;37;0;0;14;0;20;181;22;0;35;37;83;2;27;24;0;844;0;0;6;51;77;54;0;12;30;19;0;0;10;0;7;149;19;1;46;15;95;3;31;36;0;661;0;0;21;104;191;158;2;28;88;56;0;0;24;0;27;330;41;1;81;52;178;5;58;60;0;1.505
;01:0,51 a 1,00;0;23;49;85;311;169;22;48;44;101;35;0;117;18;88;642;128;6;593;528;893;18;235;766;103;5.022;0;5;19;64;196;58;5;25;11;75;51;0;129;16;29;595;90;18;503;105;860;98;525;434;31;3.942;0;28;68;149;507;227;27;73;55;176;86;0;246;34;117;1.237;218;24;1.096;633;1.753;116;760;1.200;134;8.964
;02:1,01 a 1,50;2;306;990;1.315;2.344;580;493;757;719;1.487;270;2;2.815;152;3.872;13.049;3.646;76;5.148;3.800;6.588;434;651;2.957;448;52.901;3;32;247;2.648;4.290;245;89;427;478;1.215;809;7;2.700;44;412;12.577;1.768;148;3.690;1.060;9.241;1.801;1.579;5.199;191;50.900;5;338;1.237;3.963;6.634;825;582;1.184;1.197;2.702;1.079;9;5.515;196;4.284;25.626;5.414;224;8.838;4.860;15.829;2.235;2.230;8.156;639;103.801
;03:1,51 a 2,00;5;205;1.543;2.213;4.045;2.612;201;669;739;2.077;111;2;1.431;930;5.234;4.660;1.757;35;6.825;4.265;2.323;374;427;1.906;217;44.806;1;14;202;2.275;4.670;769;28;220;404;1.422;66;2;501;32;268;2.785;504;108;1.878;1.876;1.758;949;635;3.923;30;25.320;6;219;1.745;4.488;8.715;3.381;229;889;1.143;3.499;177;4;1.932;962;5.502;7.445;2.261;143;8.703;6.141;4.081;1.323;1.062;5.829;247;70.126
;04:2,01 a 3,00;9;255;1.398;1.398;4.108;5.373;86;681;656;1.845;42;2;1.341;607;4.688;3.170;1.388;136;7.993;5.177;1.806;692;718;11.026;85;54.680;3;17;152;915;3.379;624;19;187;393;635;25;1;317;82;294;1.913;378;208;1.251;1.081;1.456;1.788;1.016;23.008;13;39.155;12;272;1.550;2.313;7.487;5.997;105;868;1.049;2.480;67;3;1.658;689;4.982;5.083;1.766;344;9.244;6.258;3.262;2.480;1.734;34.034;98;93.835
;05:3,01 a 4,00;8;99;382;634;1.535;2.838;28;287;263;816;21;3;562;430;1.644;1.348;619;209;1.243;4.821;790;293;642;6.566;43;26.124;0;16;59;235;851;256;9;102;128;278;16;1;145;67;175;695;189;253;337;463;817;592;851;8.894;8;15.437;8;115;441;869;2.386;3.094;37;389;391;1.094;37;4;707;497;1.819;2.043;808;462;1.580;5.284;1.607;885;1.493;15.460;51;41.561
;06:4,01 a 5,00;5;46;193;301;704;1.777;10;160;175;470;5;0;375;244;746;694;359;181;472;2.025;345;105;493;6.742;4;16.631;2;7;25;140;291;175;1;52;62;177;2;1;76;63;95;343;120;284;231;228;442;157;639;4.627;3;8.243;7;53;218;441;995;1.952;11;212;237;647;7;1;451;307;841;1.037;479;465;703;2.253;787;262;1.132;11.369;7;24.874
;07:5,01 a 7,00;6;65;203;323;997;1.717;6;193;192;495;4;0;305;159;902;571;293;355;573;1.000;394;100;783;5.676;5;15.317;0;12;34;131;395;179;3;62;48;188;0;0;107;80;114;311;90;363;295;215;437;267;734;6.879;0;10.944;6;77;237;454;1.392;1.896;9;255;240;683;4;0;412;239;1.016;882;383;718;868;1.215;831;367;1.517;12.555;5;26.261
;08:7,01 a 10,00;5;20;134;270;815;878;1;97;121;451;0;0;165;138;665;343;215;287;607;443;395;176;685;4.548;4;11.463;0;7;19;102;272;112;0;39;32;116;0;0;66;48;110;167;58;311;254;156;243;270;654;4.781;3;7.820;5;27;153;372;1.087;990;1;136;153;567;0;0;231;186;775;510;273;598;861;599;638;446;1.339;9.329;7;19.283
;09:10,01 a 15,00;9;17;87;213;646;557;2;60;54;339;1;0;95;186;285;120;110;287;270;248;206;68;540;2.353;0;6.753;0;5;12;54;217;85;0;22;18;87;1;0;38;64;44;75;42;254;149;73;154;112;431;1.862;1;3.800;9;22;99;267;863;642;2;82;72;426;2;0;133;250;329;195;152;541;419;321;360;180;971;4.215;1;10.553
