Capital; Faixa Remun Média (SM); 01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;09:Ignorado;09:Ignorado;09:Ignorado;09:Ignorado;09:Ignorado;09:Ignorado;09:Ignorado;09:Ignorado;09:Ignorado;09:Ignorado;09:Ignorado;09:Ignorado;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;99:Outros, ignorados;{ñ class};Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;99:Outros, ignorados;{ñ class};Total;04:Indústria Mecânica;10:Indústria Química;11:Indústria Têxtil;13:Alimentos e Bebidas;15:Construção Civil;16:Comércio Varejista;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;24:Administração Pública;Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;99:Outros, ignorados;{ñ class};Total
240810:Natal - RN;Total;266;459;307;410;114;57;418;495;276;104;5.007;4;3.039;3.108;11.731;24.517;5.970;1.381;33.034;5.318;15.759;5.400;9.459;43.602;648;47;7;170.937;60;69;45;41;17;11;84;231;165;66;5.680;0;1.715;603;1.265;19.650;2.803;1.562;20.739;1.556;13.412;12.787;11.632;41.758;138;1;0;136.090;0;0;0;0;0;0;0;0;0;0;0;0;326;528;352;451;131;68;502;726;441;170;10.687;4;4.754;3.711;12.996;44.167;8.773;2.943;53.773;6.874;29.171;18.187;21.091;85.360;786;48;7;307.027
;00:Até 0,50;1;2;4;2;1;0;1;1;1;0;103;0;34;10;122;380;149;3;273;26;424;80;236;179;13;0;0;2.045;0;0;0;2;0;1;0;0;1;1;274;0;44;15;105;410;107;4;327;19;402;140;216;167;6;0;0;2.241;0;0;0;0;0;0;0;0;0;0;0;0;1;2;4;4;1;1;1;1;2;1;377;0;78;25;227;790;256;7;600;45;826;220;452;346;19;0;0;4.286
;01:0,51 a 1,00;3;6;19;37;5;5;36;40;20;5;274;2;233;25;969;2.189;456;46;2.228;205;1.521;298;817;638;78;1;2;10.158;0;7;8;4;1;1;11;68;19;10;303;0;213;14;131;2.072;233;66;2.057;172;1.726;865;1.179;462;13;0;0;9.635;0;0;0;0;0;0;0;0;0;0;0;0;3;13;27;41;6;6;47;108;39;15;577;2;446;39;1.100;4.261;689;112;4.285;377;3.247;1.163;1.996;1.100;91;1;2;19.793
;02:1,01 a 1,50;18;130;145;184;50;32;201;268;113;68;3.327;0;1.471;171;3.808;13.071;3.084;153;13.714;1.356;7.052;2.210;1.414;2.319;298;11;2;54.670;1;31;26;19;10;5;43;118;73;33;4.411;0;915;18;389;10.704;1.426;322;11.865;537;6.252;5.903;2.981;2.525;41;1;0;48.649;0;0;0;0;0;0;0;0;0;0;0;0;19;161;171;203;60;37;244;386;186;101;7.738;0;2.386;189;4.197;23.775;4.510;475;25.579;1.893;13.304;8.113;4.395;4.844;339;12;2;103.319
;03:1,51 a 2,00;16;101;50;67;24;6;109;72;67;6;563;0;473;420;1.409;3.455;721;45;7.658;1.208;2.275;996;583;3.416;71;2;0;23.813;1;12;3;4;0;0;13;16;17;7;135;0;139;44;162;1.993;306;84;2.486;193;1.469;2.592;837;3.351;20;0;0;13.884;0;0;0;0;0;0;0;0;0;0;0;0;17;113;53;71;24;6;122;88;84;13;698;0;612;464;1.571;5.448;1.027;129;10.144;1.401;3.744;3.588;1.420;6.767;91;2;0;37.697
;04:2,01 a 3,00;5;106;18;38;8;7;12;57;37;5;368;0;234;694;1.610;1.747;614;86;4.524;942;1.551;496;974;5.139;61;1;0;19.334;3;4;3;4;0;0;4;7;16;1;120;0;76;112;179;1.379;295;136;1.339;207;953;1.010;1.283;8.325;13;0;0;15.469;0;0;0;0;0;0;0;0;0;0;0;0;8;110;21;42;8;7;16;64;53;6;488;0;310;806;1.789;3.126;909;222;5.863;1.149;2.504;1.506;2.257;13.464;74;1;0;34.803
;05:3,01 a 4,00;1;20;2;9;0;1;4;10;8;0;104;0;58;438;849;584;226;128;813;288;445;353;944;7.548;18;2;0;12.853;0;2;0;1;0;1;1;1;9;1;56;0;21;77;71;478;99;169;386;80;351;643;918;10.440;2;0;0;13.807;0;0;0;0;0;0;0;0;0;0;0;0;1;22;2;10;0;2;5;11;17;1;160;0;79;515;920;1.062;325;297;1.199;368;796;996;1.862;17.988;20;2;0;26.660
;06:4,01 a 5,00;1;16;0;6;0;1;0;2;4;1;47;0;34;388;416;280;121;81;326;188;213;343;640;5.859;30;1;0;8.998;2;4;0;0;0;0;0;1;4;1;15;0;8;63;42;218;44;104;212;57;222;461;646;5.633;8;0;0;7.745;0;0;0;0;0;0;0;0;0;0;0;0;3;20;0;6;0;1;0;3;8;2;62;0;42;451;458;498;165;185;538;245;435;804;1.286;11.492;38;1;0;16.743
;07:5,01 a 7,00;11;16;0;3;0;0;0;4;0;2;43;0;37;263;315;273;102;171;298;185;169;319;731;8.164;19;4;0;11.129;8;1;0;3;0;0;0;3;1;0;14;0;9;70;45;265;34;168;140;49;188;330;703;4.994;8;0;0;7.033;0;0;0;0;0;0;0;0;0;0;0;0;19;17;0;6;0;0;0;7;1;2;57;0;46;333;360;538;136;339;438;234;357;649;1.434;13.158;27;4;0;18.162
;08:7,01 a 10,00;31;6;0;2;0;0;0;1;0;0;24;0;16;236;131;193;60;160;274;118;105;57;758;3.605;13;10;0;5.800;10;0;0;0;0;0;0;1;0;2;9;0;16;59;16;166;22;150;104;41;120;171;883;2.111;11;0;0;3.892;0;0;0;0;0;0;0;0;0;0;0;0;41;6;0;2;0;0;0;2;0;2;33;0;32;295;147;359;82;310;378;159;225;228;1.641;5.716;24;10;0;9.692
;09:10,01 a 15,00;19;4;0;0;0;0;0;0;0;0;3;0;24;221;164;180;32;149;199;86;96;59;1.250;3.844;1;11;0;6.342;2;1;0;1;0;0;0;0;2;1;6;0;19;73;12;131;15;103;62;27;77;71;942;2.005;0;0;0;3.550;0;0;0;0;0;0;0;0;0;0;0;0;21;5;0;1;0;0;0;0;2;1;9;0;43;294;176;311;47;252;261;113;173;130;2.192;5.849;1;11;0;9.892
;10:15,01 a 20,00;39;4;0;0;0;0;0;0;0;0;5;0;14;96;77;84;9;77;54;33;42;17;660;1.225;0;2;0;2.438;15;0;0;0;0;0;0;0;0;0;1;0;4;28;6;71;0;50;19;5;16;28;427;618;0;0;0;1.288;0;0;0;0;0;0;0;0;0;0;0;0;54;4;0;0;0;0;0;0;0;0;6;0;18;124;83;155;9;127;73;38;58;45;1.087;1.843;0;2;0;3.726
;11:Mais de 20,00;108;8;0;2;0;0;0;0;0;0;5;0;10;69;98;123;11;185;61;80;150;10;77;1.208;2;1;0;2.208;16;0;0;0;0;0;0;0;0;0;3;0;2;18;15;121;6;125;14;29;12;21;50;571;1;0;0;1.004;0;0;0;0;0;0;0;0;0;0;0;0;124;8;0;2;0;0;0;0;0;0;8;0;12;87;113;244;17;310;75;109;162;31;127;1.779;3;1;0;3.212
;{ñ class};13;40;69;60;26;5;55;40;26;17;141;2;401;77;1.763;1.958;385;97;2.612;603;1.716;162;375;458;44;1;3;11.149;2;7;5;3;6;3;12;16;23;9;333;0;249;12;92;1.642;216;81;1.728;140;1.624;552;567;556;15;0;0;7.893;0;0;0;0;0;0;0;0;0;0;0;0;15;47;74;63;32;8;67;56;49;26;474;2;650;89;1.855;3.600;601;178;4.340;743;3.340;714;942;1.014;59;1;3;19.042
250750:João Pessoa - PB;Total;11;1.613;294;414;57;19;606;805;270;1.318;2.065;15;2.524;3.789;18.324;20.718;5.729;1.732;26.969;5.905;12.055;3.996;9.252;49.558;681;556;9;169.284;5;197;52;69;14;2;107;346;146;323;1.213;32;1.552;731;5.088;16.406;2.182;2.005;12.610;1.056;11.113;11.072;12.303;53.535;182;10;0;132.351;0;0;0;0;0;0;0;0;0;0;0;0;16;1.810;346;483;71;21;713;1.151;416;1.641;3.278;47;4.076;4.520;23.412;37.124;7.911;3.737;39.579;6.961;23.168;15.068;21.555;103.093;863;566;9;301.635
;00:Até 0,50;0;11;1;5;1;0;2;4;0;10;32;0;18;43;114;152;41;4;234;46;265;11;276;68;2;4;0;1.344;0;19;0;1;0;0;1;4;0;7;19;0;29;72;73;193;17;5;159;15;184;37;210;74;0;0;0;1.119;0;0;0;0;0;0;0;0;0;0;0;0;0;30;1;6;1;0;3;8;0;17;51;0;47;115;187;345;58;9;393;61;449;48;486;142;2;4;0;2.463
;01:0,51 a 1,00;4;53;20;56;6;1;83;60;36;75;121;2;215;39;1.251;1.400;315;38;2.531;268;1.884;246;703;2.997;136;26;0;12.566;2;19;6;17;1;0;15;37;38;53;101;5;225;10;400;1.417;211;78;3.183;101;1.884;708;932;4.165;8;0;0;13.616;0;0;0;0;0;0;0;0;0;0;0;0;6;72;26;73;7;1;98;97;74;128;222;7;440;49;1.651;2.817;526;116;5.714;369;3.768;954;1.635;7.162;144;26;0;26.182
;02:1,01 a 1,50;3;575;145;143;31;14;340;291;136;486;1.194;12;1.403;607;8.488;12.345;2.846;148;12.253;1.902;5.706;1.636;1.357;8.160;330;129;3;60.683;2;52;23;30;6;2;55;157;68;150;825;25;999;104;3.459;9.855;963;256;5.690;385;5.634;5.346;3.165;12.398;107;3;0;49.759;0;0;0;0;0;0;0;0;0;0;0;0;5;627;168;173;37;16;395;448;204;636;2.019;37;2.402;711;11.947;22.200;3.809;404;17.943;2.287;11.340;6.982;4.522;20.558;437;132;3;110.442
;03:1,51 a 2,00;4;482;38;54;10;0;92;112;39;268;203;1;433;695;2.434;2.671;950;130;5.924;1.009;1.356;738;561;4.955;79;30;2;23.270;1;23;11;8;4;0;11;46;16;31;65;0;97;46;396;1.662;301;192;1.105;124;907;2.046;837;8.483;22;2;0;16.436;0;0;0;0;0;0;0;0;0;0;0;0;5;505;49;62;14;0;103;158;55;299;268;1;530;741;2.830;4.333;1.251;322;7.029;1.133;2.263;2.784;1.398;13.438;101;32;2;39.706
;04:2,01 a 3,00;0;251;18;37;8;1;43;91;21;225;186;0;146;547;1.740;1.381;655;143;1.835;1.076;822;554;792;12.535;40;161;1;23.309;0;34;4;3;3;0;7;27;10;31;43;1;51;90;282;1.044;297;267;746;143;548;1.253;1.279;11.272;15;1;0;17.451;0;0;0;0;0;0;0;0;0;0;0;0;0;285;22;40;11;1;50;118;31;256;229;1;197;637;2.022;2.425;952;410;2.581;1.219;1.370;1.807;2.071;23.807;55;162;1;40.760
;05:3,01 a 4,00;0;89;2;8;0;1;5;35;7;60;60;0;38;333;463;458;294;170;522;289;229;241;1.012;6.494;17;64;0;10.891;0;11;0;2;0;0;2;9;5;20;18;0;19;69;66;389;139;193;227;54;190;502;987;5.625;14;0;0;8.541;0;0;0;0;0;0;0;0;0;0;0;0;0;100;2;10;0;1;7;44;12;80;78;0;57;402;529;847;433;363;749;343;419;743;1.999;12.119;31;64;0;19.432
;06:4,01 a 5,00;0;22;1;1;1;0;4;13;6;43;39;0;19;185;312;231;136;128;285;144;98;117;690;4.081;20;39;0;6.615;0;10;3;0;0;0;2;3;2;5;6;0;7;43;79;200;62;153;114;32;107;218;750;3.596;3;0;0;5.395;0;0;0;0;0;0;0;0;0;0;0;0;0;32;4;1;1;0;6;16;8;48;45;0;26;228;391;431;198;281;399;176;205;335;1.440;7.677;23;39;0;12.010
;07:5,01 a 7,00;0;29;0;1;0;1;3;25;0;18;14;0;13;215;453;189;157;187;379;152;89;75;857;3.343;7;36;0;6.243;0;7;1;1;0;0;4;4;0;8;5;0;4;63;30;168;54;237;196;36;106;121;883;3.781;2;0;0;5.711;0;0;0;0;0;0;0;0;0;0;0;0;0;36;1;2;0;1;7;29;0;26;19;0;17;278;483;357;211;424;575;188;195;196;1.740;7.124;9;36;0;11.954
;08:7,01 a 10,00;0;19;0;2;0;0;0;8;1;15;14;0;1;246;460;198;83;200;439;91;54;81;771;2.292;5;17;0;4.997;0;9;0;0;0;0;6;0;0;3;1;0;2;65;25;133;30;175;145;25;64;104;833;1.722;2;1;0;3.345;0;0;0;0;0;0;0;0;0;0;0;0;0;28;0;2;0;0;6;8;1;18;15;0;3;311;485;331;113;375;584;116;118;185;1.604;4.014;7;18;0;8.342
;09:10,01 a 15,00;0;10;0;1;0;0;0;0;0;9;18;0;2;157;494;157;58;183;345;66;54;58;1.075;2.076;4;10;0;4.777;0;5;0;0;0;0;0;0;0;0;2;0;3;52;19;173;14;131;93;14;37;78;1.141;1.226;0;0;0;2.988;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;1;0;0;0;0;0;9;20;0;5;209;513;330;72;314;438;80;91;136;2.216;3.302;4;10;0;7.765
;10:15,01 a 20,00;0;6;0;0;0;0;0;2;0;2;5;0;1;67;282;63;11;97;124;22;17;21;653;1.161;2;3;0;2.539;0;3;0;0;0;0;0;0;0;0;0;0;0;22;4;53;3;44;26;3;17;32;491;543;0;0;0;1.241;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;2;0;2;5;0;1;89;286;116;14;141;150;25;34;53;1.144;1.704;2;3;0;3.780
;11:Mais de 20,00;0;7;0;0;0;0;0;1;0;5;4;0;1;77;218;96;22;222;65;50;23;12;119;1.276;0;0;0;2.198;0;3;0;0;0;0;0;0;0;1;1;0;3;15;12;81;8;189;27;15;30;31;154;579;0;0;0;1.149;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;1;0;6;5;0;4;92;230;177;30;411;92;65;53;43;273;1.855;0;0;0;3.347
;{ñ class};0;59;69;106;0;1;34;163;24;102;175;0;234;578;1.615;1.377;161;82;2.033;790;1.458;206;386;120;39;37;3;9.852;0;2;4;7;0;0;4;59;7;14;127;1;113;80;243;1.038;83;85;899;109;1.405;596;641;71;9;3;0;5.600;0;0;0;0;0;0;0;0;0;0;0;0;0;61;73;113;0;1;38;222;31;116;302;1;347;658;1.858;2.415;244;167;2.932;899;2.863;802;1.027;191;48;40;3;15.452
261160:Recife - PE;Total;15;1.586;2.666;2.519;776;407;1.030;1.718;1.144;2.291;728;10;6.912;11.062;33.087;44.688;17.006;4.778;90.514;23.107;28.817;16.091;17.206;81.783;2.646;131;5;392.723;12;219;428;318;256;61;178;1.004;580;872;2.121;7;5.686;1.873;3.342;36.839;8.129;5.555;46.375;5.884;25.696;40.306;26.352;97.535;819;10;0;310.457;0;0;0;0;0;0;0;0;0;0;0;0;27;1.805;3.094;2.837;1.032;468;1.208;2.722;1.724;3.163;2.849;17;12.598;12.935;36.429;81.527;25.135;10.333;136.889;28.991;54.513;56.397;43.558;179.318;3.465;141;5;703.180
;00:Até 0,50;0;4;20;11;3;0;1;16;19;24;16;0;43;121;322;612;150;21;585;287;629;245;434;192;7;0;0;3.762;0;3;20;6;0;1;3;21;2;8;22;0;96;66;155;690;154;44;520;179;728;496;551;272;8;0;0;4.045;0;0;0;0;0;0;0;0;0;0;0;0;0;7;40;17;3;1;4;37;21;32;38;0;139;187;477;1.302;304;65;1.105;466;1.357;741;985;464;15;0;0;7.807
;01:0,51 a 1,00;0;63;76;80;26;6;35;50;93;53;31;2;450;88;1.248;2.098;519;59;4.850;1.094;2.107;449;1.394;2.693;200;4;0;17.768;1;19;27;15;4;2;16;32;38;14;74;0;1.230;35;213;2.008;288;122;5.876;414;2.575;1.023;1.840;3.541;112;1;0;19.520;0;0;0;0;0;0;0;0;0;0;0;0;1;82;103;95;30;8;51;82;131;67;105;2;1.680;123;1.461;4.106;807;181;10.726;1.508;4.682;1.472;3.234;6.234;312;5;0;37.288
;02:1,01 a 1,50;0;340;751;748;189;89;359;469;509;770;407;6;3.895;2.498;11.180;23.843;6.992;461;31.958;5.912;11.817;5.861;3.639;4.068;1.185;29;1;117.976;0;34;135;105;84;20;57;315;311;314;1.625;2;2.938;178;943;19.865;3.244;772;19.179;1.990;13.283;14.285;7.704;4.624;360;2;0;92.369;0;0;0;0;0;0;0;0;0;0;0;0;0;374;886;853;273;109;416;784;820;1.084;2.032;8;6.833;2.676;12.123;43.708;10.236;1.233;51.137;7.902;25.100;20.146;11.343;8.692;1.545;31;1;210.345
;03:1,51 a 2,00;2;242;617;516;147;89;286;377;181;480;103;0;886;2.226;8.204;6.759;3.386;339;25.680;3.290;3.813;3.447;1.940;6.747;305;13;1;70.076;0;15;90;65;57;7;21;206;75;140;87;0;352;158;643;4.925;1.274;440;6.193;775;2.633;9.047;3.417;15.617;36;3;0;46.276;0;0;0;0;0;0;0;0;0;0;0;0;2;257;707;581;204;96;307;583;256;620;190;0;1.238;2.384;8.847;11.684;4.660;779;31.873;4.065;6.446;12.494;5.357;22.364;341;16;1;116.352
;04:2,01 a 3,00;2;401;483;593;112;75;145;302;120;387;57;2;594;2.072;4.408;3.993;2.252;326;7.897;5.611;2.395;2.269;2.061;12.863;295;8;1;49.724;2;38;52;56;40;4;12;156;61;127;54;3;208;258;505;3.060;1.121;490;4.526;773;1.685;5.245;3.478;24.722;53;2;0;46.731;0;0;0;0;0;0;0;0;0;0;0;0;4;439;535;649;152;79;157;458;181;514;111;5;802;2.330;4.913;7.053;3.373;816;12.423;6.384;4.080;7.514;5.539;37.585;348;10;1;96.455
;05:3,01 a 4,00;0;161;200;167;56;16;55;132;46;163;17;0;158;996;1.139;1.351;835;354;2.910;1.306;851;1.070;1.411;9.241;76;19;1;22.731;1;33;33;20;28;4;19;73;28;78;28;0;107;212;213;1.158;586;488;1.962;327;717;3.021;2.250;11.733;32;0;0;23.151;0;0;0;0;0;0;0;0;0;0;0;0;1;194;233;187;84;20;74;205;74;241;45;0;265;1.208;1.352;2.509;1.421;842;4.872;1.633;1.568;4.091;3.661;20.974;108;19;1;45.882
;06:4,01 a 5,00;1;97;118;66;27;28;7;49;21;91;7;0;67;426;445;624;392;344;1.785;588;381;501;842;11.558;45;9;0;18.519;0;18;12;7;9;8;7;28;7;41;9;0;50;122;103;612;234;466;1.167;236;418;1.542;1.085;6.949;14;0;0;13.144;0;0;0;0;0;0;0;0;0;0;0;0;1;115;130;73;36;36;14;77;28;132;16;0;117;548;548;1.236;626;810;2.952;824;799;2.043;1.927;18.507;59;9;0;31.663
;07:5,01 a 7,00;0;103;100;75;34;31;9;71;23;93;8;0;61;428;463;616;456;473;2.404;835;464;465;1.298;12.371;83;18;0;20.982;4;17;15;7;10;10;8;35;8;48;14;1;43;188;102;537;248;603;1.488;339;390;1.427;1.518;11.792;57;1;0;18.910;0;0;0;0;0;0;0;0;0;0;0;0;4;120;115;82;44;41;17;106;31;141;22;1;104;616;565;1.153;704;1.076;3.892;1.174;854;1.892;2.816;24.163;140;19;0;39.892
;08:7,01 a 10,00;2;46;53;35;12;34;2;39;26;50;3;0;101;483;519;370;308;521;2.233;654;344;517;1.195;10.748;71;12;0;18.378;3;15;13;13;5;2;12;34;8;35;1;0;91;191;64;409;218;583;1.025;170;227;1.388;1.384;9.944;38;0;0;15.873;0;0;0;0;0;0;0;0;0;0;0;0;5;61;66;48;17;36;14;73;34;85;4;0;192;674;583;779;526;1.104;3.258;824;571;1.905;2.579;20.692;109;12;0;34.251
;09:10,01 a 15,00;2;37;17;22;11;21;3;33;16;35;2;0;69;523;689;365;204;503;1.897;684;488;420;1.353;5.939;34;6;0;13.373;0;8;3;0;4;2;6;8;5;18;0;0;40;234;49;369;117;400;662;143;238;789;1.270;4.585;15;1;0;8.966;0;0;0;0;0;0;0;0;0;0;0;0;2;45;20;22;15;23;9;41;21;53;2;0;109;757;738;734;321;903;2.559;827;726;1.209;2.623;10.524;49;7;0;22.339
;10:15,01 a 20,00;0;14;9;7;11;2;1;13;4;29;1;0;23;381;207;226;102;265;644;240;339;148;697;1.860;38;1;0;5.262;0;2;0;1;3;0;1;5;1;10;2;0;15;82;12;209;76;192;245;41;63;305;543;1.594;7;0;0;3.409;0;0;0;0;0;0;0;0;0;0;0;0;0;16;9;8;14;2;2;18;5;39;3;0;38;463;219;435;178;457;889;281;402;453;1.240;3.454;45;1;0;8.671
;11:Mais de 20,00;2;13;4;5;7;3;0;6;11;16;1;0;53;348;187;352;250;853;713;330;638;174;132;3.261;36;2;0;7.397;0;5;1;0;3;0;0;2;0;13;1;0;26;93;32;322;135;715;342;84;83;321;106;1.883;10;0;0;4.177;0;0;0;0;0;0;0;0;0;0;0;0;2;18;5;5;10;3;0;8;11;29;2;0;79;441;219;674;385;1.568;1.055;414;721;495;238;5.144;46;2;0;11.574
;{ñ class};4;65;218;194;141;13;127;161;75;100;75;0;512;472;4.076;3.479;1.160;259;6.958;2.276;4.551;525;810;242;271;10;1;26.775;1;12;27;23;9;1;16;89;36;26;204;1;490;56;308;2.675;434;240;3.190;413;2.656;1.417;1.206;279;77;0;0;13.886;0;0;0;0;0;0;0;0;0;0;0;0;5;77;245;217;150;14;143;250;111;126;279;1;1.002;528;4.384;6.154;1.594;499;10.148;2.689;7.207;1.942;2.016;521;348;10;1;40.661
270430:Maceió - AL;Total;80;654;950;695;77;84;676;610;304;2.269;231;35;5.848;3.962;16.786;25.915;6.867;1.583;24.665;9.018;15.345;5.167;7.756;30.350;1.391;323;28;161.669;12;81;102;74;8;14;188;324;89;849;488;43;2.164;778;1.264;20.345;2.452;1.697;15.238;1.871;14.669;13.970;10.671;34.577;125;7;1;122.101;0;0;0;0;0;0;0;0;0;0;0;0;92;735;1.052;769;85;98;864;934;393;3.118;719;78;8.012;4.740;18.050;46.260;9.319;3.280;39.903;10.889;30.014;19.137;18.427;64.927;1.516;330;29;283.770
;00:Até 0,50;4;5;6;7;0;0;9;3;0;22;0;0;46;17;161;280;72;8;280;111;271;39;222;16;17;0;1;1.597;1;1;0;0;0;1;1;2;1;21;0;0;54;44;54;306;51;8;233;103;271;77;216;18;10;0;0;1.473;0;0;0;0;0;0;0;0;0;0;0;0;5;6;6;7;0;1;10;5;1;43;0;0;100;61;215;586;123;16;513;214;542;116;438;34;27;0;1;3.070
;01:0,51 a 1,00;2;62;67;46;3;5;48;56;47;132;53;2;540;72;1.537;3.037;589;34;2.780;388;1.559;219;786;272;99;3;1;12.439;0;9;10;12;0;1;19;58;11;48;98;3;351;22;177;2.500;261;62;3.811;296;1.888;592;980;616;7;0;0;11.832;0;0;0;0;0;0;0;0;0;0;0;0;2;71;77;58;3;6;67;114;58;180;151;5;891;94;1.714;5.537;850;96;6.591;684;3.447;811;1.766;888;106;3;1;24.271
;02:1,01 a 1,50;10;306;328;196;20;44;341;268;164;820;98;28;2.373;1.163;5.160;13.826;3.209;155;11.084;2.546;7.388;1.838;1.647;1.835;805;28;8;55.688;0;37;32;27;3;5;110;148;50;450;248;29;1.083;138;403;11.209;1.141;259;6.794;608;7.915;5.166;3.229;3.839;50;1;0;42.974;0;0;0;0;0;0;0;0;0;0;0;0;10;343;360;223;23;49;451;416;214;1.270;346;57;3.456;1.301;5.563;25.035;4.350;414;17.878;3.154;15.303;7.004;4.876;5.674;855;29;8;98.662
;03:1,51 a 2,00;11;120;220;124;18;19;103;115;30;536;14;4;979;792;2.627;3.021;1.265;110;5.277;1.810;1.950;1.177;612;3.045;157;10;0;24.146;0;12;22;7;4;5;11;42;12;134;21;3;196;113;186;1.939;348;127;1.366;218;1.346;2.952;871;4.355;11;0;0;14.301;0;0;0;0;0;0;0;0;0;0;0;0;11;132;242;131;22;24;114;157;42;670;35;7;1.175;905;2.813;4.960;1.613;237;6.643;2.028;3.296;4.129;1.483;7.400;168;10;0;38.447
;04:2,01 a 3,00;8;75;117;121;18;7;45;56;40;262;5;0;634;564;2.070;1.683;649;143;1.865;1.861;1.187;835;867;5.136;98;44;0;18.390;1;13;19;10;0;1;11;19;6;50;7;6;115;156;153;1.192;218;171;788;167;826;2.136;1.301;8.763;3;0;0;16.132;0;0;0;0;0;0;0;0;0;0;0;0;9;88;136;131;18;8;56;75;46;312;12;6;749;720;2.223;2.875;867;314;2.653;2.028;2.013;2.971;2.168;13.899;101;44;0;34.522
;05:3,01 a 4,00;7;12;19;42;6;3;12;27;7;51;2;0;185;261;582;638;258;150;392;308;350;299;664;3.582;46;48;0;7.951;1;2;2;3;0;0;5;16;3;14;4;0;42;93;59;569;101;196;337;72;293;835;762;5.904;10;0;0;9.323;0;0;0;0;0;0;0;0;0;0;0;0;8;14;21;45;6;3;17;43;10;65;6;0;227;354;641;1.207;359;346;729;380;643;1.134;1.426;9.486;56;48;0;17.274
;06:4,01 a 5,00;3;8;5;17;0;0;4;16;1;32;0;0;79;200;357;314;104;99;244;186;190;148;375;4.663;33;32;0;7.110;4;0;1;2;0;0;7;6;1;11;0;0;32;56;37;230;39;136;197;39;157;494;448;3.708;7;0;0;5.612;0;0;0;0;0;0;0;0;0;0;0;0;7;8;6;19;0;0;11;22;2;43;0;0;111;256;394;544;143;235;441;225;347;642;823;8.371;40;32;0;12.722
;07:5,01 a 7,00;10;5;5;10;2;1;3;4;0;43;3;0;74;208;504;273;139;131;263;208;165;195;567;4.794;17;43;0;7.667;2;1;2;2;0;0;4;6;0;20;0;1;26;53;42;216;37;174;277;43;186;610;692;3.841;1;0;0;6.236;0;0;0;0;0;0;0;0;0;0;0;0;12;6;7;12;2;1;7;10;0;63;3;1;100;261;546;489;176;305;540;251;351;805;1.259;8.635;18;43;0;13.903
